EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,BMO,20150422,58.44,58.16,56.81,56.7
20150121,BMO,20150121,52.30657,52.23672,53.81331,54.64151
20141022,BMO,20141022,48.04243,49.44607,46.90757,47.79355
20140723,BMO,20140723,47.8377,48.2697,48.15549,48.51797
20140423,BMO,20140423,46.7585,47.0806,47.33828,47.72975
20140122,BMO,20140122,45.52775,45.01354,45.02837,43.75272
20131017,BMO,20131017,38.20519,38.99446,40.01556,40.61245
20130718,BMO,20130718,41.46371,41.60639,37.56235,37.7739
20130418,BMO,20130418,36.11628,35.50214,35.4874,35.75762
20130117,BMO,20130117,33.53297,33.48882,33.27785,33.1503
20121017,BMO,20121017,28.89648,29.46951,30.1356,30.25315
20120718,BMO,20120718,25.28807,25.11205,28.81823,28.85245
20120418,BMO,20120418,28.82651,29.25596,28.34827,28.12379
20120118,BMO,20120118,23.45407,23.51253,26.08931,26.73716
20111019,BMO,20111019,20.83624,21.47413,20.40286,20.54408
20110720,BMO,20110720,24.41161,25.15637,24.41161,24.61119
20110420,NaN,20110421,25.10036,26.72571,26.66731,26.63325
20110119,NaN,20110120,25.73099,25.73099,25.4926,25.92559
20101020,BMO,20101020,24.26466,23.71993,23.67129,24.02634
20100721,BMO,20100721,20.22609,20.64423,20.66368,21.34922
20100420,BMO,20100420,21.29767,21.39488,23.05709,22.71687
20100121,BMO,20100121,21.41676,21.42648,20.6491,19.69681
20091015,BMO,20091015,18.63124,20.05433,19.91833,19.8212
20090716,BMO,20090716,15.63326,16.48289,16.30811,16.01681
20090416,NaN,20090417,13.96656,15.28169,14.80125,14.67508
20090115,NaN,20090116,10.62106,12.19725,12.38154,11.70257
20081016,BMO,20081016,15.10142,13.08531,13.59419,12.86723
20080717,BMO,20080717,21.60287,21.72399,24.89732,24.8731
20080417,BMO,20080417,19.89606,20.55958,21.48464,21.76554
20080117,BMO,20080117,19.25839,19.22934,17.77697,18.75974
20071017,BMO,20071017,19.11662,19.24729,20.70403,20.86857
20070718,NaN,20070719,18.35914,17.94794,18.34947,18.15596
20070418,BMO,20070418,16.74599,16.71214,17.30209,17.43749
20070117,NaN,20070118,15.57337,15.7957,15.56612,15.51053
20061018,NaN,20061019,15.67764,16.45306,16.72845,16.30571
20060719,NaN,20060720,12.38347,13.24783,13.35648,12.90498
20060419,NaN,20060420,12.59121,14.1259,14.52164,14.2007
20060118,NaN,20060119,11.13191,10.97034,12.13031,11.88674
20051019,NaN,20051020,9.88068,9.91682,9.64932,9.6445
20050720,BMO,20050720,10.41067,10.66835,10.94288,10.95252
20050420,BMO,20050420,8.74286,8.8319,9.19047,9.43834
20050119,BMO,20050119,8.33236,8.44297,8.88785,8.92392
20041020,BMO,20041020,7.9476,8.06784,8.15441,8.3564
20040721,BMO,20040721,6.75967,7.21416,7.13721,7.13961
20040421,BMO,20040421,7.38249,7.52196,8.14719,8.20731
20040121,BMO,20040121,8.05581,7.92716,8.28426,8.12555
20031015,BMO,20031015,6.47591,6.60096,7.05064,7.07829
20030716,BMO,20030716,6.48072,6.43263,6.67911,6.5192
20030416,BMO,20030416,4.82748,4.83108,5.14129,5.24229
20030115,BMO,20030115,5.10041,5.08478,5.20502,5.24349
20021016,BMO,20021016,3.59866,3.65998,3.93773,4.21427
20020717,NaN,20020718,4.14814,4.56897,4.53891,4.64111
20020417,NaN,20020418,5.35291,5.61382,5.68115,5.64388
20020116,BMO,20020116,5.7593,5.41062,5.36854,5.42264
20011017,BMO,20011017,4.84431,4.96575,5.00783,4.96695
20010718,NaN,20010719,4.97176,4.98018,5.12566,5.0451
20010418,NaN,20010419,4.45474,4.82748,5.29038,5.06314
20010117,BMO,20010117,5.44819,5.59097,5.73376,5.84647
20001018,BMO,20001018,7.0789,7.03381,6.876,7.83037
20000719,BMO,20000719,8.24368,7.87546,8.12344,7.93558
20000419,BMO,20000419,5.83145,6.74824,6.93236,6.79333
20000119,NaN,20000120,4.7343,4.6892,4.6629,4.48254
19991014,NaN,19991015,2.93827,2.89694,2.81803,2.84809
19990715,BMO,19990715,2.3897,2.38217,2.62265,2.75792
19990415,BMO,19990415,2.38593,2.38593,2.36715,2.36715
