EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150423,AMC,20150424,174.87,176.25,175.38,171.62
20150129,AMC,20150130,174.92992,176.71767,170.81509,169.85631
20141022,AMC,20141023,148.84657,147.60966,153.84402,156.57718
20140724,AMC,20140725,145.2485,146.36403,148.25647,152.51939
20140422,AMC,20140423,140.13835,140.11848,135.63025,135.48106
20140130,AMC,20140131,129.39438,130.0994,128.67943,124.53873
20131022,AMC,20131023,125.03053,125.87325,134.63759,133.29913
20130723,AMC,20130724,112.48071,112.21349,111.38213,112.10462
20130423,AMC,20130424,96.86145,97.74873,97.67973,97.88717
20130131,AMC,20130201,100.78521,100.62746,97.94591,97.19665
20121023,AMC,20121024,97.00546,97.1137,94.70308,95.37215
20120725,AMC,20120726,100.82301,101.44168,96.68874,97.79842
20120424,AMC,20120425,95.70306,95.84979,95.35088,96.81133
20120131,AMC,20120201,90.12698,90.50849,91.75089,90.68458
20111025,AMC,20111026,86.58047,85.60436,81.40712,84.35495
20110721,AMC,20110722,109.12331,109.77586,96.98767,97.82529
20110421,AMC,20110425,100.04383,101.3639,99.92735,100.17001
20110131,AMC,20110201,90.32772,91.57985,91.00717,90.53156
20101021,AMC,20101022,81.87971,82.48035,80.41689,80.86251
20100722,AMC,20100723,73.4694,74.77444,76.09883,75.93449
20100422,AMC,20100423,83.73019,82.21902,82.71954,81.68964
20100128,AMC,20100129,77.5219,77.48339,79.78383,79.15819
20091021,AMC,20091022,72.58703,72.12701,73.84637,73.7119
20090722,AMC,20090723,71.49448,69.8365,68.55228,68.52354
20090422,AMC,20090423,74.43613,74.10216,68.58514,68.07836
20090129,AMC,20090130,82.06007,81.82153,81.64977,82.01236
20081022,AMC,20081023,75.63302,74.52819,79.6523,77.31883
20080723,AMC,20080724,87.52524,87.03101,89.91082,90.53811
20080507,NaN,20080508,87.46538,86.74432,87.64564,86.54509
20080423,AMC,20080424,89.62241,91.79168,88.6608,88.00616
20080310,NaN,20080311,87.95518,86.93211,89.99184,89.80239
20080131,AMC,20080201,90.56021,91.25173,91.81062,92.70107
20071023,AMC,20071024,80.97978,81.69859,74.86043,76.70474
20070724,AMC,20070725,77.97843,77.53468,74.25844,75.25925
20070424,AMC,20070425,77.41588,77.35001,79.55168,79.32549
20070125,AMC,20070126,78.91188,77.49115,76.30563,76.20213
20061018,AMC,20061019,71.03075,71.72456,77.6609,78.01784
20060719,AMC,20060720,70.01868,70.29007,64.49585,64.40209
20060515,NaN,20060516,71.10424,70.60825,69.89703,69.09221
20060418,NaN,20060419,64.66419,64.78564,69.12959,68.98946
20060329,NaN,20060330,63.60856,63.77671,63.62725,63.34699
20060125,AMC,20060126,60.54444,60.17077,59.40474,59.32066
20051108,NaN,20051109,58.73605,58.5962,58.72673,59.68701
20051018,AMC,20051019,59.91909,59.38875,59.42596,58.93183
20050804,NaN,20050805,59.9656,59.19336,59.12823,58.8491
20050719,AMC,20050720,61.93775,62.36491,61.76132,62.27305
