EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,BMO,20150430,45.34,44.98,44.41,46.05
20150212,BMO,20150212,43.38361,42.97611,44.07934,43.42337
20141023,BMO,20141023,41.15862,40.83251,41.70213,41.88
20140724,BMO,20140724,47.61507,47.92962,47.96894,47.23172
20140424,BMO,20140424,43.89376,44.02085,45.46768,44.72471
20140205,BMO,20140205,40.96649,41.76384,42.24031,42.97932
20131024,BMO,20131024,41.39888,41.09888,39.1441,39.85053
20130725,BMO,20130725,36.09139,36.10102,36.76527,36.43796
20130425,BMO,20130425,35.40163,35.14308,34.37702,34.47278
20130207,BMO,20130207,32.98629,33.23388,33.25293,33.70049
20121025,BMO,20121025,29.53365,29.2116,29.36315,29.33474
20120723,BMO,20120723,25.85167,25.2864,25.93646,25.99299
20120426,BMO,20120426,26.93991,27.27701,27.86694,27.84821
20120209,BMO,20120209,25.35741,25.5529,25.93457,25.53428
20111027,BMO,20111027,23.20788,23.80058,24.06914,24.59702
20110728,BMO,20110728,27.40869,27.03083,26.09079,25.90647
20110428,BMO,20110428,25.94384,26.15484,26.09979,26.0631
20110211,BMO,20110211,23.65301,23.74434,23.96351,23.68041
20101028,BMO,20101028,21.97766,21.38686,21.95039,21.82314
20100728,BMO,20100728,17.93399,17.69172,17.8346,17.87187
20100427,BMO,20100427,17.48655,17.42465,17.43084,17.32561
20100210,BMO,20100210,12.30632,12.5469,11.9979,11.84368
20091028,BMO,20091028,12.25239,12.30155,11.68708,12.04347
20090729,NaN,20090730,11.26812,11.54354,11.40277,11.5007
20090428,BMO,20090428,9.40005,9.22327,9.69266,10.27788
20090211,BMO,20090211,7.51433,7.2358,7.93213,7.85947
20081023,BMO,20081023,7.08074,6.63031,5.40514,5.33308
20080717,BMO,20080717,9.89917,10.07263,10.06665,9.97095
20080424,BMO,20080424,14.06555,14.31587,13.67219,13.58279
20080212,BMO,20080212,13.83546,13.96027,14.42977,14.52486
20071024,BMO,20071024,14.24196,14.53842,14.82302,14.98311
20070726,BMO,20070726,13.98156,13.94608,13.86328,13.45519
20070426,BMO,20070426,13.06523,13.13602,13.2127,12.96496
20070213,NaN,20070214,12.07374,12.32074,12.36779,12.26781
20061026,BMO,20061026,12.30783,12.33715,12.25506,12.02052
20060727,BMO,20060727,12.59992,12.62331,12.51222,12.59992
20060427,BMO,20060427,12.05368,11.97791,11.63401,11.38338
20060209,BMO,20060209,11.26841,11.30909,11.67521,11.50087
20051027,BMO,20051027,11.45991,11.28013,10.93795,10.96695
20050728,BMO,20050728,13.16686,13.2884,13.65881,13.60093
20050428,BMO,20050428,11.41575,11.31176,11.73927,11.72772
20050217,BMO,20050217,12.93349,13.26216,12.75474,12.58752
20041028,BMO,20041028,10.74471,10.87132,11.89572,12.03385
20040729,BMO,20040729,14.51831,14.37473,11.84781,11.71572
20040428,BMO,20040428,14.03325,14.11927,14.14221,15.07126
20040129,BMO,20040129,12.64048,12.32562,13.1042,13.10992
20031015,BMO,20031015,11.30775,11.25632,11.45631,11.39346
20030716,BMO,20030716,10.98114,11.175,10.26275,9.85224
20030423,BMO,20030423,11.22592,11.4592,11.08368,11.0723
20030129,BMO,20030129,12.36688,12.35552,12.50883,12.3101
20021016,BMO,20021016,12.69502,13.18809,12.24163,13.20509
20020717,BMO,20020717,11.20038,10.84401,10.6743,10.38581
20020418,BMO,20020418,10.92144,10.96661,10.94967,11.26591
20020123,BMO,20020123,11.28015,11.52243,10.31102,9.48276
20011017,BMO,20011017,8.90957,9.46045,9.7134,10.03381
20010717,NaN,20010718,9.96635,8.45988,8.57792,8.47112
20010419,BMO,20010419,10.02054,10.18876,10.03736,10.05979
20010123,BMO,20010123,9.65549,10.04031,10.53008,10.9149
20001017,BMO,20001017,8.52023,8.52023,9.74239,9.53288
20000718,BMO,20000718,10.03291,9.7368,10.27676,10.52062
20000418,BMO,20000418,11.43472,11.81704,11.95606,11.95606
20000125,BMO,20000125,13.08022,12.87205,14.19048,14.25987
19991115,BMO,19991115,11.2894,12.05126,12.18978,12.22441
19991019,NaN,19991020,12.57071,12.6746,12.88238,12.88238
19990720,BMO,19990720,16.59549,16.24975,16.24975,15.83487
19990420,BMO,19990420,16.85234,16.33434,17.12861,18.37182
