EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150505,NaN,20150506,28.99,29.1,29.95,30.39
20150204,AMC,20150205,25.16324,26.93292,28.8219,29.33889
20141104,AMC,20141105,26.23371,25.9274,25.40371,25.39383
20140805,AMC,20140806,26.55404,26.58351,26.6228,26.55404
20140506,AMC,20140507,26.30553,26.36411,25.26073,25.3779
20140204,AMC,20140205,27.99251,28.03137,26.14707,26.25391
20131029,AMC,20131030,25.88418,26.23201,26.65713,26.918
20130806,AMC,20130807,23.08053,22.7925,24.12703,24.40545
20130430,AMC,20130501,20.46317,20.61581,19.42332,19.76676
20130205,AMC,20130206,17.41039,17.78245,18.47887,18.14497
20120807,AMC,20120808,16.8857,16.98109,18.74598,18.56472
20120501,AMC,20120502,13.73751,13.92831,15.23529,15.70274
20120207,AMC,20120208,16.24652,16.54226,15.53102,15.32115
20111101,AMC,20111102,13.58488,12.92662,13.46086,14.16681
20110802,AMC,20110803,16.86662,16.28468,15.24483,14.85369
20110503,AMC,20110504,20.35823,20.03388,19.51872,18.76506
20110208,AMC,20110209,19.61412,19.79538,19.32792,19.16574
20101026,AMC,20101027,18.04003,17.33407,18.86046,18.56472
20100727,AMC,20100728,18.66012,18.37393,18.64104,18.70782
20100427,AMC,20100428,21.66521,21.50303,21.98956,22.58104
20100126,AMC,20100127,16.9334,16.9334,17.95417,18.66966
20091027,AMC,20091028,15.6455,15.407,15.85538,15.73136
20090728,AMC,20090729,13.68028,13.73751,15.55964,16.15112
20090428,AMC,20090429,13.72797,13.90923,13.3273,13.83291
20090127,NaN,20090128,13.38454,13.75659,14.05233,13.85199
20081021,AMC,20081022,14.04279,13.48948,14.42439,14.30037
20080722,AMC,20080723,14.54841,14.79645,16.16066,15.75044
20080422,AMC,20080423,11.74367,11.30483,11.80091,11.93447
20080129,AMC,20080130,12.34468,12.81214,12.06802,12.17297
20071023,AMC,20071024,19.45194,19.6809,20.27238,20.03388
20070724,NaN,20070725,24.70845,23.88801,25.54796,23.82123
20070424,NaN,20070425,24.37455,24.67983,25.76738,25.5575
20070123,NaN,20070124,24.51765,24.56535,23.40148,23.15344
20061024,NaN,20061025,26.78815,26.26346,25.8437,26.04404
20060725,NaN,20060726,23.76399,23.81169,24.51765,24.30777
20060425,NaN,20060426,23.52549,23.69721,24.62259,24.12651
20060124,NaN,20060125,20.76845,21.18821,20.14836,20.88293
20051025,AMC,20051026,22.2853,22.1422,21.00695,21.83692
20050726,AMC,20050727,16.82845,16.99063,18.00187,17.97325
20050426,AMC,20050427,15.55964,15.14943,16.5995,16.2656
20050125,AMC,20050126,16.71398,16.5041,17.10511,16.76168
20041025,AMC,20041026,14.12865,14.99679,16.57088,16.34192
20040727,AMC,20040728,17.20051,17.08603,15.53102,15.89354
20040427,NaN,20040428,15.38792,15.80768,16.29422,15.92216
20040127,AMC,20040128,13.68982,13.06972,13.40362,13.49902
20031028,NaN,20031029,8.57641,8.82445,10.54163,10.93277
20030729,AMC,20030730,12.57364,12.60226,14.17635,14.38623
20030429,NaN,20030430,9.74982,9.74028,10.01694,10.36038
20030128,AMC,20030129,13.39408,13.31776,9.9597,9.99786
20021028,AMC,20021029,11.42885,11.21897,11.40023,11.76275
20020729,NaN,20020730,14.36715,15.04449,10.01694,11.03771
20020429,AMC,20020430,24.44133,24.76569,25.01373,26.23484
20020128,AMC,20020129,34.29609,34.46781,35.74616,35.64122
20011029,AMC,20011030,38.17884,37.39657,30.29885,29.82186
20010730,AMC,20010731,49.14024,48.30072,44.99036,46.66939
20010425,AMC,20010426,43.80741,44.13176,52.38382,53.40459
20010124,AMC,20010125,48.8922,47.16308,43.64523,43.58561
20001025,AMC,20001026,45.79172,44.00298,47.4612,47.6997
20000726,AMC,20000727,47.10346,46.92458,53.66217,52.17155
20000425,NaN,20000426,45.73209,50.32319,45.07622,44.12223
20000120,AMC,20000121,45.43397,46.26871,45.37434,42.03537
19991027,AMC,19991028,28.26208,28.50057,34.10529,32.73392
19990721,AMC,19990722,26.77146,27.90433,25.40009,23.84985
19990421,AMC,19990422,35.29778,36.66915,32.9128,37.74239
