EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150521,BMO,20150521,35.67,35.64,36.42,36.41
20150224,BMO,20150224,38.41,37.93,37.26,37.19
20141120,BMO,20141120,42.54077,42.38215,39.51702,39.17002
20140827,BMO,20140827,40.39936,40.33987,41.3511,41.80714
20140520,BMO,20140520,41.58233,42.22145,38.88818,39.27165
20140221,BMO,20140221,41.34634,41.93631,40.83504,40.81538
20131121,BMO,20131121,38.4627,38.25759,39.9473,40.54308
20130827,BMO,20130827,35.67908,36.05024,35.26887,34.77075
20130517,BMO,20130517,37.42785,36.9526,37.03019,37.62182
20130225,BMO,20130225,35.57537,35.35229,34.37271,34.37271
20121121,BMO,20121121,32.11343,32.64399,32.1906,32.37389
20120827,BMO,20120827,33.90769,33.66653,34.50578,34.14886
20120518,BMO,20120518,32.48194,31.22489,31.69508,33.10567
20120222,BMO,20120222,36.83846,36.91043,35.74933,35.60059
20111117,BMO,20111117,32.74017,32.55385,31.38337,31.64135
20110829,BMO,20110829,24.68532,25.61215,27.52315,28.16811
20110520,BMO,20110520,28.58577,28.98002,28.62852,27.91602
20110216,BMO,20110216,28.99939,29.279,27.64871,27.22217
20101118,BMO,20101118,23.72597,23.882,25.37138,25.41866
20100830,AMC,20100831,20.50136,20.27441,19.81105,20.2555
20100524,AMC,20100525,19.86694,19.82463,20.01267,20.07379
20100224,AMC,20100225,19.13533,19.36503,19.28065,19.34159
20091118,AMC,20091119,19.34122,19.38329,20.91208,20.62689
20090901,AMC,20090902,17.56465,17.26544,16.26027,16.59221
20090526,AMC,20090527,14.68371,15.45483,15.06094,15.39656
20090225,AMC,20090226,13.33194,13.12755,11.71074,11.33911
20081124,AMC,20081125,12.02528,12.80453,13.65755,15.52958
20080902,AMC,20080903,20.24656,19.7993,19.37048,18.55896
20080527,AMC,20080528,21.34897,21.69316,23.02254,23.22953
20080225,AMC,20080226,19.16451,19.74275,20.05023,19.82536
20071126,AMC,20071127,18.4544,18.33539,19.88699,20.96258
20070904,AMC,20070905,17.43136,18.20751,18.49971,18.78734
20070529,AMC,20070530,16.77501,17.18382,16.39156,16.63288
20070222,AMC,20070223,16.4207,16.39799,17.10206,16.97033
20061127,AMC,20061128,16.92674,16.76364,15.37271,15.6672
20060905,AMC,20060906,15.12296,14.94217,17.32858,16.93988
20060524,AMC,20060525,14.11427,14.28064,14.52794,14.61337
20060228,AMC,20060301,16.15565,15.5846,14.66284,14.62686
20051129,AMC,20051130,14.13116,14.17602,15.00146,14.8938
20050914,AMC,20050915,13.37008,13.1195,13.28059,13.06581
20050525,AMC,20050526,14.38832,14.09432,14.30368,14.24577
20050223,AMC,20050224,14.02304,14.1745,14.25468,14.18786
20041129,AMC,20041130,14.91263,15.10382,13.78329,13.49873
20040831,AMC,20040901,12.6479,12.60352,12.59908,12.58133
20040526,AMC,20040527,12.07432,11.91521,11.42906,11.61468
20040226,AMC,20040227,11.42464,11.48209,12.60246,12.68422
20031201,AMC,20031202,12.88557,13.0705,13.02867,13.20919
20030827,AMC,20030828,11.35991,11.56025,11.94331,12.08641
20030527,AMC,20030528,8.91695,9.06198,9.07516,9.13669
20030219,AMC,20030220,7.36883,7.22451,7.24856,7.31197
20021120,AMC,20021121,7.44749,7.55874,7.56092,7.75507
20020826,AMC,20020827,7.81834,7.80961,8.10192,8.07356
20020528,AMC,20020529,9.1792,9.15309,8.90283,8.49805
20020220,AMC,20020221,7.56505,7.60197,7.46731,7.60197
20011126,AMC,20011127,7.7745,7.8956,7.93669,7.85976
20010828,AMC,20010829,6.6067,6.6067,6.50939,6.46613
20010522,NaN,20010523,6.8223,6.82338,6.69179,6.48038
20010222,BMO,20010222,6.16482,6.05183,6.02601,5.73762
20001127,BMO,20001127,4.89479,4.93491,5.12215,5.20532
20000830,BMO,20000830,4.49358,4.54708,4.48021,4.52033
20000516,NaN,20000517,5.09114,5.1576,5.1576,5.14431
20000216,BMO,20000216,4.4779,4.4249,4.41165,4.29242
19991116,BMO,19991116,4.84702,4.89984,4.93946,4.86022
19990914,BMO,19990914,4.25269,4.27911,4.37156,4.56966
