EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150210,BMO,20150210,18.0899,17.91138,15.78899,15.62039
20141110,BMO,20141110,14.08455,14.24258,16.19822,16.06982
20140811,BMO,20140811,15.36128,15.54813,14.94823,15.12525
20140508,BMO,20140508,14.95199,15.03032,14.24698,14.38406
20140211,BMO,20140211,14.6969,14.81385,13.7223,13.82951
20131112,BMO,20131112,18.8974,19.20927,17.73763,17.57195
20130808,BMO,20130808,21.94789,21.48008,19.88174,20.38853
20130509,BMO,20130509,16.21135,16.53332,16.58553,16.51591
20130213,BMO,20130213,15.9677,16.0025,14.53191,14.38398
20121108,BMO,20121108,14.23605,13.9924,14.27086,14.56672
20120808,BMO,20120808,10.63353,10.80757,15.19325,14.54061
20120509,BMO,20120509,10.72055,11.06861,12.31297,12.73065
20120215,BMO,20120215,9.51101,9.4588,10.43339,10.4769
20111109,BMO,20111109,8.84097,9.11942,8.4755,8.62342
20110804,BMO,20110804,9.01501,8.9976,8.00561,7.88378
20110510,BMO,20110510,9.54581,9.55451,10.65093,10.59002
20110216,BMO,20110216,8.57121,8.51901,9.08462,9.03241
20101109,BMO,20101109,9.18034,9.01501,7.39649,6.67423
20100803,BMO,20100803,9.87105,10.11223,9.21643,9.36286
20100510,BMO,20100510,12.68767,12.60153,9.01832,8.25172
20100210,BMO,20100210,14.99608,15.19419,13.08389,12.4551
20091102,BMO,20091102,15.60764,15.70239,14.37591,14.60848
20090805,BMO,20090805,18.35534,18.38118,16.69294,16.09861
20090501,BMO,20090501,17.5629,17.82991,16.30533,16.36563
20090211,BMO,20090211,16.46037,15.77129,16.87382,17.28726
20081104,BMO,20081104,18.82908,19.08748,15.71961,14.66877
20080806,BMO,20080806,18.58791,20.10388,18.96689,19.05303
20080430,BMO,20080430,19.23392,19.39757,20.01774,20.26753
20080213,BMO,20080213,23.32532,23.19612,21.73183,21.36145
20071108,BMO,20071108,22.97217,22.07637,22.99801,22.49843
20070807,BMO,20070807,24.60012,25.84045,24.2039,24.35894
20070503,BMO,20070503,31.5512,31.8096,29.07052,28.66569
20070207,BMO,20070207,26.20586,26.3353,25.94697,26.1529
20061107,BMO,20061107,24.52901,24.79966,23.15812,24.29366
20060802,BMO,20060802,22.08141,22.21673,22.06964,22.26968
20060503,BMO,20060503,23.09339,23.41112,21.78722,21.25181
20060208,BMO,20060208,22.82863,22.72861,22.59916,22.56975
20051102,BMO,20051102,21.26946,21.46362,21.99903,21.76957
20050803,BMO,20050803,21.11648,20.91644,20.78111,20.8223
20050504,BMO,20050504,16.97083,17.35084,18.4759,18.75091
20050210,BMO,20050210,17.43085,17.04583,16.97583,17.00083
20041103,BMO,20041103,15.03573,14.97573,15.72577,15.95077
20040804,BMO,20040804,18.32589,18.15088,17.67586,17.62585
20040504,BMO,20040504,16.79082,16.5058,17.07583,17.05083
20040212,BMO,20040212,16.4908,16.5508,17.20084,17.09583
20031105,BMO,20031105,15.08073,15.35074,15.46575,15.60076
20030807,BMO,20030807,14.4007,14.56571,13.98068,14.73072
20030508,BMO,20030508,14.86739,14.75072,14.3507,14.64738
20030213,BMO,20030213,12.82396,12.70729,13.49732,13.62733
20020808,BMO,20020808,10.74719,11.16387,11.72057,12.00725
20020508,BMO,20020508,12.13059,11.78391,12.42394,12.48394
20020214,BMO,20020214,10.58885,10.61718,10.83886,11.0422
