EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150423,AMC,20150424,91.97916,93.27887,93.82874,90.9194
20150129,AMC,20150130,78.67365,78.18388,71.31705,76.37472
20141106,AMC,20141107,61.09474,61.70429,70.28793,70.67764
20140724,AMC,20140725,62.97235,62.73261,58.44721,58.0876
20140424,AMC,20140425,54.27248,54.17263,57.32812,58.17691
20140122,AMC,20140123,59.84181,59.89172,57.60585,56.59768
20131030,AMC,20131031,57.736,56.59845,57.15725,56.56851
20130730,AMC,20130731,49.66351,50.00265,49.83308,51.77813
20130424,AMC,20130425,43.87041,43.87041,44.14959,44.04988
20130130,AMC,20130131,44.22943,44.28923,44.9171,45.11642
20121101,AMC,20121102,46.42021,47.67535,43.30229,43.56128
20120725,AMC,20120726,43.00381,43.68088,39.02106,43.00381
20120425,AMC,20120426,41.47034,42.84373,43.10248,44.10764
20120126,AMC,20120127,39.0021,39.022,35.81907,36.30647
20111102,AMC,20111103,25.76897,27.02163,33.79195,33.78201
20110803,AMC,20110804,28.83662,29.18428,27.81348,26.40294
20110504,AMC,20110505,28.93566,28.88603,28.38971,28.29044
20110126,AMC,20110127,23.82478,24.56869,25.77877,25.44154
20101103,AMC,20101104,24.22061,24.4089,25.21163,25.25127
20100728,AMC,20100729,24.24948,23.32861,24.15046,23.61576
20100428,AMC,20100429,24.69315,23.96106,21.83405,20.83485
20100127,AMC,20100128,22.65383,22.4265,21.95207,21.67533
20091104,AMC,20091105,20.05204,19.26221,18.32427,18.41313
20090722,AMC,20090723,15.21981,15.59463,17.83371,17.55752
20090422,AMC,20090423,14.90624,14.96535,15.04417,15.77323
20090128,NaN,20090129,15.00019,15.76742,12.89525,12.49197
20081105,AMC,20081106,14.74324,13.94764,13.67262,14.7236
20080723,NaN,20080724,21.29669,22.59216,21.65,22.20941
20080428,AMC,20080429,26.18114,25.91638,22.80798,24.28864
20080122,AMC,20080123,22.14312,21.61404,21.57485,22.84857
20080114,NaN,20080115,27.91405,27.76709,22.44686,23.21109
20071030,AMC,20071031,33.57862,33.3436,37.13331,36.58493
20070725,AMC,20070726,36.97675,37.33888,36.86908,37.65208
20070425,NaN,20070426,36.00779,35.84149,35.76324,35.32304
20070416,NaN,20070417,39.33369,39.66628,36.27191,36.17408
20070124,AMC,20070125,40.12561,40.0865,39.94962,39.43143
20061101,AMC,20061102,35.79657,35.63043,39.00194,38.23969
20060726,AMC,20060727,34.07684,33.36386,32.47506,32.87551
20060426,AMC,20060427,39.67214,39.43786,36.43121,36.22621
20060125,AMC,20060126,44.29878,44.10363,43.42061,43.74261
20051102,AMC,20051103,40.50496,41.12916,43.40165,43.17733
20050727,AMC,20050728,35.99123,36.06922,36.70287,36.68337
20050427,AMC,20050428,32.20002,32.39487,31.76159,32.03439
20050126,AMC,20050127,33.58349,33.78797,33.5348,33.28164
20041110,AMC,20041111,30.57574,31.0623,30.32273,30.78009
20040804,AMC,20040805,27.83036,27.72339,26.75099,26.64402
20040728,AMC,20040729,26.01195,26.1092,27.65533,27.79146
20040505,AMC,20040506,33.12993,33.51867,33.18824,33.03275
20040429,AMC,20040430,35.28741,35.18051,32.77036,33.1105
20040204,AMC,20040205,38.86089,39.21712,39.95547,40.02672
20040126,AMC,20040127,35.36989,35.62249,38.14845,38.05776
20031104,AMC,20031105,41.42292,36.56716,36.21754,35.56363
20031103,AMC,20031104,41.29344,41.42292,36.56716,36.21754
20030806,AMC,20030807,35.91993,36.17882,36.1141,36.04291
20030723,AMC,20030724,32.29559,32.54799,35.86816,36.96841
20030508,AMC,20030509,34.28238,33.53838,33.93949,33.78415
20030423,AMC,20030424,33.28606,33.64835,34.1918,33.64189
20030205,AMC,20030206,31.31212,31.5902,31.20219,31.25393
20030122,AMC,20030123,27.67779,29.42382,30.65251,30.49084
20021106,AMC,20021107,24.8533,25.18942,24.82745,24.58182
20021030,AMC,20021031,22.98527,23.26968,24.86624,25.59664
20020807,AMC,20020808,20.1952,20.69265,22.14624,22.86334
20020718,AMC,20020719,20.43424,19.04525,20.02724,20.01431
20020508,AMC,20020509,24.25608,24.79416,24.57893,24.48423
20020423,AMC,20020424,27.07557,26.89477,27.54046,28.40997
20020206,AMC,20020207,25.64672,25.6252,25.81884,25.96945
20020129,AMC,20020130,21.30054,22.04068,23.99001,24.57523
20011106,AMC,20011107,21.14677,21.14247,21.54252,24.08908
20011025,AMC,20011026,22.20497,22.14045,20.62627,20.91449
20010731,AMC,20010801,26.95798,26.83327,26.85048,26.44625
20010726,AMC,20010727,27.69331,28.14484,25.4013,26.95798
20010502,AMC,20010503,20.3774,20.54936,21.17989,21.19421
20010426,AMC,20010427,18.08459,18.58613,19.38862,19.89591
20010207,AMC,20010208,17.19062,18.34239,18.09312,17.38544
20010125,AMC,20010126,13.55552,13.46599,15.75807,17.19062
20001030,AMC,20001031,10.9897,11.0255,11.74144,12.13521
20001026,BMO,20001026,11.58035,11.16869,11.15079,10.9897
20000726,AMC,20000727,13.54362,14.29505,14.08035,13.3826
20000720,AMC,20000721,13.81199,13.88355,14.00879,13.40049
20000426,AMC,20000427,11.37341,12.30331,12.58943,12.1066
20000425,AMC,20000426,10.94422,11.37341,12.30331,12.58943
20000120,AMC,20000121,15.64048,15.47961,14.71099,14.85399
20000119,AMC,20000120,15.22936,15.64048,15.47961,14.71099
19991020,BMO,19991020,9.54067,9.34414,9.43347,9.50493
