EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150421,AMC,20150422,51.29548,51.27552,52.95178,52.75222
20150210,AMC,20150211,50.48273,51.14973,53.54893,53.53898
20141023,AMC,20141024,47.48824,48.01456,45.34323,45.70073
20140722,AMC,20140723,46.57523,47.2488,46.6941,46.66438
20140421,AMC,20140422,45.93004,46.41403,44.43855,44.44842
20140210,AMC,20140211,42.1904,42.21995,41.97368,43.7074
20131021,AMC,20131022,39.93853,40.54782,40.40042,40.73455
20130718,AMC,20130719,38.92914,39.44859,36.90036,36.73374
20130418,AMC,20130419,35.77914,36.03331,35.77914,35.73026
20130211,AMC,20130212,36.2243,36.32181,36.42907,35.97078
20121018,AMC,20121019,29.8995,29.7537,31.62971,31.23118
20120719,AMC,20120720,31.40224,30.9564,32.84635,32.52651
20120419,AMC,20120420,34.39582,33.67058,33.87365,33.10973
20120207,AMC,20120208,35.60818,35.27043,34.31509,35.00988
20111019,AMC,20111020,29.60665,28.29722,28.16242,28.88453
20110720,AMC,20110721,32.62211,32.90052,31.31646,31.95008
20110420,AMC,20110421,30.07207,29.89005,32.00726,32.37131
20110214,AMC,20110215,27.3448,27.49772,30.31726,30.57532
20101020,AMC,20101021,23.99399,24.4039,25.58597,25.75756
20100722,AMC,20100723,26.905,28.04585,27.53247,27.9698
20100421,AMC,20100422,26.56134,26.35272,25.64151,25.7553
20100208,AMC,20100209,21.24928,20.77645,21.78832,21.91125
20091021,AMC,20091022,23.88364,23.43105,22.80873,22.52586
20090720,AMC,20090721,20.11015,20.41101,19.50845,19.08537
20090420,AMC,20090421,16.91087,15.4868,14.05335,14.92466
20090209,NaN,20090210,21.32274,20.37175,18.26465,17.74253
20081020,AMC,20081021,20.67491,21.53907,21.12093,19.82932
20080721,AMC,20080722,32.13544,32.11689,34.2778,33.15561
20080421,AMC,20080422,30.73739,30.7559,31.95911,31.30197
20080211,AMC,20080212,27.1887,27.62276,30.7997,31.24299
20071022,NaN,20071023,25.43522,26.23698,25.68405,25.97895
20070723,AMC,20070724,32.56879,32.09052,30.30618,30.82124
20070423,AMC,20070424,30.43827,30.92477,27.76712,28.39131
20070212,AMC,20070213,28.9879,28.52079,29.07033,29.15276
20061023,AMC,20061024,32.86865,32.68584,29.22166,28.99315
20060724,AMC,20060725,35.33403,35.25194,30.5,29.8433
20060424,AMC,20060425,36.57666,35.76647,36.01226,36.68589
20060213,AMC,20060214,32.82645,33.2444,31.71801,32.98091
20051025,AMC,20051026,31.56929,31.73258,31.65094,30.21762
20050726,AMC,20050727,28.59784,29.15023,29.67546,30.76214
20050426,AMC,20050427,21.89762,20.95812,20.73228,21.83439
20050215,AMC,20050216,25.43306,25.40299,26.79824,26.46145
20041026,AMC,20041027,26.29306,27.18312,25.45712,25.34887
20040727,AMC,20040728,21.11504,21.62021,23.18986,24.23629
20040427,AMC,20040428,20.29713,20.44147,20.1528,19.98441
20040209,AMC,20040210,17.85546,18.04791,19.17252,19.57546
20031027,AMC,20031028,18.22833,18.51099,17.48862,17.24805
20030724,AMC,20030725,16.81505,16.85715,17.1398,17.93365
20030423,AMC,20030424,13.23674,13.51338,13.351,14.14485
20030212,BMO,20030212,11.29423,10.97549,11.29423,11.08975
20021030,BMO,20021030,10.21171,10.11549,10.61465,10.4222
20020717,BMO,20020717,15.94904,16.0633,14.74625,13.61562
20020417,BMO,20020417,17.63896,18.10204,17.15183,17.23001
20020211,BMO,20020211,15.82876,16.23169,17.23001,16.1054
20011017,BMO,20011017,14.89058,16.79099,16.38204,16.67673
20010718,BMO,20010718,15.82275,16.02722,15.40778,15.02288
20010418,BMO,20010418,22.01112,22.55237,21.77055,19.96636
20010213,BMO,20010213,25.20228,26.0104,20.78577,22.25168
20001018,BMO,20001018,22.55237,21.04888,19.69574,21.2744
