EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,AMC,20150501,43.71377,43.28667,46.10755,46.68364
20150305,AMC,20150306,46.18701,46.46512,47.14055,46.64391
20141106,AMC,20141107,48.53407,47.9263,42.26023,43.04446
20140805,AMC,20140806,38.51346,38.31875,39.7888,38.37716
20140501,AMC,20140502,37.40502,36.45732,37.37601,38.30437
20140304,AMC,20140305,46.20506,48.23585,39.05865,37.01821
20131105,AMC,20131106,42.43063,41.59023,40.63523,39.74708
20130801,AMC,20130802,34.63506,35.05257,33.54381,33.30658
20130502,AMC,20130503,24.8198,25.95054,30.04948,29.38046
20130305,AMC,20130306,19.18493,19.57127,23.3781,23.63251
20121106,AMC,20121107,19.19839,19.44359,18.52636,19.3891
