EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150326,AMC,20150327,57.3849,59.30835,70.5601,71.91549
20141210,AMC,20141211,62.13235,60.83171,56.36391,55.60934
20140909,AMC,20140910,61.58911,61.21314,63.5283,64.42864
20140610,AMC,20140611,67.79659,71.465,68.69398,68.25021
20140327,AMC,20140328,71.88497,72.65179,74.99159,76.87917
20131211,AMC,20131212,71.40248,71.69672,75.40416,75.37473
20130910,AMC,20130911,62.46877,63.31003,63.73066,63.22198
20130611,AMC,20130612,62.28982,62.87516,62.43615,64.12389
20130402,AMC,20130403,50.89058,50.61827,52.46601,53.27318
20121204,AMC,20121205,53.73288,51.17325,47.05263,46.4612
20120829,AMC,20120830,49.63194,50.9276,52.06857,52.72607
20120605,AMC,20120606,42.11924,42.24451,45.5015,44.57644
20120327,AMC,20120328,48.39022,47.65078,46.35436,48.49586
20111206,AMC,20111207,36.47241,38.70346,37.6406,39.04817
20110831,AMC,20110901,33.53782,34.17708,36.62921,35.55104
20110607,AMC,20110608,34.05968,32.8049,30.81816,30.16226
20110329,AMC,20110330,23.0425,23.67679,31.64794,32.36743
20101208,AMC,20101209,26.59455,26.10433,21.74889,22.64449
20100901,AMC,20100902,18.50605,20.06386,21.59352,21.51845
20100608,AMC,20100609,16.69367,16.93642,20.47496,21.20321
20100329,AMC,20100330,21.8194,21.83798,19.13494,18.88414
20091209,AMC,20091210,19.48014,19.48939,22.34759,22.76383
20090902,AMC,20090903,12.45722,12.99162,15.59916,16.50212
20090609,AMC,20090610,10.07549,11.09764,12.1928,11.48095
20090330,AMC,20090331,6.4744,5.82516,5.56366,5.54562
20090305,NaN,20090306,3.61593,3.22818,3.15604,2.99373
20081209,AMC,20081210,5.71429,5.81978,4.98462,4.22857
20080909,AMC,20080910,21.08634,19.99117,21.66,22.51179
20080610,AMC,20080611,20.05676,19.67817,19.86747,18.78332
20080331,NaN,20080401,19.11809,19.26344,21.15302,21.81138
20080108,AMC,20080109,19.30626,18.19553,19.04342,18.98406
20071009,BMO,20071009,30.13535,30.52267,23.91293,23.10461
20070730,AMC,20070731,34.7937,35.46426,33.8633,34.2824
20070403,AMC,20070404,41.02764,41.94604,38.51455,38.95705
20070109,AMC,20070110,40.18785,41.20252,35.82973,36.15409
20061004,AMC,20061005,37.25204,38.53745,39.22577,39.48285
20060808,AMC,20060809,29.1689,28.77226,33.96152,33.72189
20060405,AMC,20060406,41.41814,41.79699,39.86156,38.57677
20060110,NaN,20060111,43.50385,42.2726,36.48577,37.92222
20051006,AMC,20051007,35.67777,36.77479,39.29631,39.1735
20050804,AMC,20050805,38.61141,39.14202,41.63176,39.77874
20050330,AMC,20050331,27.80853,28.4021,29.75187,29.68682
20050104,AMC,20050105,32.55887,32.21052,30.22572,29.77205
20040930,AMC,20041001,30.39727,30.08231,32.06088,31.20484
20040728,AMC,20040729,31.60608,32.28231,32.20181,31.85564
20040401,AMC,20040402,37.06368,37.25626,36.41373,36.91925
20040107,AMC,20040108,27.68716,28.16728,28.6314,28.48736
20031002,AMC,20031003,26.12346,25.60099,27.31596,28.08172
20030717,AMC,20030718,18.82727,18.44993,19.50648,18.91862
20030402,AMC,20030403,10.03341,10.00181,10.02946,10.17957
20021219,AMC,20021220,10.18465,10.27856,10.03597,10.01641
20020923,AMC,20020924,7.86318,7.75844,8.04162,8.4567
20020715,AMC,20020716,9.1128,9.01283,8.73598,8.93208
20020325,AMC,20020326,10.55158,10.15838,10.17365,10.19273
20011219,AMC,20011220,8.93491,8.78347,8.54874,8.70775
20010924,AMC,20010925,6.8659,7.12853,7.1848,7.34613
20010716,NaN,20010717,7.97409,7.98524,8.15997,8.12279
20010326,AMC,20010327,6.80977,6.84658,6.80977,6.79137
20001220,AMC,20001221,5.259,5.28177,5.28177,5.28177
20000925,AMC,20000926,7.52962,7.14752,6.56313,6.47323
20000717,AMC,20000718,6.16259,6.18484,6.51855,6.49631
20000320,AMC,20000321,5.97345,5.92953,5.97345,5.88561
19991220,AMC,19991221,6.67925,6.766,6.87443,6.87443
