EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150514,BMO,20150514,41.36,41.65,43.41,43.01
20150205,BMO,20150205,35.28,35.17,39.45,39.55
20141106,BMO,20141106,35.53,35.47,37.32,32.79
20140807,BMO,20140807,30.79,30.92,32.98,34.05
20140515,BMO,20140515,33.39,33.17,32.97,33.25
20140206,BMO,20140206,29.42,28.97,26.34,27.38
20131107,BMO,20131107,30.17,29.45,32.83,33.34
20130801,BMO,20130801,33.99,33.91,34.66,35.02
20130516,BMO,20130516,29.94,29.73,29.11,29.6
20130207,BMO,20130207,22.56,22.49,23.61,23.8
20121101,BMO,20121101,17.42,17.39,20.6,20.85
20120807,BMO,20120807,15.72,15.66,16.28,16.3
20120517,BMO,20120517,13.85,13.71,13.7,13.85
20120209,BMO,20120209,13.4,13.46,13.3,13.32
20111110,BMO,20111110,10.58,10.07,10.07,10.02
20111109,AMC,20111110,10.58,10.07,10.07,10.02
20110804,BMO,20110804,11.7,11.65,10.82,10.58
20110512,BMO,20110512,11.68,11.44,12.47,12.32
20110209,BMO,20110209,11.28,11.5,11.13,11.05
20101104,BMO,20101104,11.05,10.93,11.54,11.18
20100805,BMO,20100805,8.06,8.07,8.17,8.16
20100513,BMO,20100513,9.77,9.89,7.98,7.9
20100205,BMO,20100205,7.66,7.52,7.49,7.2
20091105,BMO,20091105,6.92,6.83,7.46,7.41
20090805,BMO,20090805,6.84,6.75,6.87,6.99
20090514,BMO,20090514,6.45,6.23,6.22,6.59
20090205,BMO,20090205,6.53,6.4,6.16,6.99
20081106,BMO,20081106,6.95,6.88,7.38,8.08
20080807,BMO,20080807,10.34,10.21,10.19,10.62
20080515,BMO,20080515,8.24,8.63,9.4,9.8
20080208,BMO,20080208,7.6,8.02,7.48,7.14
20071108,BMO,20071108,8.76,8.43,8.97,8.61
20070807,BMO,20070807,11.88,11.7,11.35,11.4
20070509,BMO,20070509,13.15,13.0,12.83,12.48
20070206,NaN,20070207,12.7,10.99,10.99,10.99
20061101,AMC,20061102,11.8,11.47,11.38,11.29
20060731,AMC,20060801,9.01,8.78,9.6,9.99
20060516,AMC,20060517,10.64,10.27,10.11,10.56
20060206,AMC,20060207,12.76,13.04,11.01,11.13
20051115,BMO,20051115,11.43,10.42,9.8,9.72
20050727,AMC,20050728,20.0,20.04,11.9,11.25
20050509,AMC,20050510,17.85,17.98,17.9,17.6
