EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,44.18,43.8,44.52,44.2
20150121,AMC,20150122,39.65,40.03,39.36,39.35
20141022,AMC,20141023,36.25,35.46,38.12,38.54
20140716,AMC,20140717,41.99,42.08,40.45,41.21
20140416,AMC,20140417,39.85,40.28,43.52,44.63
20140115,AMC,20140116,42.09,43.14,40.69,40.98
20131023,AMC,20131024,39.31,38.72,40.53,40.34
20130717,AMC,20130718,30.5,30.38,32.76,32.71
20130417,AMC,20130418,25.4,25.33,25.41,25.64
20130116,AMC,20130117,24.6,25.08,26.08,25.85
20121024,AMC,20121025,28.99,28.82,26.32,26.3
20120718,AMC,20120719,26.69,27.45,29.75,28.75
20120418,AMC,20120419,33.49,33.08,32.95,32.54
20120118,AMC,20120119,32.66,33.25,36.5,37.12
20111026,AMC,20111027,27.75,27.9,25.02,26.07
20110720,AMC,20110721,33.21,33.38,30.29,30.57
20110420,AMC,20110421,33.0,33.73,36.92,36.42
20110119,AMC,20110120,30.94,30.65,29.0,27.39
20101027,AMC,20101028,33.25,33.59,30.68,30.35
20100721,AMC,20100722,29.84,28.86,30.26,30.37
20100420,AMC,20100421,37.37,39.66,38.8,38.9
20100120,AMC,20100121,28.73,28.98,33.07,33.37
20091028,AMC,20091029,25.56,24.09,25.64,25.3
20090729,AMC,20090730,25.5,25.18,25.27,25.67
20090429,AMC,20090430,20.56,21.36,22.15,20.74
20090128,AMC,20090129,15.37,16.37,14.37,14.46
20081028,AMC,20081029,13.89,14.84,16.86,17.47
20080724,AMC,20080725,29.46,28.37,30.24,29.67
20080423,AMC,20080424,25.87,26.59,24.66,24.37
20080123,AMC,20080124,18.54,19.84,22.2,21.88
20071031,AMC,20071101,26.23,25.8,31.3,30.75
20070725,AMC,20070726,24.15,24.03,25.76,24.69
20070425,AMC,20070426,18.68,19.01,21.57,21.21
20070124,AMC,20070125,20.61,21.22,18.18,17.62
20061101,AMC,20061102,21.92,21.76,26.04,26.19
20060726,AMC,20060727,31.83,33.6,22.89,24.73
20060427,AMC,20060428,39.55,39.27,43.56,44.54
20060125,AMC,20060126,23.91,23.48,30.79,28.11
20051103,AMC,20051104,17.94,17.73,19.99,19.14
20050727,AMC,20050728,14.15,13.77,14.79,14.43
20050427,AMC,20050428,10.78,10.42,11.72,12.11
20050125,AMC,20050126,10.59,10.93,11.11,11.47
20041027,AMC,20041028,11.24,11.9,12.11,12.39
20040721,AMC,20040722,10.78,10.47,11.1,10.66
20040421,AMC,20040422,17.36,18.42,16.97,16.75
20040121,AMC,20040122,24.46,22.8,23.58,23.05
20031023,AMC,20031024,16.08,16.21,16.73,16.91
20030723,AMC,20030724,11.95,11.96,12.91,13.53
20030423,AMC,20030424,9.84,10.0,9.85,9.67
20030123,BMO,20030123,8.61,8.55,8.9,9.28
20021024,BMO,20021024,10.1,10.47,10.42,10.23
20020719,BMO,20020719,15.67,15.05,13.62,13.96
20020418,BMO,20020418,24.91,25.04,25.42,25.85
20020117,BMO,20020117,26.5,25.32,27.12,25.85
20011024,AMC,20011025,25.0,25.7,27.4,26.81
20010719,BMO,20010719,30.05,27.67,32.05,32.63
20010419,BMO,20010419,26.9,31.4,34.24,32.55
20010118,AMC,20010119,31.4375,34.375,43.6875,43.75
20001026,AMC,20001027,63.5625,66.75,59.125,52.8125
20000720,AMC,20000721,67.0,67.24219,59.5,55.5
20000418,AMC,20000419,29.96875,31.1875,35.65625,35.5625
20000119,BMO,20000119,21.6875,22.19531,24.76562,25.875
19991026,AMC,19991027,13.875,13.75,12.9375,13.25
19990715,AMC,19990716,15.53125,16.9375,15.625,15.4375
19990415,AMC,19990416,16.375,16.375,16.125,14.53125
