EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150513,BMO,20150513,134.64,133.2,129.17999,131.69
20150204,BMO,20150204,167.17262,170.19128,139.18765,141.23994
20141029,BMO,20141029,160.34538,159.91805,160.78262,165.07574
20140806,BMO,20140806,154.9157,155.1833,155.49055,156.71956
20140509,BMO,20140509,150.77788,150.21454,147.07169,145.61885
20140205,BMO,20140205,151.42776,151.9402,146.54968,150.01854
20131106,BMO,20131106,166.69627,168.26898,177.43979,169.86134
20130807,BMO,20130807,184.63882,185.82529,169.76378,174.24492
20130523,BMO,20130523,185.43764,183.97026,179.6953,177.03445
20130206,BMO,20130206,158.46925,160.93832,170.42422,173.77162
20121102,BMO,20121102,149.5899,154.79716,156.46155,156.92874
20120808,BMO,20120808,145.67108,148.55421,146.92336,144.08875
20120522,BMO,20120522,136.98145,141.61816,145.46112,145.09328
20120208,BMO,20120208,152.1996,151.87086,165.81354,166.82878
20111109,BMO,20111109,151.89627,153.56662,144.77071,146.00658
20110810,BMO,20110810,110.07607,115.56251,120.79826,125.87973
20110525,BMO,20110525,123.82782,124.56914,110.42646,113.91159
20110209,BMO,20110209,109.42104,111.27612,120.48426,122.05099
20101110,BMO,20101110,97.06022,96.91617,103.98417,102.27479
20100804,BMO,20100804,78.315,76.0799,81.98901,80.85708
20100519,BMO,20100519,83.32384,82.17429,84.39677,81.43665
20100203,BMO,20100203,79.55231,81.97313,75.12211,73.81123
20091103,BMO,20091103,71.12074,73.30922,74.9912,71.96173
20090805,BMO,20090805,61.67711,60.92262,65.23944,65.71696
20090527,BMO,20090527,47.72372,51.88357,51.54964,50.71958
20090204,BMO,20090204,37.04056,37.8315,36.81186,38.46996
20081105,BMO,20081105,45.25953,47.12511,45.68785,43.69852
20080806,BMO,20080806,55.99311,58.49459,62.64153,63.7924
20080528,BMO,20080528,56.57676,58.68663,65.57697,66.61289
20080206,BMO,20080206,57.41485,54.56595,60.00735,60.05483
20071107,BMO,20071107,61.8004,62.93906,64.26749,62.72081
20070808,BMO,20070808,84.53682,87.97897,77.56715,73.24311
20070530,BMO,20070530,87.40275,88.40737,91.37388,92.43536
20070207,BMO,20070207,79.27338,80.58054,79.18812,79.15971
20061108,BMO,20061108,66.64246,67.75001,72.05716,70.41949
20060808,BMO,20060808,55.07955,55.19306,55.64709,54.38905
20060525,BMO,20060525,51.3616,52.62793,53.01538,53.24219
20060207,BMO,20060207,54.35941,54.26499,51.14902,52.45206
20051104,BMO,20051104,47.2635,49.19744,51.6974,51.85778
20050809,BMO,20050809,46.85875,47.25458,48.98869,49.47877
20050610,BMO,20050610,37.55123,38.18195,41.52381,40.9025
20050202,BMO,20050202,36.61801,36.27956,36.85304,36.38298
20041103,BMO,20041103,35.02465,35.22184,36.53643,36.82753
20040804,BMO,20040804,31.31988,31.05732,32.40764,31.75123
20040526,BMO,20040526,31.64862,31.46135,30.89954,30.80591
20040204,BMO,20040204,28.44254,28.30229,28.09659,28.60149
20031105,BMO,20031105,28.29841,28.04642,28.68108,27.97175
20030806,BMO,20030806,24.00777,23.34632,25.70331,25.61946
20030521,BMO,20030521,21.25467,21.71026,21.39414,22.45408
20030206,BMO,20030206,19.60897,19.24636,19.61827,19.24636
20021106,BMO,20021106,17.29383,17.67504,19.8972,19.80422
20020807,BMO,20020807,17.36821,18.50254,19.58108,20.08316
20020522,BMO,20020522,26.58229,26.78684,24.75993,25.09465
20020207,BMO,20020207,24.12768,23.79296,24.23925,24.74133
20011106,AMC,20011107,20.40858,21.23608,22.17515,21.9799
20010808,BMO,20010808,22.7795,21.52431,23.33737,22.84459
20010523,BMO,20010523,27.14945,26.64737,27.33541,27.66083
20010208,BMO,20010208,22.76091,23.46754,24.71344,25.08535
20001108,BMO,20001108,21.03617,20.97807,21.21051,20.6294
20000809,BMO,20000809,15.98052,17.49141,16.73596,18.0144
20000524,BMO,20000524,14.8183,14.64397,13.53986,12.55197
20000210,BMO,20000210,15.28319,14.87641,14.00475,14.06286
19991109,BMO,19991109,16.21296,16.03863,15.98052,15.22508
19990810,BMO,19990810,17.66574,16.96841,17.66574,18.13063
