EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150420,AMC,20150421,50.08376,50.80095,48.36051,48.56969
20150126,AMC,20150127,48.95681,49.14537,48.7881,47.38876
20141015,AMC,20141016,42.51916,42.19366,42.28667,42.11927
20140716,AMC,20140717,42.24013,42.2216,41.35086,41.98076
20140416,AMC,20140417,39.22026,39.95835,39.69079,40.21668
20140122,AMC,20140123,41.5058,41.32203,40.21937,39.60372
20131016,AMC,20131017,39.67559,40.22239,41.25373,42.31619
20130717,AMC,20130718,37.11099,36.75688,37.78823,37.96972
20130417,AMC,20130418,32.11016,31.91628,31.02176,31.02616
20130123,AMC,20130124,30.12672,30.17058,30.39426,29.69252
20121017,AMC,20121018,27.73496,28.08362,28.75663,28.40796
20120718,AMC,20120719,28.07553,28.39824,27.03077,25.4253
20120418,AMC,20120419,28.28889,28.08814,27.3494,27.28115
20120125,AMC,20120126,29.56954,29.49357,28.88987,28.38612
20111018,AMC,20111019,25.11088,25.99632,25.60732,25.84072
20110720,AMC,20110721,22.90659,22.84024,24.14519,24.43272
20110418,AMC,20110419,21.54019,21.43016,21.40816,21.46684
20110124,AMC,20110125,18.60294,18.60294,19.35465,19.81078
20101018,AMC,20101019,18.835,19.15636,18.58755,18.73538
20100719,AMC,20100720,16.7718,16.70786,17.51992,17.57746
20100420,NaN,20100421,18.91875,18.75974,18.68659,18.75656
20100419,AMC,20100420,18.7184,18.91875,18.75974,18.68659
20100126,BMO,20100126,16.00961,16.25645,16.46531,16.63303
20100125,AMC,20100126,16.00961,16.25645,16.46531,16.63303
20091020,NaN,20091021,17.28343,16.58138,16.25083,16.42398
20091019,AMC,20091020,17.0662,17.28343,16.58138,16.25083
20090720,AMC,20090721,14.3733,14.19164,15.02165,15.00286
20090420,AMC,20090421,16.38527,15.41392,15.79997,15.17109
20090126,AMC,20090127,16.87342,16.93226,17.19862,17.95433
20081014,AMC,20081015,16.63888,16.24418,14.81033,15.96666
20080715,AMC,20080716,14.44589,13.71177,15.50867,15.94484
20080415,AMC,20080416,15.17532,15.41683,14.93687,14.49971
20080122,AMC,20080123,15.96116,16.162,16.81019,16.36893
20071016,AMC,20071017,17.51889,17.70075,17.45524,17.32491
20070718,NaN,20070719,17.14001,18.17258,18.06087,17.90689
20070418,NaN,20070419,16.84123,17.23519,16.96754,17.11189
20070123,NaN,20070124,15.2823,16.42098,16.43596,16.53185
20061019,NaN,20061020,16.07053,15.99887,15.98692,16.00484
20060720,NaN,20060721,14.24688,13.62513,13.98212,13.89287
20060418,NaN,20060419,16.23071,15.82183,15.39814,15.09
20060124,NaN,20060125,16.22856,15.68209,15.93613,16.06314
20051018,NaN,20051019,12.95319,13.83636,14.57233,14.73719
20050719,NaN,20050720,13.81752,13.97593,13.56522,13.49481
20050414,NaN,20050415,12.33295,12.71588,12.52588,12.75096
20050120,BMO,20050120,11.82225,11.82807,12.04657,11.82225
20041014,BMO,20041014,11.23672,11.23381,10.84474,10.75473
20040714,BMO,20040714,10.75795,10.784,10.92288,10.79846
20040415,BMO,20040415,11.13737,11.1143,11.07106,10.826
20040122,BMO,20040122,10.8577,10.95257,11.45564,11.78623
20031016,BMO,20031016,9.74503,9.74503,9.74503,9.61605
20030716,NaN,20030717,10.05598,9.54161,9.21584,9.36444
20030417,NaN,20030421,8.29016,8.75737,8.83144,8.70324
20030121,NaN,20030122,7.72297,7.75136,7.66902,7.76556
20021015,NaN,20021016,7.37237,7.54218,7.47426,7.72613
20020716,NaN,20020717,6.92461,7.20386,7.69323,7.47464
20020416,NaN,20020417,7.61972,7.82353,7.96128,7.89663
20020122,NaN,20020123,6.34727,6.23518,6.36829,6.34307
20011016,NaN,20011017,5.72419,5.68091,5.64042,5.59853
20010717,NaN,20010718,6.02127,6.11861,6.13251,6.04908
20010417,NaN,20010418,5.53499,5.52113,5.52806,5.6389
20010110,NaN,20010111,6.13403,5.72854,5.81481,5.82344
20001011,NaN,20001012,5.19301,5.16721,5.17581,5.17581
20000712,AMC,20000713,4.8214,4.83852,4.86421,4.93272
20000412,NaN,20000413,4.36541,4.43362,4.41656,4.36541
20000118,NaN,20000119,4.5757,4.58419,4.61815,4.55023
