EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150505,AMC,20150506,57.67,57.48,56.61,55.76
20150224,AMC,20150225,46.85656,46.21715,52.90096,50.38329
20141028,AMC,20141029,56.45766,58.32593,56.03805,54.2497
20140729,AMC,20140730,76.84568,76.91556,80.03011,78.40295
20140429,AMC,20140430,78.41294,79.60086,74.00065,73.98068
20140218,AMC,20140219,85.93452,89.36633,74.12277,71.52897
20131029,AMC,20131030,85.9445,87.26136,89.47607,88.39864
20130730,AMC,20130731,64.81726,66.1134,68.52623,70.11151
20130430,AMC,20130501,61.08834,60.81915,57.76822,58.63564
20130220,AMC,20130221,59.50444,58.09976,60.83938,61.5467
20121031,AMC,20121101,53.15849,53.71638,59.50444,55.81841
20120801,AMC,20120802,46.86897,47.07798,41.60379,43.86314
20120502,AMC,20120503,67.59124,65.56082,64.70486,64.24702
20120222,AMC,20120223,80.2093,78.9164,82.89455,82.83487
20111031,AMC,20111101,85.70908,82.45695,78.48875,81.68121
20110801,AMC,20110802,74.89078,75.09949,82.3252,82.57367
20110502,AMC,20110503,75.39767,74.30437,67.93344,65.64746
20110224,AMC,20110225,66.39835,67.22275,71.58309,71.98039
20101102,AMC,20101103,42.13341,42.08374,45.04361,46.14611
20100802,AMC,20100803,41.09119,42.66856,39.42453,41.10111
20100503,AMC,20100504,39.92056,39.88087,41.90468,42.38087
20100222,AMC,20100223,33.88655,33.20288,31.35002,31.61754
20091102,AMC,20091103,33.78747,33.77756,33.34159,33.1137
20090803,AMC,20090804,23.61838,25.12236,26.54718,26.88359
20090504,AMC,20090505,18.62161,20.6599,19.7397,21.54052
20090223,AMC,20090224,15.92333,14.84797,14.22642,13.78246
20081103,AMC,20081104,24.55587,23.55943,25.23661,23.25359
20080804,AMC,20080805,42.42709,37.82122,39.50414,40.54734
20080501,AMC,20080502,43.02742,41.7677,44.58239,46.3342
20080222,NaN,20080225,34.66048,34.12966,36.03668,36.58715
20071101,AMC,20071102,41.63976,41.3252,42.76038,42.7997
20070802,AMC,20070803,32.41969,32.33132,32.83205,32.71423
20070503,AMC,20070504,37.1226,36.60223,36.72987,36.37642
20070222,AMC,20070223,36.42538,36.98426,36.64108,36.56264
20061101,AMC,20061102,36.51362,36.03318,36.96465,38.53344
20060802,AMC,20060803,42.32016,42.13411,41.11577,41.3214
20060503,AMC,20060504,43.08392,42.39849,38.62865,40.30305
20060223,AMC,20060224,36.48196,36.5602,36.52108,37.95884
20051103,AMC,20051104,34.2324,34.69209,33.86073,33.10762
20050803,AMC,20050804,32.21995,31.79999,31.49722,31.05772
20050503,AMC,20050504,21.97358,21.43764,22.2678,22.3557
20050224,AMC,20050225,24.43404,24.65329,24.71663,24.78971
20041103,AMC,20041104,18.45586,18.96744,19.11361,18.90898
20040804,AMC,20040805,17.03992,16.34898,16.05704,15.60939
20040429,AMC,20040430,17.66195,17.37527,17.56477,17.02058
20040226,AMC,20040227,14.76607,14.85353,15.01387,15.67953
20031105,AMC,20031106,12.51156,12.56501,12.28319,12.57958
20030806,AMC,20030807,12.08481,12.19634,12.25454,12.45336
20030507,AMC,20030508,13.06439,13.17593,13.11774,12.95286
20030220,AMC,20030221,12.27056,12.44966,12.58519,12.96274
20021106,AMC,20021107,12.03822,12.30444,11.99949,12.24636
20020807,AMC,20020808,10.28466,10.07693,10.35229,10.52136
20020508,AMC,20020509,11.54548,11.65176,11.59379,11.81117
20020219,AMC,20020220,9.76184,9.81004,9.87753,9.81004
20011106,AMC,20011107,9.10618,9.08694,9.13033,9.20746
20010808,AMC,20010809,10.337,10.14468,10.0918,9.80332
20010509,AMC,20010510,11.16877,11.05819,10.92356,10.66394
20010221,AMC,20010222,14.8725,14.16785,11.78406,11.00445
20001108,BMO,20001108,11.21434,11.27431,11.03444,10.28481
