EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,BMO,20150430,41.15596,40.25974,37.64082,36.09735
20150225,BMO,20150225,37.79019,39.05484,42.43056,41.33519
20150223,BMO,20150223,38.29804,38.60674,37.79019,39.05484
20141030,BMO,20141030,39.46527,39.64322,37.77475,39.06983
20140730,BMO,20140730,40.45952,40.18368,37.69128,35.51414
20140501,BMO,20140501,36.27949,37.31072,37.69374,37.35
20140224,BMO,20140224,31.33943,31.58496,35.85718,35.09113
20131031,BMO,20131031,34.28457,33.79715,35.24965,33.63144
20130807,BMO,20130807,33.75552,33.39611,31.57962,30.48196
20130503,BMO,20130503,29.01387,30.03037,30.35953,29.76899
20130304,BMO,20130304,23.94104,24.22179,25.36415,26.87438
20120806,BMO,20120806,12.74303,13.42024,16.38662,16.66323
20120503,BMO,20120503,14.41786,14.26629,12.85482,12.44748
20120306,BMO,20120306,22.58355,23.08562,19.42905,19.75114
20111101,BMO,20111101,14.8496,14.61464,14.73682,17.39659
20110727,BMO,20110727,14.29641,13.9229,13.79216,13.08248
20110504,BMO,20110504,12.95276,12.77622,12.98993,12.89701
20110303,BMO,20110303,10.48115,10.8714,11.6705,11.35458
20101102,BMO,20101102,9.7855,9.80391,11.03745,11.38726
20100802,BMO,20100802,8.70261,8.97743,9.27973,9.41714
20100505,BMO,20100505,10.4627,9.98009,8.9238,7.03888
20100305,BMO,20100305,7.91304,7.86751,9.57032,9.25161
20091027,BMO,20091027,11.15412,10.79227,9.01919,8.46736
20090805,BMO,20090805,10.36709,10.64753,10.20426,9.39009
20090506,BMO,20090506,3.70899,4.11608,4.19749,3.98038
20090306,BMO,20090306,1.64643,1.50169,1.45646,1.26649
20081030,BMO,20081030,2.39975,2.52282,2.9887,3.70072
20080804,BMO,20080804,8.16053,7.98672,7.49135,7.36968
20080507,NaN,20080508,5.39336,5.73688,6.09759,6.089
20080311,BMO,20080311,6.36382,6.45829,5.36759,5.20442
20071030,NaN,20071031,7.26386,7.28064,7.01223,6.62639
20070806,BMO,20070806,9.81255,9.47247,7.14997,6.81819
20070509,BMO,20070509,15.28677,15.54265,15.54265,15.23724
20070309,BMO,20070309,12.6867,12.62066,12.93432,12.95083
20061030,BMO,20061030,11.38937,11.28347,8.9453,9.02677
20060807,BMO,20060807,6.53558,6.35023,6.64841,6.6887
20060505,BMO,20060505,6.62526,6.45784,6.86444,6.99998
20060315,BMO,20060315,7.6059,8.00453,7.90088,8.06831
20051101,BMO,20051101,6.4002,6.54103,6.48627,6.87748
20050808,BMO,20050808,9.56398,9.89779,8.98176,8.97399
20050510,BMO,20050510,7.20203,7.30975,7.41747,7.84836
20050331,BMO,20050331,8.9102,8.95637,9.00253,8.18692
20041115,BMO,20041115,11.84131,11.84131,11.45934,11.742
20040726,BMO,20040726,10.15413,10.12393,10.7581,10.93174
20040426,BMO,20040426,11.8094,11.69693,11.62194,11.74191
20040308,BMO,20040308,10.90963,10.91713,10.85715,10.63221
20031030,AMC,20031031,8.93693,8.93693,8.23527,8.08755
20030724,AMC,20030725,7.56549,7.32404,7.28745,7.38257
20030424,AMC,20030425,8.35216,8.38121,8.29406,8.30132
20030306,AMC,20030307,10.18237,9.98628,10.02259,9.87733
20021024,AMC,20021025,7.29738,7.30453,7.58355,7.60501
20020718,AMC,20020719,11.62552,11.63264,12.0951,12.27297
20020425,AMC,20020426,11.83613,11.9564,11.77953,11.63803
20020307,AMC,20020308,9.92593,9.97546,10.34335,10.29382
20011022,NaN,20011023,7.28485,7.45913,7.48004,7.73797
20010724,AMC,20010725,9.13917,9.24303,9.10455,9.41612
20010426,AMC,20010427,6.80097,6.93836,7.00706,7.10323
20010315,NaN,20010316,6.70479,6.83532,6.83532,7.04828
20001019,AMC,20001020,5.21646,5.46887,5.38473,5.34266
20000720,BMO,20000720,5.62432,5.74931,5.74931,5.74931
20000417,BMO,20000417,8.08345,7.87724,7.91848,7.91848
20000306,AMC,20000307,9.15575,9.07326,8.82581,8.3309
20000105,AMC,20000106,10.69243,10.69243,9.75018,9.83212
19991022,NaN,19991025,10.67954,10.51649,10.35345,10.39421
