EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150506,BMO,20150506,20.45,20.0,19.66,19.8
20150226,BMO,20150226,21.95646,22.04484,21.84845,21.94665
20141103,BMO,20141103,21.66092,21.81543,21.66092,21.48709
20140804,BMO,20140804,21.6873,21.69678,21.58294,21.36474
20140502,BMO,20140502,21.90388,22.06254,21.86655,21.90388
20140226,BMO,20140226,19.57889,19.48714,20.0835,20.33122
20131029,BMO,20131029,22.8006,22.51221,22.33197,22.24185
20130730,BMO,20130730,23.64775,23.40835,22.85861,22.3
20130429,BMO,20130429,24.95941,24.98563,24.65354,24.8458
20130215,BMO,20130215,21.12101,21.30197,21.69837,21.48294
20120801,BMO,20120801,19.06164,18.95333,18.93667,18.80337
20120430,BMO,20120430,17.9678,18.04154,18.0907,17.86948
20120216,BMO,20120216,18.10033,17.90718,17.69792,17.66573
20111027,BMO,20111027,17.57296,17.70747,18.28506,18.03978
20110728,BMO,20110728,18.9532,18.51007,18.49453,18.61114
20110428,BMO,20110428,18.48313,18.60559,18.57498,18.15403
20110223,BMO,20110223,17.31688,17.15116,17.23402,17.39973
20101101,BMO,20101101,17.58161,17.6927,17.70751,17.99634
20100802,BMO,20100802,16.35555,16.44306,16.89515,16.66181
20100504,BMO,20100504,16.11729,16.55463,16.1388,15.71579
20100218,AMC,20100219,15.00495,15.012,14.67323,14.79321
20091103,BMO,20091103,13.38422,13.38422,13.43281,13.09265
20090807,BMO,20090807,14.37931,14.37931,14.86998,14.07946
20090506,BMO,20090506,10.9277,10.56145,10.68797,10.17521
