Symbol,Source
A,sp500
AA,sp500
AAN,sp400
AAON,sp600
AAP,sp400
AAPL,sp500
AAT,sp600
AAWW,sp600
ABAX,sp600
ABBV,sp500
ABC,sp500
ABM,sp600
ABMD,sp600
ABT,sp500
ACAT,sp600
ACC,sp400
ACE,sp500
ACET,sp600
ACI,sp600
ACIW,sp400
ACM,sp400
ACN,sp500
ACOR,sp600
ACT,sp500
ACXM,sp400
ADBE,sp500
ADC,sp600
ADI,sp500
ADM,sp500
ADP,sp500
ADS,sp500
ADSK,sp500
ADT,sp500
ADTN,sp600
ADVS,sp400
AEC,sp600
AEE,sp500
AEGN,sp600
AEIS,sp600
AEL,sp600
AEO,sp400
AEP,sp500
AES,sp500
AET,sp500
AF,sp600
AFAM,sp600
AFFX,sp600
AFG,sp400
AFL,sp500
AGCO,sp400
AGYS,sp600
AHL,sp400
AHS,sp600
AIG,sp500
AIN,sp600
AIR,sp600
AIRM,sp600
AIT,sp600
AIV,sp500
AIZ,sp500
AJG,sp400
AKAM,sp500
AKR,sp600
AKRX,sp400
AKS,sp600
ALB,sp400
ALE,sp600
ALEX,sp400
ALGN,sp400
ALGT,sp600
ALK,sp400
ALL,sp500
ALLE,sp500
ALOG,sp600
ALTR,sp500
ALXN,sp500
AMAT,sp500
AMCX,sp400
AMD,sp400
AME,sp500
AMED,sp600
AMG,sp500
AMGN,sp500
AMP,sp500
AMRI,sp600
AMSF,sp600
AMSG,sp600
AMT,sp500
AMWD,sp600
AMZN,sp500
AN,sp500
ANDE,sp600
ANF,sp400
ANGO,sp600
ANIK,sp600
ANIP,sp600
ANN,sp400
ANSS,sp400
ANTM,sp500
AOL,sp400
AON,sp500
AOS,sp400
APA,sp500
APC,sp500
APD,sp500
APEI,sp600
APH,sp500
APOG,sp600
APOL,sp400
ARCB,sp600
ARE,sp400
AREX,sp600
ARG,sp500
ARO,sp600
ARRS,sp400
ARW,sp400
ASB,sp400
ASEI,sp600
ASGN,sp600
ASH,sp400
ASNA,sp400
ASTE,sp600
ATI,sp500
ATML,sp400
ATNI,sp600
ATO,sp400
ATR,sp400
ATU,sp600
ATW,sp400
AVA,sp600
AVAV,sp600
AVB,sp500
AVD,sp600
AVGO,sp500
AVP,sp500
AVT,sp400
AVY,sp500
AWR,sp600
AXE,sp600
AXP,sp500
AYI,sp400
AZO,sp500
AZZ,sp600
B,sp600
BA,sp500
BABY,sp600
BAC,sp500
BANR,sp600
BAS,sp600
BAX,sp500
BBBY,sp500
BBCN,sp600
BBG,sp600
BBOX,sp600
BBT,sp500
BBY,sp500
BC,sp400
BCC,sp600
BCEI,sp600
