EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,32.66,32.86,34.23,34.01
20150127,AMC,20150128,32.70972,32.34496,32.2168,32.49284
20141022,AMC,20141023,33.6519,33.53526,32.71875,32.92287
20140723,AMC,20140724,34.48013,34.42257,34.05801,34.09638
20140422,AMC,20140423,34.15346,34.3713,33.07373,32.67593
20140128,AMC,20140129,31.3269,31.50453,31.13993,31.17733
20131023,AMC,20131024,32.50137,32.5475,31.94784,32.46447
20130723,AMC,20130724,32.38983,32.59921,32.22597,32.28058
20130423,AMC,20130424,34.81458,35.05729,33.29543,33.51117
20130124,AMC,20130125,30.00561,29.97896,30.21879,30.3165
20121024,BMO,20121024,30.92199,30.69398,30.43966,30.25549
20120724,BMO,20120724,30.59313,30.67115,30.02097,30.62781
20120424,BMO,20120424,26.42365,26.20959,27.16002,27.17715
20120126,BMO,20120126,25.40526,25.50657,24.8649,24.62005
20111020,BMO,20111020,24.30531,24.20546,24.12226,24.23875
20110721,BMO,20110721,24.85392,24.77198,24.81295,24.84573
20110420,BMO,20110420,24.49988,24.49988,24.35438,24.79895
20110127,NaN,20110128,22.89748,22.41928,21.90921,21.93312
20101021,NaN,20101022,22.4748,22.2627,22.22342,22.27841
20100722,BMO,20100722,19.19539,19.29605,19.7529,19.77613
20100421,NaN,20100422,20.28817,20.04465,19.99138,19.97617
20100128,BMO,20100128,18.96834,19.1855,19.1256,18.9908
20091022,BMO,20091022,19.17515,19.13827,19.25631,18.98333
20090723,BMO,20090723,17.85374,18.04994,18.51499,18.49319
20090422,BMO,20090422,18.06725,18.06011,18.38873,18.21727
20090128,NaN,20090129,18.23883,18.22476,17.3807,17.31739
20081022,BMO,20081022,18.70938,17.83595,16.48422,17.51015
20080723,NaN,20080724,21.71475,22.56096,21.63286,21.42813
20080422,BMO,20080422,25.28443,25.33836,25.48665,25.97198
20080124,BMO,20080124,23.99107,24.4781,23.85097,23.52406
20071108,AMC,20071109,25.54338,25.99267,25.90017,25.53678
20071023,NaN,20071024,27.20178,27.7634,27.45286,27.08946
20070808,AMC,20070809,26.50667,26.4346,25.71396,25.46501
20070724,NaN,20070725,26.22496,25.99566,26.53287,26.18565
20070507,AMC,20070508,25.64047,25.7184,25.50408,25.63398
20070424,NaN,20070425,25.82881,25.39368,25.41965,25.30275
20070214,AMC,20070215,23.93465,23.93465,23.96039,24.12129
20070125,BMO,20070125,22.7569,23.57425,23.67722,23.42623
20070124,NaN,20070125,22.7569,23.57425,23.67722,23.42623
20061106,AMC,20061107,21.47458,21.84395,21.84395,21.88853
20061023,BMO,20061023,21.49369,21.93311,22.10506,22.1178
20061019,BMO,20061019,21.05426,20.97784,21.49369,21.93311
20060808,AMC,20060809,19.40905,19.35862,19.06235,19.04974
20060725,BMO,20060725,17.23428,17.51164,18.24917,18.59587
20060720,NaN,20060721,17.31623,17.20906,17.23428,17.51164
20060510,AMC,20060511,16.38705,16.29985,16.26248,15.95728
20060425,BMO,20060425,15.78912,15.90123,15.94483,16.29362
20060419,BMO,20060419,15.83894,16.1566,16.03825,15.78289
20060222,AMC,20060223,17.31756,17.37908,17.18837,16.96075
20060126,BMO,20060126,15.17055,15.5089,15.69346,15.92723
20060124,BMO,20060124,15.20131,15.04136,15.17055,15.5089
20051031,AMC,20051101,14.5007,14.47642,14.43393,14.51284
20051020,BMO,20051020,13.41421,13.60237,13.68128,13.96049
20051019,BMO,20051019,13.47491,13.41421,13.60237,13.68128
20050815,BMO,20050815,14.8142,14.64653,14.64653,14.52677
20050721,BMO,20050721,14.24534,14.25133,14.19744,14.20342
20050720,BMO,20050720,14.27528,14.24534,14.25133,14.19744
20050713,AMC,20050714,14.29923,14.30522,14.43097,14.44294
20050509,AMC,20050510,13.95399,13.93036,13.85356,13.76494
20050425,BMO,20050425,13.69405,13.70586,13.77676,13.68223
20050420,BMO,20050420,13.71177,13.70586,13.56408,13.69405
20050217,AMC,20050218,14.28651,14.13496,14.09416,14.00672
20050126,BMO,20050126,14.304,14.25154,14.32731,13.79689
20050124,BMO,20050124,14.26319,14.32731,14.304,14.25154
