EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150505,AMC,20150506,37.24701,36.26212,38.04289,38.21201
20150210,AMC,20150211,38.11013,39.28808,41.46581,38.92183
20141030,AMC,20141031,26.94276,26.76512,29.99233,29.43966
20140804,AMC,20140805,25.16927,25.22828,26.0643,26.12332
20140506,AMC,20140507,20.64006,20.32444,19.73144,20.15228
20140205,BMO,20140205,18.31726,18.44103,18.15541,18.13637
20131106,BMO,20131106,17.86236,17.84341,17.82447,17.14256
20130731,BMO,20130731,19.1427,19.24633,18.90719,18.80356
20130425,BMO,20130425,18.17679,18.27839,17.36401,18.01978
20130207,AMC,20130208,16.38361,16.11728,14.78566,15.10708
20121101,AMC,20121102,13.01321,13.12342,13.55505,13.77546
20120726,AMC,20120727,13.53618,13.60003,13.72773,13.7551
20120426,AMC,20120427,15.05274,15.15236,14.45497,14.16515
20120126,AMC,20120127,16.80979,16.54714,18.02343,17.96909
20111103,AMC,20111104,12.52583,13.26851,13.54022,13.15076
20110728,AMC,20110729,14.92594,14.94405,14.22855,14.09269
20110428,AMC,20110429,17.38944,17.16302,17.89663,17.50718
20110127,AMC,20110128,18.81139,19.2099,15.49653,15.68672
20101028,AMC,20101029,17.60681,17.57058,17.85135,17.80606
20100729,AMC,20100730,15.62333,15.59615,15.37879,15.24293
20100428,AMC,20100429,19.3367,19.68086,19.76237,18.3676
20100128,AMC,20100129,16.94565,17.1449,15.55087,15.62333
20091029,AMC,20091030,22.8961,24.3271,20.02503,19.45444
20090804,AMC,20090805,26.19284,25.85773,25.3596,23.89237
20090430,AMC,20090501,13.13265,12.71603,13.15076,14.63611
20090202,AMC,20090203,10.65103,9.60042,10.63292,10.6148
20081030,AMC,20081031,15.17953,15.98561,15.6505,15.49653
20080731,AMC,20080801,16.14863,15.77729,17.57058,17.10867
20080501,AMC,20080502,18.33137,18.92913,18.21363,17.54341
20080131,AMC,20080201,34.90568,35.47627,39.43418,37.25144
20071101,AMC,20071102,34.58868,33.99092,36.67179,36.77142
20070802,AMC,20070803,37.43258,37.66806,32.05272,29.79753
20070503,AMC,20070504,37.88543,38.39262,41.05539,41.41766
20070131,AMC,20070201,35.3857,34.63397,38.63716,38.11186
20061101,AMC,20061102,31.61799,30.21415,32.76823,33.21202
20060801,AMC,20060802,28.50238,27.91368,30.50398,30.37718
20060501,AMC,20060502,29.0458,28.87372,30.0149,29.54393
20060201,AMC,20060202,29.236,27.71442,29.8247,30.7938
20051101,AMC,20051102,25.26903,25.55886,26.49173,26.05699
20050728,AMC,20050729,28.62918,27.80499,31.80818,32.24292
20050421,AMC,20050422,35.27702,36.90728,29.01863,26.40116
20050202,AMC,20050203,34.09961,33.31165,33.17579,34.4166
20041020,AMC,20041021,20.45976,20.94884,22.97761,25.98454
20040721,NaN,20040722,15.94032,15.84975,15.78635,16.03089
20040420,AMC,20040421,14.92594,15.23387,15.93126,16.42034
20040127,AMC,20040128,17.61587,17.38944,15.63238,15.5237
