EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,BMO,20150428,108.82,106.92,110.38,108.01
20150203,BMO,20150203,91.60712,92.0062,93.96165,95.82732
20141028,BMO,20141028,78.28831,78.77580999999999,76.83577,79.3429
20140729,BMO,20140729,82.72009,84.1386,81.22221,79.0994
20140424,BMO,20140424,67.97202,68.16988,72.17636999999999,70.48474
20140206,BMO,20140206,66.33223000000001,67.32829,66.98312,65.83913000000001
20131029,BMO,20131029,60.77417,60.734840000000005,59.722269999999995,61.06909
20130730,BMO,20130730,63.410790000000006,62.13669,61.69566,62.89135
20130430,BMO,20130430,55.69736999999999,54.86694,56.11747,56.90882
20130131,BMO,20130131,48.3872,47.647420000000004,46.94658,47.18993
20121025,BMO,20121025,42.31406,42.59512,43.060320000000004,42.74049
20120731,BMO,20120731,35.391740000000006,35.84536,34.80301,35.237320000000004
20120426,BMO,20120426,47.1128,47.42023,43.52939,41.80973
20120201,BMO,20120201,42.138329999999996,41.83201,43.14345,42.87542
20111027,BMO,20111027,36.527609999999996,37.09016,38.93036,38.739670000000004
20110727,BMO,20110727,40.671040000000005,40.47162,39.61699,39.87338
20110428,BMO,20110428,37.55787,37.67143,39.22333,39.157090000000004
20110204,BMO,20110204,31.47725,31.354740000000003,35.26583,34.74749
20101103,BMO,20101103,28.058190000000003,28.208790000000004,29.027659999999997,29.065309999999997
20100727,AMC,20100728,26.900470000000002,26.6934,25.930999999999997,25.87453
20100429,BMO,20100429,28.246440000000003,28.70764,29.40415,27.813470000000002
20100205,BMO,20100205,28.547629999999998,27.51227,27.869940000000003,27.484040000000004
20091029,BMO,20091029,24.60846,23.800079999999998,25.05024,24.46746
20090729,BMO,20090729,24.176070000000003,27.22157,26.03721,25.680020000000003
20090727,BMO,20090727,23.95048,24.85285,24.176070000000003,27.22157
20090429,BMO,20090429,22.50292,22.93531,20.56658,20.68877
20090212,BMO,20090212,30.25768,30.30469,31.075459999999996,30.18249
20081029,BMO,20081029,23.80646,26.08669,23.975360000000002,24.34133
20080731,BMO,20080731,37.27207,37.83509,38.48256,37.497279999999996
20080424,BMO,20080424,37.89139,40.43438,39.65553,41.20384
20080207,BMO,20080207,49.21752,49.99637,48.75772,47.57537
20071025,BMO,20071025,50.0812,49.602990000000005,52.5004,52.397259999999996
20070726,BMO,20070726,47.57761,47.49322,46.74308,45.61787
20070426,BMO,20070426,42.720459999999996,42.19536,44.277,44.12697
20070208,BMO,20070208,40.83573,41.25768,40.25437,39.91681
20061026,BMO,20061026,37.04817,36.092690000000005,38.771770000000004,38.94976
20060727,BMO,20060727,38.65,37.43223,31.146690000000003,30.135009999999998
20060427,BMO,20060427,43.15573,43.49296,34.65948,36.06459
20060209,BMO,20060209,45.258720000000004,45.01985,46.49522,47.02916
20051027,BMO,20051027,39.746990000000004,38.248870000000004,39.23202,41.25448
20050728,BMO,20050728,35.48672,34.93428,36.70394,36.23577
20050428,BMO,20050428,32.38748,33.91837,33.38935,34.34908
20050210,BMO,20050210,30.1918,30.091140000000003,31.3622,31.24985
20041028,BMO,20041028,20.89575,21.46903,22.29972,22.22952
20040729,BMO,20040729,18.74299,18.48092,19.71407,20.07677
20040429,BMO,20040429,20.88171,20.53305,19.59006,19.36308
20040212,BMO,20040212,16.85933,16.75404,17.50282,18.134610000000002
20031030,BMO,20031030,14.10029,13.7472,13.16495,13.4245
20030730,NaN,20030731,16.0154,15.550070000000002,14.40895,14.2289
20030424,BMO,20030424,11.39715,11.317639999999999,11.44158,11.32232
20030211,BMO,20030211,9.575569999999999,9.786019999999999,10.14847,9.73692
20021031,BMO,20021031,9.35559,9.56816,9.41399,9.78074
20020801,BMO,20020801,9.95593,10.20355,10.068060000000001,9.84147
20020425,BMO,20020425,10.14982,10.27363,11.65886,11.39022
20020221,BMO,20020221,7.5709,7.447089999999999,7.82552,7.82786
20011107,BMO,20011107,7.19682,7.46742,7.2878,6.9518699999999995
20010808,BMO,20010808,6.1470400000000005,6.1470400000000005,6.06305,6.10271
20010510,NaN,20010511,5.92542,5.97907,5.883430000000001,6.03506
20010130,NaN,20010131,9.33137,9.08642,8.91845,8.74815
20001101,BMO,20001101,6.641310000000001,6.74337,7.31929,7.43593
20000804,BMO,20000804,6.66241,6.77866,6.9167,6.90218
20000427,BMO,20000427,6.39069,6.39214,6.942310000000001,6.7034199999999995
20000208,BMO,20000208,6.46282,6.4339699999999995,5.30874,4.90482
19991028,NaN,19991029,5.88606,5.57702,5.7782599999999995,5.9723
19990729,BMO,19990729,9.96209,9.80605,9.59132,9.3909
19990428,BMO,19990428,9.3536,9.332230000000001,10.51197,10.09778
