EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,BMO,20150428,48.196329999999996,48.31605,49.88235,51.45864
20150203,BMO,20150203,43.13098,44.49437,48.72387,47.39034
20141028,BMO,20141028,44.97159,44.31638,44.93188,43.9987
20140729,BMO,20140729,51.8349,51.53774,49.12083,48.84348
20140429,BMO,20140429,56.288669999999996,56.15026999999999,55.75485,55.06285
20140204,BMO,20140204,52.60706999999999,51.93629,51.21618,49.76611
20131029,BMO,20131029,62.364180000000005,62.06875,57.5389,56.623090000000005
20130731,BMO,20130731,53.49677,53.948969999999996,55.295730000000006,56.23944
20130430,BMO,20130430,49.72182,50.29097,52.25355,50.8405
20130205,BMO,20130205,51.79545,51.42324,52.441919999999996,53.28428
20121031,NaN,20121101,46.594359999999995,44.576609999999995,46.016459999999995,44.84107
20120726,BMO,20120726,39.87505,40.139509999999994,42.558859999999996,44.52763
20120501,BMO,20120501,46.251540000000006,45.61487,48.32806,48.034209999999995
20120207,BMO,20120207,51.75627,52.62801999999999,51.36448,52.11868
20111025,BMO,20111025,39.17962,40.73701,40.11993,42.23563
20110728,BMO,20110728,50.01278,48.51416,45.39938,46.44743
20110426,BMO,20110426,53.20591999999999,53.78382,55.83095,56.555780000000006
20110208,BMO,20110208,51.148990000000005,52.36356,51.237140000000004,50.76699
20101026,NaN,20101027,42.931059999999995,41.931979999999996,41.37368,41.22675
20100727,NaN,20100728,32.93047,33.41042,33.81201,33.23411
20100427,NaN,20100428,38.95433,35.18329,35.12453,35.486940000000004
20100209,NaN,20100210,29.815690000000004,31.157590000000003,31.069440000000004,32.77375
20091027,BMO,20091027,28.93415,28.0624,28.16035,27.210240000000002
20090728,BMO,20090728,30.9421,30.91272,30.697229999999998,30.491540000000004
20090428,NaN,20090429,23.75264,23.194329999999997,23.586129999999997,23.80162
20090209,NaN,20090210,24.52644,23.40002,21.62715,21.47043
20081029,NaN,20081030,26.26993,27.36696,29.33574,30.873540000000002
20080729,BMO,20080729,51.6975,51.22735,57.6724,61.76667
20080429,BMO,20080429,66.28211,67.36935,59.70973000000001,58.89676
20080207,BMO,20080207,56.37947,56.77126,54.547819999999994,55.56649
20071030,NaN,20071031,52.70638,57.417719999999996,58.45599,59.748909999999995
20070731,NaN,20070801,39.228590000000004,37.64182,39.52243,41.207159999999995
20070502,NaN,20070503,40.9329,41.62834,41.62834,41.66752
20070209,NaN,20070212,35.72202,34.27237,34.89924,35.21268
20061101,NaN,20061102,26.20137,27.4845,27.55306,27.38655
20060731,NaN,20060801,25.1729,22.4891,23.33146,23.997510000000002
20060501,NaN,20060502,23.18454,25.77039,26.99475,26.446240000000003
20060209,NaN,20060210,17.61124,17.41534,17.16067,17.28801
20051026,NaN,20051027,16.44564,14.69236,14.43769,14.614
20050726,NaN,20050727,19.9816,19.70735,20.206889999999998,20.1873
20050503,NaN,20050504,17.31739,17.23903,18.00303,17.89529
20050222,NaN,20050223,18.316470000000002,18.18914,17.94426,18.98252
20041027,NaN,20041028,19.32535,18.816010000000002,18.61032,19.0217
20040728,BMO,20040728,17.924670000000003,18.18914,20.15791,20.1775
20040428,BMO,20040428,20.42237,20.68684,19.64858,19.32535
20040205,BMO,20040205,19.384120000000003,18.953139999999998,15.916720000000002,17.1117
20031022,BMO,20031022,16.16159,16.259539999999998,15.84816,15.995079999999998
20030724,NaN,20030725,18.12057,18.51237,18.874779999999998,18.41442
20030424,BMO,20030424,16.142,16.65134,17.1019,17.1117
20030206,BMO,20030206,17.77775,17.65042,16.70031,17.46431
20021024,BMO,20021024,24.634179999999997,24.859460000000002,22.900479999999998,23.48818
20020725,BMO,20020725,15.06456,16.05385,17.60144,17.4839
20020425,BMO,20020425,19.29596,18.74745,19.677960000000002,20.65745
20020207,BMO,20020207,14.71195,14.70215,16.22036,16.42605
20011025,BMO,20011025,10.3826,10.3826,10.48055,11.04865
20010726,BMO,20010726,9.08967,9.45208,9.74593,9.66757
20010426,BMO,20010426,8.81541,8.91336,8.129769999999999,8.74685
20010213,BMO,20010213,11.56777,11.54819,11.7245,11.75389
20001026,BMO,20001026,11.4879,11.54901,11.365689999999999,10.87684
20000727,BMO,20000727,12.76065,12.638530000000001,12.699589999999999,12.638530000000001
20000425,BMO,20000425,11.65197,10.98092,11.59097,11.59097
20000203,BMO,20000203,11.58019,11.51924,11.51924,10.48312
19991028,BMO,19991028,9.987160000000001,9.68267,11.02241,10.47434
19990729,BMO,19990729,10.342189999999999,10.22052,9.49048,9.12546
