EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,89.11,89.12,95.29,95.36
20150204,AMC,20150205,82.76438,82.75441,89.79013,90.25851
20141022,AMC,20141023,74.05546,73.69785,74.423,75.00909
20140722,AMC,20140723,71.52716,72.47755,76.07124,74.79415
20140423,AMC,20140424,71.87769,71.43375,69.73694,69.00690999999999
20140205,NaN,20140206,68.70998,67.1761,68.72965,69.61458
20131016,NaN,20131017,70.8233,71.09806999999999,73.60049000000001,74.91547
20130723,NaN,20130724,63.54354,62.858169999999994,62.52528,66.67666
20130417,AMC,20130418,50.35965,49.44171,50.73073,50.86745
20130130,AMC,20130131,53.76659,53.39659,47.6032,46.87294
20121017,AMC,20121018,54.623419999999996,56.083940000000005,55.54841999999999,54.964209999999994
20120718,AMC,20120719,51.7316,51.9166,53.47448000000001,53.406330000000004
20120418,AMC,20120419,47.398720000000004,46.79504,46.04531,46.02584
20120201,AMC,20120202,47.56425,49.190290000000005,49.04424,51.58554
20111019,AMC,20111020,43.67927,42.13111,44.43874,45.08136
20110720,AMC,20110721,44.107690000000005,43.40664,45.6461,44.86716
20110420,AMC,20110421,40.89454,41.57612,42.63743,42.22849
20110202,AMC,20110203,36.444829999999996,36.05536,36.81483,36.366929999999996
20101020,AMC,20101021,33.32905,34.07878,33.33879,34.06905
20100721,AMC,20100722,30.904590000000002,30.485909999999997,31.35248,33.20247
20100421,AMC,20100422,29.02539,28.95723,29.19091,30.09644
20100203,AMC,20100204,26.09461,26.17251,25.17936,25.539620000000003
20091021,AMC,20091022,27.4675,26.89303,28.79171,28.00303
20090722,AMC,20090723,27.81803,25.89988,25.06251,25.42278
20090422,AMC,20090423,25.89988,26.07514,26.8833,26.37698
20090204,AMC,20090205,26.67882,25.46172,23.96226,24.38094
20081015,AMC,20081016,26.95145,25.208560000000002,28.75276,26.834609999999998
20080716,AMC,20080717,31.138270000000002,31.420640000000002,30.67091,30.95328
20080414,AMC,20080415,30.80722,30.339859999999998,36.04562,36.02615
20080130,AMC,20080131,27.3604,26.94172,29.98933,30.203540000000004
20071017,AMC,20071018,26.17251,26.191979999999997,26.8833,26.63014
20070718,AMC,20070719,21.94674,22.08305,23.67015,23.572779999999998
20070418,AMC,20070419,20.1649,20.13569,21.90779,22.63805
20070130,AMC,20070131,18.480439999999998,18.636229999999998,18.120179999999998,18.42202
20061016,AMC,20061017,16.90308,16.94202,16.9615,17.5165
20060719,AMC,20060720,16.30913,17.088079999999998,15.101770000000002,15.140720000000002
20060417,AMC,20060418,15.09203,15.184529999999999,15.944,15.84177
20060126,AMC,20060127,14.390979999999999,14.54677,14.795060000000001,14.61006
20051017,NaN,20051018,14.60033,14.361770000000002,14.20599,14.429929999999999
20050718,AMC,20050719,13.612039999999999,13.563360000000001,14.30822,14.16704
20050418,AMC,20050419,11.42613,11.45047,11.92758,11.92758
20050127,AMC,20050128,12.17099,12.14665,12.029810000000001,12.14665
20041018,AMC,20041019,13.17875,13.14954,13.095989999999999,13.2177
20040719,AMC,20040720,13.10573,13.169020000000002,13.35888,13.1252
20040419,AMC,20040420,11.09995,11.68416,12.25863,11.864289999999999
20040129,AMC,20040130,11.85455,11.825339999999999,11.67929,11.38718
20031020,AMC,20031021,8.329830000000001,8.130230000000001,9.615089999999999,9.8293
20030721,NaN,20030722,7.72128,7.906280000000001,8.02312,8.15457
20030421,NaN,20030422,6.28023,6.3045800000000005,6.92773,6.864439999999999
20030130,AMC,20030131,7.27825,7.1322,7.010489999999999,7.07865
20021014,AMC,20021015,6.7670699999999995,6.8693100000000005,6.87418,6.64536
20020711,AMC,20020712,6.40194,6.44576,6.35326,6.32892
20020411,AMC,20020412,6.42629,6.547999999999999,6.757339999999999,6.7670699999999995
20020124,AMC,20020125,6.32892,6.32405,6.32892,6.25589
20011011,NaN,20011012,4.57629,4.50327,4.62498,4.698
20010712,AMC,20010713,5.35524,5.35524,5.379580000000001,5.35524
20010412,AMC,20010416,5.93945,5.70089,5.21405,5.5256300000000005
20010329,NaN,20010330,5.84208,5.84208,6.57234,6.32892
20010125,AMC,20010126,4.50327,4.837969999999999,4.80754,4.50327
20001012,AMC,20001013,3.4687300000000003,3.5295900000000002,4.07728,3.83386
20000713,AMC,20000714,4.016430000000001,4.016430000000001,4.74669,4.71626
20000413,AMC,20000414,4.50327,4.25985,4.16857,3.5295900000000002
20000126,AMC,20000127,3.37745,3.4078800000000005,3.4078800000000005,3.4078800000000005
