EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150423,BMO,20150423,71.39836,72.86497,74.6487,73.74693
20150129,BMO,20150129,62.57721,58.51719,56.349880000000006,58.409319999999994
20141113,BMO,20141113,83.6736,83.90700000000001,78.24847,77.48354
20140731,BMO,20140731,111.27993000000001,110.63256000000001,102.67088000000001,101.91723
20140424,BMO,20140424,108.8008,109.32913,102.80646999999999,102.78725
20140130,BMO,20140130,82.37128,81.18855,83.64939,83.97369
20131114,BMO,20131114,72.69962,73.40544,74.45464,75.60874
20130726,BMO,20130726,62.020309999999995,62.60345,60.88224,59.66891
20130425,BMO,20130425,55.856869999999994,56.964059999999996,55.8944,54.41189
20130131,BMO,20130131,58.58405,59.286159999999995,60.23166,60.596759999999996
20121115,BMO,20121115,43.82101,43.11891,45.73075,46.73243
20120727,BMO,20120727,40.370940000000004,42.72319,45.355470000000004,44.851409999999994
20120426,BMO,20120426,49.18287,50.86983,49.276070000000004,47.52387
20120131,BMO,20120131,56.38598,56.16256,57.44724,57.251740000000005
20111117,BMO,20111117,51.31245,51.49864,50.390840000000004,50.735279999999996
20110729,BMO,20110729,65.35547,66.62748,64.11131,63.489230000000006
20110428,BMO,20110428,65.24467,64.91076,60.337880000000006,61.53443000000001
20110127,BMO,20110127,46.19231,48.0085,52.576769999999996,52.233909999999995
20101118,NaN,20101119,42.00396,43.90355,43.14371,42.6248
20100729,NaN,20100730,37.52285,37.36577,37.44893,38.22507
20100429,BMO,20100429,38.47739,39.32629,38.29285,37.48085
20100128,BMO,20100128,41.54506,41.64643,40.632690000000004,38.5499
20091119,BMO,20091119,34.95572,35.18612,34.467290000000006,34.4765
20090730,BMO,20090730,30.71385,30.51166,30.649520000000003,31.57773
20090430,BMO,20090430,29.208270000000002,30.81413,28.28146,28.74946
20090129,BMO,20090129,22.47766,22.734029999999997,20.50915,20.56409
20081120,BMO,20081120,24.20812,21.54376,17.85395,18.97096
20080731,BMO,20080731,51.9246,55.878069999999994,53.98806999999999,55.98763
20080501,BMO,20080501,48.270790000000005,49.03714,45.679809999999996,49.821740000000005
20080131,BMO,20080131,34.421490000000006,34.184540000000005,35.84319,36.74542
20071115,NaN,20071116,28.22434,30.17462,31.058629999999997,31.131529999999998
20070801,BMO,20070801,29.432809999999996,29.41463,30.03255,30.57777
20070502,BMO,20070502,29.30013,30.05327,29.173090000000002,29.2729
20070201,NaN,20070202,24.305410000000002,25.26567,25.682389999999998,25.67333
20061116,NaN,20061117,22.43925,22.87408,22.59325,22.5842
20060727,NaN,20060728,24.99393,24.52456,24.3982,24.98491
20060427,NaN,20060428,33.05167,32.00571,32.79469,33.12381
20060126,BMO,20060126,32.77021,31.98665,33.12147,34.10768
20051116,BMO,20051116,24.35813,24.3266,24.5923,24.79945
20050727,BMO,20050727,24.225,24.19357,25.432879999999997,25.06917
20050427,BMO,20050427,18.34225,18.03751,17.46838,17.17261
20050126,NaN,20050127,15.46848,15.946979999999998,16.34946,16.64461
20041110,BMO,20041110,12.38154,12.394910000000001,12.68693,12.95078
20040722,NaN,20040723,11.80665,11.62002,11.47338,11.109000000000002
20040422,NaN,20040423,12.429030000000001,12.64165,12.43789,12.35816
20040122,BMO,20040122,12.523719999999999,12.66508,12.523719999999999,13.000810000000001
20031112,NaN,20031113,11.26472,11.22055,11.33099,11.39283
20030724,BMO,20030724,11.67267,11.571660000000001,11.41796,11.50579
20030424,BMO,20030424,11.43875,11.62268,11.46065,11.29861
20030122,BMO,20030122,11.446860000000001,11.158719999999999,10.56499,10.82693
20021113,BMO,20021113,12.1007,11.76119,10.918610000000001,11.32898
20020724,NaN,20020725,9.503039999999999,9.938460000000001,10.01474,9.928930000000001
20020424,BMO,20020424,12.93163,13.15054,12.92845,13.30599
20020123,NaN,20020124,8.87659,9.22153,9.6171,9.55697
20011113,NaN,20011114,9.51425,9.351280000000001,8.84495,7.952539999999999
20010719,NaN,20010720,9.16902,9.41147,9.4461,9.625580000000001
20010425,NaN,20010426,15.589220000000001,15.36251,16.03633,16.055229999999998
20010125,BMO,20010125,13.36297,13.7167,14.640310000000001,14.58136
20001114,BMO,20001114,9.44841,9.09861,9.72746,10.238389999999999
20000720,BMO,20000720,10.40606,10.347380000000001,10.2887,10.01486
20000420,NaN,20000424,9.407860000000001,9.79823,9.60304,9.48593
20000120,NaN,20000121,7.5511,7.06456,7.356489999999999,7.239719999999999
19991104,NaN,19991105,7.25784,7.1996199999999995,6.83091,7.180219999999999
19990721,NaN,19990722,7.12383,7.23998,7.259339999999999,7.54971
19990422,NaN,19990423,7.70175,7.81757,7.5473300000000005,7.3543
