EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150420,AMC,20150421,75.42,76.59,75.92,76.06
20150128,AMC,20150129,72.21775,71.83934,72.14804000000001,72.04845999999999
20141020,AMC,20141021,69.25533,69.80096,72.55887,71.1303
20140722,AMC,20140723,77.76536999999999,78.39761,79.13851,78.25931
20140422,AMC,20140423,72.06599,72.05614,73.25707,72.73536
20140129,AMC,20140130,68.16084000000001,67.72945,71.1022,70.60217
20131021,AMC,20131022,65.38776,65.91556,65.87646,65.58324
20130722,AMC,20130723,57.0674,56.54153,58.04124,57.48615
20130422,AMC,20130423,48.470890000000004,48.58729,49.52819,49.95499
20130205,BMO,20130205,48.68994,48.28436,47.28004,46.95171
20130204,AMC,20130205,48.68994,48.28436,47.28004,46.95171
20121022,AMC,20121023,39.130359999999996,38.861090000000004,39.90931,39.86123
20120724,BMO,20120724,35.97013,35.204609999999995,34.99409,34.544340000000005
20120723,AMC,20120724,35.97013,35.204609999999995,34.99409,34.544340000000005
20120424,NaN,20120425,38.932559999999995,39.46549,40.48377,40.64555
20120423,AMC,20120424,39.48453,38.932559999999995,39.46549,40.48377
20120207,BMO,20120207,40.38707,40.4439,39.837720000000004,39.52515
20120206,AMC,20120207,40.38707,40.4439,39.837720000000004,39.52515
20111020,NaN,20111021,32.81625,32.043,32.65595,33.768679999999996
20111019,AMC,20111020,33.66495,32.81625,32.043,32.65595
20110721,NaN,20110722,43.57719,41.99171,41.93542,41.841609999999996
20110720,AMC,20110721,43.45523,43.57719,41.99171,41.93542
20110421,NaN,20110425,41.627320000000005,43.67411,43.66476,44.00122
20110420,AMC,20110421,40.79552,41.627320000000005,43.67411,43.66476
20110203,NaN,20110204,37.5541,37.41446,37.90786,38.40125
20110202,AMC,20110203,37.61926,37.5541,37.41446,37.90786
20101019,NaN,20101020,34.38613,32.94873,33.61642,33.82045
20101018,AMC,20101019,33.89463,34.38613,32.94873,33.61642
20100720,NaN,20100721,27.492990000000002,28.287209999999998,28.7305,29.367729999999998
20100719,AMC,20100720,26.74495,27.492990000000002,28.287209999999998,28.7305
20100419,NaN,20100420,31.368000000000002,30.85347,31.432309999999998,31.93765
20100204,AMC,20100205,26.82051,26.80221,26.54608,26.73818
20100203,AMC,20100204,26.82965,26.82051,26.80221,26.54608
20091019,AMC,20091020,26.60073,27.12017,27.55759,28.26841
20090720,AMC,20090721,22.998279999999998,23.71527,23.62451,23.52468
20090420,AMC,20090421,21.00783,19.87934,19.79809,21.287689999999998
20090204,AMC,20090205,20.59703,20.72278,19.3215,20.31857
20081020,BMO,20081020,20.96494,20.741529999999997,20.7326,20.544929999999997
20080721,AMC,20080722,31.214129999999997,32.334309999999995,33.116659999999996,34.165729999999996
20080421,AMC,20080422,29.85437,29.827790000000004,30.075840000000003,30.917440000000003
20080205,BMO,20080205,28.68727,28.254759999999997,25.4743,25.87151
20071018,BMO,20071018,33.17995,33.2503,31.1837,30.77917
20070724,BMO,20070724,34.41706,34.44337,33.040729999999996,33.18977
20070419,NaN,20070420,29.91815,30.15703,30.576529999999998,30.44251
20070130,NaN,20070131,27.92465,29.57923,30.13075,30.293309999999998
20061019,NaN,20061020,27.730520000000002,27.6958,27.383309999999998,27.383309999999998
20060720,NaN,20060721,25.62794,23.66677,23.660999999999998,24.13399
20060420,BMO,20060420,29.482029999999998,29.6085,29.98221,30.02245
20060126,BMO,20060126,25.23766,24.933870000000002,25.55292,26.08026
20051020,NaN,20051021,23.66433,23.14989,23.66433,23.49285
20050721,NaN,20050722,23.3958,23.98282,24.017020000000002,24.062620000000003
20050421,BMO,20050421,22.11475,21.66018,22.58636,21.677229999999998
20050120,BMO,20050120,21.53477,21.53477,21.75573,21.245829999999998
20041021,BMO,20041021,19.87856,19.87856,20.787779999999998,20.18352
20040722,BMO,20040722,18.319010000000002,17.66054,17.5311,17.31723
20040422,BMO,20040422,16.5297,16.73156,17.51281,17.83055
20040122,BMO,20040122,16.06018,15.963289999999999,15.99683,16.01546
20031016,BMO,20031016,13.5927,13.548129999999999,14.37261,14.68829
20030717,BMO,20030717,13.41589,13.800679999999998,13.56388,13.726679999999998
20030416,BMO,20030416,10.87205,10.94208,11.93346,11.97768
20030123,BMO,20030123,10.778030000000001,10.601939999999999,10.74868,10.62763
20021017,NaN,20021018,10.37315,10.98312,11.1767,11.4543
20020718,BMO,20020718,10.31734,10.51715,10.82594,10.724219999999999
20020416,NaN,20020417,14.10452,14.08644,13.98879,13.89838
20020115,BMO,20020115,12.61318,12.37894,12.23479,12.144689999999999
20011016,NaN,20011017,10.65654,10.78576,10.24736,10.29761
20010717,BMO,20010717,11.95846,11.87988,12.32278,11.93702
20010417,BMO,20010417,10.27133,10.35313,10.36735,10.847489999999999
20010116,BMO,20010116,11.39222,11.3701,10.9498,10.97193
20001017,BMO,20001017,9.7569,9.6688,9.71285,9.71285
20000718,BMO,20000718,11.63607,11.54841,11.81137,11.57033
20000418,NaN,20000419,9.73242,10.2125,10.47435,10.037930000000001
20000118,NaN,20000119,10.70251,10.57226,10.70251,10.89789
19991019,BMO,19991019,9.16146,9.07504,9.01021,8.85896
19990720,BMO,19990720,10.706710000000001,10.64222,10.40572,9.97574
