EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150427,AMC,20150428,58.97889,58.2658,53.462309999999995,53.70991
20150217,AMC,20150218,60.870569999999994,60.61306999999999,56.45335,55.97795
20141027,AMC,20141028,56.6132,55.862919999999995,55.53161,55.22955
20140728,AMC,20140729,55.85892,55.9169,58.35228000000001,59.41534
20140428,AMC,20140429,49.239020000000004,49.58435,53.98738,54.140859999999996
20140218,AMC,20140219,48.99921,48.970420000000004,49.018390000000004,51.042429999999996
20131028,AMC,20131029,52.60846,52.39158,48.20478,47.422109999999996
20130729,AMC,20130730,47.49487,47.67283,46.82053,46.68003
20130429,AMC,20130430,50.354440000000004,50.28001,47.739959999999996,47.1817
20130214,AMC,20130215,47.28405,46.93049,44.35322,44.288090000000004
20121031,AMC,20121101,43.75955,43.69536,45.05253,43.93378
20120806,AMC,20120807,52.727869999999996,52.12265,46.712309999999995,45.62107
20120501,AMC,20120502,44.87193,44.57077,43.86808,44.19661
20120221,AMC,20120222,45.35331,45.71635,46.052170000000004,46.22462
20111107,AMC,20111108,39.26686,39.09527,40.58538,40.359609999999996
20110801,AMC,20110802,43.285990000000005,43.13332,40.39427,39.9183
20110502,AMC,20110503,41.406909999999996,40.65633,39.709179999999996,39.64663
20110207,AMC,20110208,30.681109999999997,31.178690000000003,35.88792,36.856429999999996
20101102,AMC,20101103,32.7337,33.308440000000004,28.93157,30.54968
20100802,AMC,20100803,25.78523,26.44503,26.94649,27.31598
20100503,AMC,20100504,24.8999,25.68649,24.69014,24.95234
20100217,AMC,20100218,17.81083,17.95853,17.97591,17.91509
20091102,AMC,20091103,16.68295,16.85538,18.97632,17.553739999999998
20090803,AMC,20090804,16.06792,16.99146,15.10162,15.57195
20090504,AMC,20090505,12.97228,14.486979999999999,16.45017,15.8409
20090209,AMC,20090210,14.11641,14.14144,13.207020000000002,12.6981
20081103,AMC,20081104,22.0907,20.604229999999998,18.03592,17.17707
20080731,AMC,20080801,22.601570000000002,24.0249,30.61805,31.198829999999997
20080505,AMC,20080506,14.76939,14.81819,17.91684,17.59965
20080219,AMC,20080220,9.91734,10.40033,10.971860000000001,10.585469999999999
20071105,AMC,20071106,12.04315,12.11465,11.78895,11.129589999999999
20070803,AMC,20070806,8.83722,8.46802,9.693439999999999,9.53634
20070508,NaN,20070509,12.68988,12.68988,12.83734,12.612260000000001
20070323,NaN,20070326,13.51496,13.169210000000001,13.12311,13.192260000000001
20061114,NaN,20061115,10.74997,10.71947,10.71947,10.90245
