EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150506,AMC,20150507,23.84,23.89,24.22,24.55
20150205,AMC,20150206,27.442490000000003,27.769540000000003,26.49107,26.28295
20141028,AMC,20141029,23.70253,23.73199,23.90873,24.09528
20140729,AMC,20140730,22.7983,22.66225,22.24438,21.74876
20140507,AMC,20140508,21.99771,22.32489,22.04583,21.87262
20140205,AMC,20140206,19.48578,19.542920000000002,19.7715,19.9334
20131029,AMC,20131030,20.34157,20.21914,20.38865,20.22856
20130730,AMC,20130731,21.080460000000002,20.875429999999998,21.015220000000003,21.28549
20130501,AMC,20130502,21.94434,21.84283,22.29501,22.66413
20130205,AMC,20130206,19.233829999999998,19.21555,19.4258,19.389229999999998
20120731,AMC,20120801,17.36954,17.459120000000002,17.74578,17.67411
20120502,AMC,20120503,17.52426,17.48878,17.382360000000002,17.28481
20120208,AMC,20120209,16.33278,16.56108,16.37668,16.14837
20111102,AMC,20111103,14.426279999999998,15.059920000000002,15.13804,15.033879999999998
20110726,AMC,20110727,17.18654,17.14366,16.50902,16.37181
20110504,AMC,20110505,16.468510000000002,16.477,16.42604,16.196720000000003
20110209,AMC,20110210,15.70977,15.84433,15.69295,15.60885
20101103,AMC,20101104,14.20476,14.096520000000002,14.66271,15.05405
20100727,AMC,20100728,12.494439999999999,12.42026,12.477960000000001,12.469710000000001
20100505,AMC,20100506,12.79691,12.47087,12.2671,12.2345
20100203,AMC,20100204,10.49854,10.2161,10.2161,10.46626
20091105,BMO,20091105,10.34535,9.95451,9.59557,9.53176
20090730,BMO,20090730,7.29655,7.201280000000001,7.598260000000001,7.81263
