EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150506,BMO,20150506,58.17,57.41,58.96,59.32
20150225,BMO,20150225,57.50187,57.67977,57.22513000000001,58.34196
20141105,BMO,20141105,50.569309999999994,48.92518,49.9856,49.95641
20140807,BMO,20140807,48.545159999999996,47.92303,47.5689,48.32503
20140507,BMO,20140507,46.88399999999999,46.77102,46.243809999999996,46.38503
20140227,BMO,20140227,47.30765,47.13819,48.597429999999996,50.470909999999996
20131106,BMO,20131106,45.057590000000005,45.48124,45.886070000000004,45.67895
20130808,BMO,20130808,41.47068,41.45185,41.42361,41.442440000000005
20130508,BMO,20130508,45.613040000000005,45.754259999999995,45.17998,45.18939
20130227,BMO,20130227,40.58572,41.05645,42.788709999999995,43.53245
20121107,BMO,20121107,37.422470000000004,37.34715,38.429809999999996,37.94968
20120808,BMO,20120808,29.40135,29.655540000000002,32.39515,31.67965
20120503,BMO,20120503,29.96622,29.93797,27.20778,25.503770000000003
20120222,BMO,20120222,29.67437,29.64613,31.133609999999997,30.888840000000002
20111103,BMO,20111103,19.535,19.7986,24.54349,24.14808
20110804,BMO,20110804,23.02776,23.441999999999997,20.815360000000002,19.61973
20110504,BMO,20110504,30.12626,30.1545,27.06656,27.85738
20110223,BMO,20110223,39.10765,37.26242,34.34394,35.66196
20101104,BMO,20101104,32.018570000000004,32.09388,31.538429999999998,31.79262
20100805,BMO,20100805,25.63557,26.92535,29.16599,29.476670000000002
20100506,BMO,20100506,34.391009999999994,33.072990000000004,29.7591,29.636709999999997
20100225,BMO,20100225,28.04567,27.810309999999998,27.39607,28.318690000000004
20091105,BMO,20091105,23.47024,23.59263,27.113640000000004,27.367829999999998
20090806,BMO,20090806,20.74005,20.61766,19.224320000000002,20.78712
20090507,BMO,20090507,16.71066,17.41675,20.82478,21.06955
20090226,BMO,20090226,6.26061,5.70516,6.01584,6.5148
20081106,BMO,20081106,15.147860000000001,14.42295,13.77335,14.62065
20080806,BMO,20080806,35.388940000000005,37.14945,34.3157,32.52695
20080507,BMO,20080507,37.639,37.67666,37.39423,36.69755
20080227,BMO,20080227,38.4204,40.209140000000005,37.318909999999995,36.584579999999995
20071108,BMO,20071108,50.03784,50.678020000000004,48.24909,47.83486
20070808,BMO,20070808,55.30052,57.691790000000005,51.779509999999995,52.871590000000005
20070510,BMO,20070510,57.40936,57.74828,59.828869999999995,60.95861
20070222,BMO,20070222,59.150780000000005,59.427980000000005,60.36688,60.107569999999996
20061108,BMO,20061108,51.05834,50.879509999999996,51.37131,51.37131
20060808,BMO,20060808,44.49498,44.387679999999996,43.797509999999996,43.28782
20060509,NaN,20060510,50.37876,51.9883,52.79308,52.16714
20060221,BMO,20060221,43.41301,43.35041,43.72598,44.26249
20051108,BMO,20051108,41.26695,40.73938,40.12238,39.89883
20050808,BMO,20050808,39.47857,39.29972,36.96589,38.21775
20050504,BMO,20050504,33.80939,33.55901,34.909240000000004,34.57839
20050223,BMO,20050223,37.01059,36.05381,34.33696,35.26692
20041109,BMO,20041109,38.021029999999996,37.83325,36.81387,36.581379999999996
20040805,BMO,20040805,37.81537,38.5486,36.026990000000005,34.99866
20040506,BMO,20040506,37.305679999999995,37.1179,36.465140000000005,35.78555
20040211,BMO,20040211,34.19389,34.44426,36.09852,36.06275
20031105,BMO,20031105,27.78254,28.17598,30.39358,31.108929999999997
20030806,BMO,20030806,29.68716,29.82129,27.845129999999997,27.31755
20030507,BMO,20030507,31.94947,32.28032,30.83173,30.956909999999997
20030212,AMC,20030213,29.0344,27.889840000000003,26.816809999999997,26.64691
20021112,AMC,20021113,31.13575,31.18941,29.508329999999997,30.080609999999997
20020807,AMC,20020808,25.78849,26.08357,26.870459999999998,27.621579999999998
20020507,AMC,20020508,35.7319,36.89435,40.229690000000005,40.20286
20020213,AMC,20020214,34.49792,34.96289,36.187940000000005,35.562
20011106,AMC,20011107,29.57092,29.70505,30.706540000000004,30.54559
20010808,AMC,20010809,38.673790000000004,36.75128,33.39806,33.7915
20010509,NaN,20010510,33.21028,34.5158,34.55157,34.71252
20010207,NaN,20010208,42.529990000000005,43.14475,43.591840000000005,42.474109999999996
20001108,AMC,20001109,42.30644,42.30644,41.52402,39.90331
20000802,BMO,20000802,40.7975,42.474109999999996,43.06092,43.03297
20000502,BMO,20000502,39.40032,37.220729999999996,39.28855,39.344429999999996
20000210,BMO,20000210,59.85496,57.78714,57.34004,56.725280000000005
19991102,AMC,19991103,49.962959999999995,50.85715,53.09263000000001,50.91304
19990802,NaN,19990803,36.32654,36.60597,35.26468,33.14098
