EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150508,BMO,20150508,27.17,29.12,29.75,28.63
20150210,BMO,20150210,31.96,31.42,28.12,29.25
20141030,BMO,20141030,30.6,30.36,34.54,35.5
20140805,BMO,20140805,25.54,25.47,24.86,25.55
20140501,BMO,20140501,34.74,34.73,32.74,32.07
20140206,BMO,20140206,40.77,41.74,35.45,34.45
20131031,BMO,20131031,41.5,40.6,41.07,40.9
20130801,BMO,20130801,38.92,38.83,37.5,39.0
20130502,AMC,20130503,32.68,32.73,31.87,31.64
20130212,AMC,20130213,31.13,30.97,30.3,31.31
20121101,AMC,20121102,37.77,39.59,39.65,40.49
20120802,AMC,20120803,24.15,23.75,32.0,32.36
20120508,NaN,20120509,29.06,27.28,30.2,29.45
20120215,AMC,20120216,43.07,41.83,37.52,38.88
20111108,AMC,20111109,45.41,48.81,32.82,31.59
20110804,AMC,20110805,39.87,36.59,35.43,34.0
20110505,NaN,20110506,58.09,55.79,51.71,51.4
20110210,NaN,20110211,60.38,63.66,55.87,56.62
20101104,AMC,20101105,44.84,45.5,48.3,48.28
20100805,AMC,20100806,49.24,47.54,45.26,44.09
20100506,AMC,20100507,51.51,50.9,49.85,50.55
20100211,AMC,20100212,50.91,52.56,50.24,49.11
20091105,AMC,20091106,56.59,58.72,61.1,61.24
20090806,AMC,20090807,49.7,51.29,49.83,52.15
20090507,AMC,20090508,44.19,44.58,47.1,45.77
20090218,AMC,20090219,21.62,21.03,19.39,21.22
20081104,AMC,20081105,28.73,28.25,25.54,25.14
20080805,NaN,20080806,38.78,39.52,40.13,41.13
20080506,AMC,20080507,47.76,45.18,46.4,45.6
20080212,AMC,20080213,55.2,53.85,44.67,44.15
20071106,AMC,20071107,76.63,74.68,81.51,82.55
20070806,NaN,20070807,81.07,82.0,95.0,95.19
20070507,NaN,20070508,48.13,47.35,55.04,55.34
20070212,AMC,20070213,41.26,38.6,40.11,40.0
20061030,AMC,20061031,38.92,39.1,38.21,37.07
20060801,AMC,20060802,26.34,24.1,31.77,31.48
20060502,AMC,20060503,33.92,33.65,35.93,34.92
20060207,AMC,20060208,37.31,37.29,33.63,33.42
20051108,NaN,20051109,37.56,37.32,36.09,37.85
20050802,AMC,20050803,33.34,34.56,33.06,32.87
20050504,NaN,20050505,25.04,25.49,27.48,27.58
20050208,NaN,20050209,24.96,24.95,28.07,29.47
20041026,AMC,20041027,34.97,35.0,29.35,27.21
20040728,BMO,20040728,30.0,33.29,27.25,28.15
