EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150421,BMO,20150421,128.91,128.96001,136.35001,135.17
20150122,BMO,20150122,116.96,117.75,124.45,121.72
20141021,BMO,20141021,107.0,107.0,116.73,116.79
20140722,BMO,20140722,121.12,121.13,116.96,116.38
20140422,BMO,20140422,124.9,124.67,122.94,123.28
20140121,BMO,20140121,109.86,110.1,125.08,128.7
20131022,BMO,20131022,97.77,95.85,100.98,101.97
20130723,BMO,20130723,90.56,91.21,91.66,93.18
20130423,BMO,20130423,76.86,76.33,73.42,73.0
20130122,BMO,20130122,75.0,74.38,75.11,75.71
20121023,BMO,20121023,66.18,66.33,69.85,71.63
20120724,BMO,20120724,59.26,58.08,60.12,61.25
20120424,BMO,20120424,64.21,64.38,64.03,64.52
20120124,BMO,20120124,62.28,61.9,60.04,59.91
20111025,BMO,20111025,52.34,53.45,52.28,53.72
20110726,BMO,20110726,60.69,60.23,60.08,58.96
20110426,BMO,20110426,56.15,57.23,57.18,58.24
20110125,BMO,20110125,49.8,50.01,53.77,53.55
20101026,BMO,20101026,39.5,39.23,42.23,42.17
20100727,BMO,20100727,38.7,39.5,38.7,39.3
20100427,BMO,20100427,40.5,39.62,41.74,40.64
20100126,BMO,20100126,33.59,33.51,34.33,35.4
20091027,BMO,20091027,29.43,29.32,30.38,31.02
20090728,BMO,20090728,29.81,30.69,31.39,29.76
20090428,BMO,20090428,29.11,28.24,27.68,28.5
20090129,BMO,20090129,22.58,24.15,25.94,25.69
20081030,BMO,20081030,29.14,28.54,30.65,32.58
20080731,BMO,20080731,27.48,26.61,29.43,30.4
20080501,BMO,20080501,26.77,26.38,29.38,29.02
20080214,BMO,20080214,31.27,31.35,29.0,28.23
20071025,BMO,20071025,35.0,34.32,34.11,34.53
20070726,BMO,20070726,31.69,31.64,31.14,30.79
20070427,BMO,20070427,31.24,31.16,31.9,31.46
20070125,BMO,20070125,30.32,30.19,31.36,31.7
20061026,BMO,20061026,31.57,31.92,30.9,30.53
20060727,NaN,20060728,34.26,32.48,33.01,32.13
20060428,NaN,20060501,35.78,35.37,35.92,36.32
20060126,BMO,20060126,28.76,28.57,29.4,30.25
20051027,BMO,20051027,26.2,26.57,27.35,28.71
20050728,BMO,20050728,27.36,26.95,29.0,30.03
