EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,BMO,20150430,44.43,44.12,45.6,46.93
20150210,BMO,20150210,41.35488,40.81638,45.14433,45.09447
20141029,BMO,20141029,32.680820000000004,33.65488,34.46991,34.9967
20140730,BMO,20140730,31.50465,31.366,32.386109999999995,31.81168
20140430,BMO,20140430,31.94258,32.14975,33.846509999999995,33.106640000000006
20140206,BMO,20140206,29.886640000000003,30.35838,29.346109999999996,30.90875
20131030,BMO,20131030,27.484309999999997,27.91498,29.706159999999997,29.539759999999998
20130802,BMO,20130802,26.54069,27.16426,29.58059,29.38573
20130501,BMO,20130501,21.40898,21.43805,21.51558,21.09884
20130219,BMO,20130219,18.27441,18.68864,20.374470000000002,19.786839999999998
20121102,BMO,20121102,15.505120000000002,15.94485,15.93529,16.10736
20120802,BMO,20120802,15.332679999999998,14.954089999999999,12.445969999999999,13.0801
20120503,BMO,20120503,18.10162,17.79179,17.1909,16.6088
20120209,BMO,20120209,19.09359,19.07493,19.36409,18.72981
20111026,BMO,20111026,16.56658,16.29818,16.177870000000002,17.06635
20110808,NaN,20110809,18.02875,16.50338,17.51417,16.45744
20110727,BMO,20110727,20.88651,20.62922,20.03194,19.71033
20110512,NaN,20110513,23.79779,23.82522,23.40466,23.62408
20110427,NaN,20110428,24.33719,23.69722,23.56009,23.56009
20110317,NaN,20110318,22.99325,23.2401,23.61494,24.11777
20110124,NaN,20110125,23.154870000000003,24.410420000000002,24.401320000000002,24.78345
20101115,NaN,20101116,20.37454,20.3474,20.13027,20.32026
20101027,BMO,20101027,21.59593,21.306420000000003,20.96262,20.80881
20100812,NaN,20100813,19.589129999999997,19.499229999999997,19.454279999999997,19.46327
20100728,NaN,20100729,20.64096,20.07459,19.652060000000002,19.44529
20100513,NaN,20100514,19.097820000000002,19.24975,18.89227,19.94681
20100428,NaN,20100429,20.34003,19.92894,19.92,19.214000000000002
20100318,NaN,20100319,19.401670000000003,19.42848,19.30337,19.43742
20100125,NaN,20100126,18.16122,17.83247,17.83247,17.93909
20091109,NaN,20091110,18.52392,19.33699,19.266289999999998,19.42537
20091028,BMO,20091028,17.587120000000002,17.55177,17.32199,17.59596
20090813,NaN,20090814,16.51432,16.79526,16.128020000000003,15.74172
20090729,BMO,20090729,18.981370000000002,18.85846,17.067429999999998,16.54944
20090519,NaN,20090520,16.99482,16.968629999999997,16.881339999999998,16.846429999999998
20090429,NaN,20090430,15.32763,17.021,16.63694,16.7155
20090330,NaN,20090331,12.3686,11.92343,12.045630000000001,12.35114
20090126,BMO,20090126,11.65682,11.82076,12.29532,12.19178
20081106,NaN,20081107,14.37871,13.60842,14.053479999999999,13.66833
20081029,NaN,20081030,17.98195,14.00213,14.00213,14.481420000000002
20080807,NaN,20080808,19.06144,18.61855,19.69171,19.85354
20080730,NaN,20080731,18.25231,18.12455,18.48227,18.49079
20080508,NaN,20080509,20.61538,20.3866,20.33577,20.61538
20080430,NaN,20080501,23.33529,21.428810000000002,21.66606,20.78485
20080319,NaN,20080320,21.03057,20.53912,20.59843,21.44576
20080130,NaN,20080131,20.26109,20.96934,22.048579999999998,22.26781
20071024,BMO,20071024,21.30719,21.31559,21.13929,20.7615
20070809,NaN,20070810,20.690920000000002,20.55711,22.104329999999997,23.208289999999998
20070725,NaN,20070726,25.08168,24.48788,23.23338,22.67304
20070510,NaN,20070511,27.83768,27.55422,27.9544,27.8877
20070425,NaN,20070426,26.68715,27.74597,27.754309999999997,27.68761
20070322,NaN,20070323,27.2374,27.15403,27.137359999999997,27.3041
20070131,NaN,20070201,27.028109999999998,27.38549,27.202640000000002,27.339779999999998
20061109,NaN,20061110,24.86241,24.85412,24.932879999999997,24.98677
20061025,NaN,20061026,23.35774,24.31111,24.7049,24.4935
20060810,NaN,20060811,20.48396,20.67821,20.66995,20.76501
20060726,NaN,20060727,20.86421,19.13654,18.93402,19.384529999999998
20060512,NaN,20060515,22.22433,21.72569,21.66388,21.45371
20060426,BMO,20060426,23.82326,23.827379999999998,23.07325,22.459220000000002
20060322,NaN,20060323,23.93453,23.97574,23.94277,23.71612
