EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,BMO,20150422,70.63,70.01,70.14,68.75
20150128,BMO,20150128,63.16,64.63,67.45,67.57
20141029,BMO,20141029,56.10334,57.73587,57.795590000000004,59.0399
20140723,BMO,20140723,63.7124,64.37628000000001,61.7505,62.73145
20140423,BMO,20140423,60.49678,60.47707,59.51085,59.90521999999999
20140122,BMO,20140122,54.91415,55.26755,58.8997,58.094730000000006
20131030,BMO,20131030,51.95833,51.7727,49.867490000000004,50.307159999999996
20130724,BMO,20130724,46.75373,46.607929999999996,49.33928,49.28096
20130424,BMO,20130424,38.2312,39.14953,40.75418,41.47917
20130123,BMO,20130123,37.2314,37.55832,37.87563,37.78909
20121105,BMO,20121105,31.15692,30.9371,31.921509999999998,32.944140000000004
20120725,BMO,20120725,30.10558,29.78258,29.81108,30.84658
20120425,BMO,20120425,32.71387,32.56285,33.9692,34.733709999999995
20120125,BMO,20120125,33.72469,33.53685,32.56954,32.466229999999996
20111103,BMO,20111103,32.333009999999994,33.15463,33.36938,32.78117
20110720,BMO,20110720,32.00639,32.81397,33.53802,33.57515
20110421,BMO,20110421,32.42846,32.99187,32.32687,32.206790000000005
20110120,BMO,20110120,33.82301,33.133309999999994,33.12412,33.51955
20101028,BMO,20101028,28.671909999999997,28.36075,28.735970000000002,28.992209999999996
20100722,BMO,20100722,23.17868,23.1514,23.4242,23.678810000000002
20100428,BMO,20100428,27.220540000000003,26.406640000000003,27.8174,29.21913
20100127,BMO,20100127,22.549429999999997,22.801070000000003,23.1426,22.7112
20091104,BMO,20091104,19.13777,19.37878,20.09287,20.52133
20090729,BMO,20090729,18.332179999999997,18.31445,18.77542,19.14774
20090429,BMO,20090429,14.87495,14.9636,15.85007,15.460020000000002
20090416,AMC,20090417,11.5241,12.64992,14.38739,13.25271
20090128,BMO,20090128,13.51764,13.771370000000001,13.167670000000001,12.91394
20081106,BMO,20081106,17.611710000000002,16.47631,14.543529999999999,15.323570000000002
20080730,BMO,20080730,30.554840000000002,30.60647,29.03183,28.51555
20080501,BMO,20080501,32.25077,32.06222,34.239129999999996,34.11914
20080206,BMO,20080206,28.886309999999998,27.836370000000002,29.6631,29.97894
20071115,AMC,20071116,27.626079999999998,28.1361,29.768159999999998,29.79366
20070808,BMO,20070808,29.75977,29.505770000000002,29.412640000000003,28.55752
