EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,43.91979,44.05881,43.45309,42.58919
20150121,AMC,20150122,40.46555,40.90903,38.39595,38.71132
20141016,AMC,20141017,36.79446,37.68544,40.19193,40.78918
20140722,AMC,20140723,46.98789,46.81289,40.11422,40.20172
20140423,AMC,20140424,50.95459,50.96431,46.336490000000005,46.4726
20140121,AMC,20140122,45.65378,45.963159999999995,47.00734,46.43691
20131016,AMC,20131017,44.58444,45.12288,43.642179999999996,43.74794
20130717,AMC,20130718,41.39931,41.62883,43.828379999999996,43.85707
20130424,AMC,20130425,34.727059999999994,34.67955,35.90522,35.57267
20130117,AMC,20130118,34.19089,34.41757,35.10705,34.70092
20121017,AMC,20121018,31.656190000000002,31.8626,31.59051,31.01819
20120718,AMC,20120719,28.791079999999997,29.834970000000002,29.17322,29.02409
20120425,AMC,20120426,31.04485,31.785559999999997,33.933609999999994,33.79472
20120118,AMC,20120119,30.719279999999998,32.51546,32.82865,32.94839
20111019,AMC,20111020,28.2155,27.1074,27.1074,27.67519
20110720,AMC,20110721,30.657120000000003,30.19303,30.675320000000003,30.629820000000002
20110427,AMC,20110428,29.41794,29.7438,31.6356,31.554140000000004
20110119,AMC,20110120,28.62032,27.944670000000002,28.16088,28.178890000000003
20101020,AMC,20101021,23.59173,23.29617,22.54381,22.57068
20100721,AMC,20100722,25.3355,24.75666,25.629379999999998,26.0034
20100428,AMC,20100429,23.26505,23.55697,23.69851,22.81391
20100120,AMC,20100121,20.98122,21.03394,22.18492,20.94608
20091014,AMC,20091015,20.87048,20.93153,20.66989,20.32103
20090715,AMC,20090716,17.18305,17.902260000000002,17.55565,17.55565
20090422,AMC,20090423,17.81138,18.00059,16.98574,17.389960000000002
20090303,BMO,20090303,15.20546,14.371229999999999,14.93885,15.92789
20090114,AMC,20090115,13.842429999999998,13.21982,13.944779999999998,14.43946
20081015,AMC,20081016,17.71535,16.49652,17.85924,17.34293
20080716,NaN,20080717,20.07309,21.21772,20.14884,20.50233
20080423,NaN,20080424,20.75916,21.57112,20.81776,20.79265
20080117,AMC,20080118,16.330379999999998,15.938979999999999,17.929270000000002,17.571189999999998
20071018,NaN,20071019,21.04226,21.50618,20.9677,21.48133
20070719,AMC,20070720,23.3443,23.66589,22.47847,22.03319
20070425,NaN,20070426,23.27531,23.98162,24.786479999999997,24.310129999999997
20070118,AMC,20070119,19.18909,18.796310000000002,19.540960000000002,19.0909
20061019,AMC,20061020,19.41854,19.50825,20.682660000000002,20.71529
20060725,NaN,20060726,16.23755,15.9128,16.61102,16.62725
20060426,AMC,20060427,21.165029999999998,21.50496,22.85661,22.39527
20060119,AMC,20060120,23.25018,24.0494,22.11189,22.475170000000002
20051020,NaN,20051021,17.82282,18.362170000000003,19.054479999999998,18.982029999999998
20050721,NaN,20050722,22.561999999999998,21.67879,22.76274,23.01967
20050421,AMC,20050422,22.70354,23.57645,21.67848,21.63043
20050120,AMC,20050121,21.01845,21.354229999999998,21.8659,21.47416
20041021,NaN,20041022,22.46077,24.24071,22.95564,23.30684
20040722,AMC,20040723,24.29952,24.43497,23.66216,22.72205
20040422,NaN,20040423,29.611179999999997,30.064659999999996,29.10997,28.0996
20040121,AMC,20040122,33.310590000000005,32.133140000000004,33.08783,32.85712
20031016,AMC,20031017,23.76373,23.98649,23.27048,23.5171
20030717,AMC,20030718,21.10652,20.43824,20.28708,19.84156
20030417,AMC,20030421,20.31095,20.740560000000002,20.86785,21.408839999999998
20030121,AMC,20030122,17.971970000000002,17.9481,17.104789999999998,17.20026
20021017,AMC,20021018,12.81666,13.612229999999998,13.74748,14.972660000000001
20020718,AMC,20020719,16.38878,15.52956,15.736410000000001,15.903479999999998
20020418,AMC,20020419,34.87787,34.16185,33.19126,32.2127
20020117,AMC,20020118,32.8412,34.25732,32.67413,30.661340000000003
20011018,AMC,20011019,21.86231,21.03492,21.0747,22.53059
20010719,AMC,20010720,31.36144,32.51502,30.15217,29.10202
20010419,AMC,20010420,36.61221,39.77859,38.5375,35.64162
20010117,AMC,20010118,38.535509999999995,38.43606,43.06033,42.911159999999995
20001017,AMC,20001018,56.833659999999995,51.31438,53.00496999999999,59.220380000000006
20000720,AMC,20000721,69.71198000000001,69.26446999999999,60.41373000000001,61.35847
20000420,AMC,20000424,53.00496999999999,53.75082,50.12103,55.988369999999996
20000118,AMC,20000119,38.33662,38.585229999999996,36.44713,37.292429999999996
19991019,AMC,19991020,27.124029999999998,27.298059999999996,27.447229999999998,28.043909999999997
19990720,AMC,19990721,24.31466,23.29534,24.140629999999998,23.41965
19990422,AMC,19990423,20.73459,21.132379999999998,19.24289,19.26776
