EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,BMO,20150422,64.51,64.9,65.83,64.97
20150203,BMO,20150203,59.62,59.34,63.17,62.81
20141028,BMO,20141028,52.56,51.99,55.58,55.76
20140717,BMO,20140717,60.79,60.83,55.82,57.43
20140417,BMO,20140417,53.11,53.83,54.99,54.69
20140130,BMO,20140130,47.39,47.01,49.89,49.39
20131024,BMO,20131024,49.36,48.57,49.41,49.16
20130718,BMO,20130718,45.69,45.47,44.98,44.74
20130418,BMO,20130418,43.78,42.48,43.3,43.82
20130131,BMO,20130131,44.87,44.75,48.5,47.58
20121025,BMO,20121025,47.9,48.04,45.76,44.61
20120719,BMO,20120719,40.93,42.45,40.78,39.68
20120425,BMO,20120425,33.6,33.58,33.23,34.38
20120126,BMO,20120126,36.25,36.34,36.82,36.5
20111020,BMO,20111020,37.46,37.09,37.95,39.13
20110727,BMO,20110727,39.39,39.97,38.96,37.65
20110426,BMO,20110426,34.05,34.51,33.01,33.36
20110203,BMO,20110203,29.15,28.25,31.45,30.84
20101028,NaN,20101029,24.8,22.95,23.22,23.52
20100722,NaN,20100723,21.27,22.54,23.14,24.34
20100422,BMO,20100422,19.59,20.77,20.55,21.06
20100211,BMO,20100211,17.96,18.23,17.69,17.72
20091029,BMO,20091029,18.78,18.09,18.09,17.24
20090731,BMO,20090731,20.2,20.63,20.68,20.69
20090423,BMO,20090423,15.0,15.37,16.94,16.19
20090129,NaN,20090130,9.24,9.67,9.28,9.36
20081106,BMO,20081106,6.97,6.09,5.77,6.55
20080724,BMO,20080724,9.17,9.39,10.43,9.75
20080424,BMO,20080424,15.16,15.11,15.53,15.7
20080207,BMO,20080207,14.99,14.92,14.81,15.51
20071024,BMO,20071024,17.76,17.37,17.57,17.1
20070726,BMO,20070726,20.75,20.67,20.04,19.21
20070426,BMO,20070426,21.62,21.82,21.61,21.23
20070207,BMO,20070207,22.65,22.81,22.96,22.93
20061026,BMO,20061026,21.34,21.01,20.88,19.98
20060727,BMO,20060727,20.78,20.46,19.85,20.08
20060427,BMO,20060427,22.4,22.19,22.0,22.52
20060209,BMO,20060209,22.17,22.1,21.36,21.44
20051027,BMO,20051027,18.97,19.01,19.28,19.68
20050728,BMO,20050728,21.28,21.43,21.88,21.59
20050428,BMO,20050428,18.08,18.22,18.07,18.27
20050203,BMO,20050203,19.1,18.97,19.74,19.79
20041028,BMO,20041028,16.57,16.69,17.12,17.23
20040720,BMO,20040720,15.58,15.47,15.58,15.3
20040429,BMO,20040429,16.9,17.01,16.83,17.02
20040205,BMO,20040205,16.44,16.29,16.89,17.14
20031030,BMO,20031030,18.06,17.92,18.71,18.7
20030724,BMO,20030724,16.61,16.87,16.95,17.0
20030428,BMO,20030428,13.9,13.45,14.1,13.87
20030206,BMO,20030206,11.9,11.79,11.85,11.82
20021024,BMO,20021024,10.41,10.85,10.5,10.42
20020725,BMO,20020725,10.85,12.3,12.2,12.4
20020423,BMO,20020423,14.2,14.05,14.81,15.53
20020207,BMO,20020207,11.16,11.14,10.82,11.13
20011025,BMO,20011025,10.11,10.12,9.96,10.0
20010719,BMO,20010719,11.74,11.98,11.73,11.25
20010502,BMO,20010502,10.85,10.2,9.99,9.78
20010208,BMO,20010208,6.65,7.0,6.95,7.21
20001026,BMO,20001026,5.875,6.0,5.875,6.1875
20000727,BMO,20000727,6.375,6.5,6.875,6.75
20000427,BMO,20000427,8.01169,7.56033,7.78601,8.23737
20000126,NaN,20000127,7.44749,7.16539,6.99612,7.10896
19991028,NaN,19991029,8.91442,9.19652,9.08368,9.25294
19990802,BMO,19990802,14.04867,13.48447,13.76657,13.54089
