EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150513,AMC,20150514,29.23,29.35,29.05,29.55
20150211,AMC,20150212,27.281209999999998,26.72547,29.23625,29.20648
20141112,AMC,20141113,24.788529999999998,24.7491,25.31091,25.94171
20140813,AMC,20140814,24.601029999999998,24.64994,24.00435,23.89675
20140514,AMC,20140515,22.19162,22.143079999999998,23.47302,23.65747
20140212,AMC,20140213,21.859170000000002,21.99393,21.435660000000002,21.71479
20131113,AMC,20131114,22.667839999999998,22.92576,20.41348,20.575870000000002
20130814,AMC,20130815,24.95949,25.016389999999998,23.21461,23.01546
20130515,AMC,20130516,20.02965,19.97315,22.49687,22.82646
20130213,AMC,20130214,19.5888,19.7476,19.60748,19.60748
20121113,AMC,20121114,15.633820000000002,15.62455,16.37564,16.635279999999998
20120815,AMC,20120816,15.804210000000001,15.96989,17.50705,17.543870000000002
20120509,AMC,20120510,17.14147,17.2056,15.40075,15.1259
20120208,AMC,20120209,18.43669,18.64661,18.25415,18.162879999999998
20111109,AMC,20111110,16.65621,16.01944,16.92912,17.30208
20110810,AMC,20110811,12.73956,12.44055,14.424879999999998,14.4883
20110511,AMC,20110512,16.05828,16.04925,15.281989999999999,15.23686
20110209,AMC,20110210,19.78015,19.825129999999998,17.01867,16.82078
20101110,AMC,20101111,21.90299,22.02892,18.45788,18.12506
20100811,NaN,20100812,21.86701,21.34529,19.21346,19.21346
20100512,AMC,20100513,23.35119,24.05281,22.96441,22.4337
20100203,AMC,20100204,20.70665,20.751620000000003,20.83258,21.31831
20091104,AMC,20091105,20.6077,20.94951,21.5252,21.42625
20090805,AMC,20090806,20.184929999999998,19.94206,20.067999999999998,19.960060000000002
20090506,AMC,20090507,17.657320000000002,17.639329999999998,17.04565,16.84776
20090204,AMC,20090205,14.0503,14.24819,14.70694,15.3276
20081105,AMC,20081106,16.48796,15.642420000000001,15.237639999999999,15.813329999999999
20080805,AMC,20080806,19.78015,20.373829999999998,21.5252,21.21037
20080506,AMC,20080507,23.639039999999998,23.68401,23.18928,23.11732
20080206,AMC,20080207,20.92253,20.76062,21.03047,21.17439
20071107,AMC,20071108,30.65519,29.45885,26.652379999999997,25.7079
20070807,AMC,20070808,26.53545,26.706359999999997,28.496370000000002,28.24451
20070508,NaN,20070509,25.015279999999997,25.51001,23.84592,23.64803
20070206,NaN,20070207,24.74543,24.53854,25.267139999999998,25.31212
20061108,NaN,20061109,22.34375,22.57762,24.02582,24.05281
20060808,AMC,20060809,15.66041,15.552470000000001,17.79224,17.59435
20060509,AMC,20060510,19.57327,19.50131,18.66477,18.03511
20060207,NaN,20060208,16.03821,16.27208,17.450429999999997,17.58536
20051109,AMC,20051110,16.06519,15.966239999999999,15.42654,15.714379999999998
20050809,AMC,20050810,17.3155,17.639329999999998,16.416,16.24509
20050510,AMC,20050511,16.380020000000002,16.380020000000002,16.68585,16.82078
20050208,AMC,20050209,16.33504,16.407,15.8583,15.813329999999999
20041109,AMC,20041110,17.96315,17.76526,16.5869,16.85676
20040810,AMC,20040811,18.03511,18.40391,16.45198,16.002229999999997
20040511,AMC,20040512,19.44734,20.014029999999998,19.75317,19.57327
20040203,NaN,20040204,23.567079999999997,23.75597,21.660120000000003,21.42625
20031105,AMC,20031106,19.411360000000002,19.60925,20.5987,20.09498
20030805,AMC,20030806,17.3245,16.9647,15.87629,15.76835
20030506,AMC,20030507,13.83441,14.30216,13.94235,13.690489999999999
20030204,AMC,20030205,12.12535,11.873489999999999,11.873489999999999,11.909469999999999
20021106,AMC,20021107,11.41474,11.65761,11.10891,11.29781
20020806,AMC,20020807,10.2184,10.85705,11.68459,11.873489999999999
20020507,AMC,20020508,11.59464,11.76555,14.634979999999999,14.167229999999998
20020206,AMC,20020207,16.64087,16.73982,15.345579999999998,15.075729999999998
20011105,AMC,20011106,15.52549,16.10117,16.613889999999998,17.02766
20010807,AMC,20010808,17.57636,17.3245,16.17313,16.45198
20010508,AMC,20010509,17.3155,18.33195,17.20756,16.93771
20001106,AMC,20001107,51.04701,49.58531,51.04701,46.886790000000005
20000808,BMO,20000808,58.97391,59.592319999999994,58.91769,60.9978
19991109,AMC,19991110,33.87205,33.39419,35.755390000000006,37.66685
19990923,AMC,19990924,32.494679999999995,31.20164,31.03298,30.63945
19990511,AMC,19990512,24.56778,25.158079999999998,26.704109999999996,26.46518
19981104,BMO,19981104,14.54672,14.251560000000001,14.74347,15.24945
