EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,BMO,20150429,8.68,8.87,7.75,7.6
20150129,BMO,20150129,9.87,9.6,8.8,8.27
20141030,BMO,20141030,8.67,8.61,9.43,9.97
20140730,BMO,20140730,7.73,7.77,8.73,9.16
20140430,BMO,20140430,6.99,7.03,7.65,7.26
20140204,BMO,20140204,7.0,6.69,7.16,6.83
20131029,BMO,20131029,8.73,8.71,7.52,7.51
20130724,BMO,20130724,9.74,9.85,9.27,8.9
20130423,BMO,20130423,9.19,9.09,9.16,8.59
20130130,BMO,20130130,9.82,9.77,9.6,9.41
20121024,BMO,20121024,8.39,8.26,9.2,8.89
20120725,BMO,20120725,8.51,8.23,7.19,7.1
20120425,BMO,20120425,9.3,9.61,10.3,10.52
20120202,BMO,20120202,9.47,9.99,8.27,8.79
20111102,BMO,20111102,10.18,9.49,8.68,8.28
20110726,BMO,20110726,13.55,13.44,14.14,13.98
20110428,BMO,20110428,17.42,17.55,18.15,18.33
20110201,BMO,20110201,12.89,13.06,14.98,15.2
20101102,BMO,20101102,9.05,9.04,10.75,10.73
20100727,BMO,20100727,7.53,7.86,8.31,7.92
20100428,BMO,20100428,8.41,8.32,9.03,9.31
20100202,BMO,20100202,5.71,5.9,6.46,6.48
20091021,BMO,20091021,6.62,6.45,6.77,6.95
20090723,BMO,20090723,4.27,4.31,4.41,4.51
20090423,BMO,20090423,3.16,3.72,3.9,3.97
20090204,BMO,20090204,2.99,2.86,2.88,2.95
20081023,BMO,20081023,5.65,4.55,3.57,3.56
20080724,BMO,20080724,7.86,7.84,8.09,8.25
20080429,BMO,20080429,7.53,7.3,6.95,6.82
20080206,AMC,20080207,6.4,6.75,7.5,7.5
20071031,BMO,20071031,11.43,12.0,12.81,13.09
20070815,BMO,20070815,11.99,11.83,11.0,11.5
