EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150422,AMC,20150423,56.42,56.75,58.89,59.2
20150121,AMC,20150122,53.68,53.38,57.15,56.76
20141015,AMC,20141016,50.59,50.24,47.88,47.95
20140716,AMC,20140717,50.82,50.7,51.03,51.48
20140429,AMC,20140430,53.64,54.54,51.83,51.69
20140122,AMC,20140123,54.15,54.41,54.94,54.37
20131016,AMC,20131017,53.97,53.52,51.38,52.2
20130717,AMC,20130718,56.81,57.38,53.52,52.19
20130417,AMC,20130418,57.01,56.1,52.82,52.39
20130116,AMC,20130117,52.51,52.9,54.17,54.21
20121017,AMC,20121018,48.24,48.2,50.83,49.97
20120718,AMC,20120719,39.07,40.46,43.95,44.85
20120418,AMC,20120419,36.08,35.87,40.62,40.29
20120118,AMC,20120119,30.53,30.34,31.51,31.93
20111019,AMC,20111020,33.87,33.18,32.15,32.12
20110720,AMC,20110721,33.76,33.17,33.44,33.5
20110427,NaN,20110428,33.08,34.03,34.0,34.39
20110119,AMC,20110120,29.45,29.1,30.78,30.02
20101020,NaN,20101021,25.53,25.66,27.2,28.07
20100721,NaN,20100722,20.79,20.17,20.94,21.09
20100421,NaN,20100422,26.4,26.29,24.78,24.55
20100120,AMC,20100121,23.26,22.23,24.13,23.58
20091021,AMC,20091022,25.06,25.03,23.97,23.56
20090722,AMC,20090723,18.93,19.45,21.52,21.24
20090422,AMC,20090423,14.29,14.78,16.62,16.78
20090121,AMC,20090122,12.55,13.28,11.67,12.0
20081015,AMC,20081016,17.74,15.33,14.97,15.35
20080716,AMC,20080717,26.89,28.1,24.2,23.98
20080416,AMC,20080417,31.58,32.12,31.01,31.71
20080123,AMC,20080124,27.23,28.94,27.18,26.83
20071017,NaN,20071018,38.6,40.6,38.1,36.72
20070718,NaN,20070719,34.25,34.05,33.5,33.53
20070418,NaN,20070419,35.2,34.45,33.19,33.52
20070124,NaN,20070125,28.62,30.0,32.45,31.65
20061018,NaN,20061019,28.78,28.49,30.49,30.49
20060719,NaN,20060720,26.59,25.93,24.66,24.48
20060419,NaN,20060420,38.88,40.35,36.77,35.09
20060118,NaN,20060119,45.41,44.44,46.77,44.97
20051019,AMC,20051020,40.42,42.01,39.15,39.29
20050720,AMC,20050721,35.37,34.87,42.1,41.02
20050427,AMC,20050428,31.14,31.48,31.8,31.71
20050420,NaN,20050421,32.17,33.11,33.08,31.51
20050203,NaN,20050204,39.4,38.61,37.94,37.795
20050119,AMC,20050120,53.185,51.525,41.665,43.025
20041020,AMC,20041021,46.225,45.68,49.795,47.955
20040721,AMC,20040722,39.975,38.3,38.695,37.505
20040421,AMC,20040422,36.985,37.39,41.295,41.07
20040121,NaN,20040122,32.85,32.19,34.66,34.675
20031016,AMC,20031017,28.8,28.75,27.43,28.3
20030724,NaN,20030725,28.535,28.935,28.06,27.7225
20030422,AMC,20030423,22.6875,22.305,23.58,23.66
20030116,AMC,20030117,18.375,17.8125,18.7125,18.94
20021017,AMC,20021018,14.495,14.5375,14.99,15.755
20020718,AMC,20020719,15.405,15.1125,14.23,14.0125
20020418,AMC,20020419,13.7325,13.26,13.5975,13.42
20020115,AMC,20020116,15.79,16.0075,14.985,15.4025
20011018,AMC,20011019,14.2725,14.765,12.9875,13.27
20010719,AMC,20010720,16.635,16.1,16.7,16.24
20010419,AMC,20010420,11.4375,12.4975,12.6625,11.7375
20010118,AMC,20010119,10.8125,11.71875,12.53125,12.35938
20001019,NaN,20001020,13.34375,14.296879999999998,14.515620000000002,14.890620000000002
20000725,AMC,20000726,13.78125,14.0625,13.171879999999998,12.42188
20000425,AMC,20000426,17.734379999999998,19.19531,18.65625,20.24219
20000125,AMC,20000126,17.046879999999998,17.1875,19.19531,19.24219
19991026,AMC,19991027,18.859379999999998,19.0,17.33594,17.02344
19990726,AMC,19990727,13.476560000000001,13.04688,12.445310000000001,13.117189999999999
19990426,AMC,19990427,25.015620000000002,26.125,26.15625,24.07031
