EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150504,AMC,20150505,98.9,99.39,94.54,95.08
20150218,AMC,20150219,96.31881,95.1409,93.63358000000001,90.91841
20141104,BMO,20141104,94.69397,92.97044,89.94183000000001,95.74003
20140805,AMC,20140806,111.16798,108.00623999999999,106.02766000000001,105.45098999999999
20140505,AMC,20140506,96.3984,98.57347,102.92362,104.07571
20140225,BMO,20140225,88.28132,89.47163,91.25709,92.46724
20131107,BMO,20131107,89.03993,87.50912,85.00235,84.6952
20130807,BMO,20130807,76.30291,75.82781999999999,77.3125,78.48046
20130507,BMO,20130507,61.27738000000001,62.29553000000001,67.06506999999999,68.15736
20130214,NaN,20130215,65.93529000000001,65.80204,63.75883,64.84953
20121105,AMC,20121106,56.77685,57.57034,60.11841,59.14255
20120803,AMC,20120806,47.29915,52.53,52.033,53.50925
20120802,AMC,20120803,49.42987,47.29915,52.53,52.033
20120509,BMO,20120509,51.45942,51.07631,51.6215,52.31405
20120508,AMC,20120509,51.45942,51.07631,51.6215,52.31405
20120217,BMO,20120217,56.31231,57.6755,56.07204,56.7095
20120216,AMC,20120217,56.31231,57.6755,56.07204,56.7095
20111102,BMO,20111102,43.7844,42.04634,47.02062,48.974090000000004
20111101,AMC,20111102,43.7844,42.04634,47.02062,48.974090000000004
20110805,NaN,20110808,45.01715,46.869040000000005,43.2923,44.39659
20110804,AMC,20110805,47.87562,45.01715,46.869040000000005,43.2923
20110505,AMC,20110506,51.847190000000005,50.90566,52.41308,54.30588
20110218,BMO,20110218,50.16861,50.76777,53.04263,52.76497
20110217,AMC,20110218,50.16861,50.76777,53.04263,52.76497
20101103,NaN,20101104,47.53494,43.10924,42.93902,43.09465
20101102,AMC,20101103,46.72275,47.53494,43.10924,42.93902
20100805,AMC,20100806,50.014590000000005,49.742670000000004,48.19853,48.52872
20100504,NaN,20100505,55.06227,53.452490000000004,50.99418,49.636540000000004
20100209,AMC,20100210,44.34065,45.77381,42.72351,44.088879999999996
20091105,AMC,20091106,41.23728,42.55707,43.67864,44.66969
20090806,AMC,20090807,37.65683,37.75336,36.06889,36.77839
20090504,AMC,20090505,31.822409999999998,34.69259,34.19657,37.33643
20090204,AMC,20090205,32.61756,32.94907,33.19409,32.86739
20081103,AMC,20081104,38.79954,36.33501,40.35306,39.22627
20080729,AMC,20080730,48.756479999999996,47.86156,50.3214,48.11042
20080502,NaN,20080505,60.64512,61.0754,63.36543,65.91841
20080207,NaN,20080208,41.945570000000004,43.029790000000006,44.95465,47.01324
20071029,AMC,20071030,39.08498,39.37128,41.01274,42.27724
20070802,AMC,20070803,34.1228,34.8616,33.58896,33.612790000000004
20070430,AMC,20070501,35.347970000000004,34.96235,36.07635,36.852340000000005
20070201,BMO,20070201,32.36234,32.87112,33.08985,32.6619
20061030,AMC,20061031,32.30621,31.82643,31.603170000000002,31.360909999999997
20060731,AMC,20060801,34.1978,35.18967,33.89882,33.60933
20060505,NaN,20060508,33.87935,36.18381,35.34928,35.3967
20060201,AMC,20060202,40.05368,39.30036,38.23908,37.48103
20051101,AMC,20051102,32.09667,32.1677,33.38471,34.014520000000005
20050726,AMC,20050727,30.430909999999997,30.927840000000003,30.18955,28.79815
20050427,BMO,20050427,22.84851,22.58365,22.597839999999998,22.36609
20050202,AMC,20050203,17.945339999999998,18.10365,18.25959,18.11074
20041027,BMO,20041027,16.260270000000002,16.45857,16.02184,15.351410000000001
20040802,AMC,20040803,14.988829999999998,14.98647,15.304879999999999,14.4841
20040503,BMO,20040503,11.53407,11.60476,12.28808,12.728710000000001
20040205,BMO,20040205,10.65815,10.460469999999999,10.09571,10.18043
20031103,AMC,20031104,9.90597,9.93183,9.88481,9.79078
20030806,NaN,20030807,9.04668,9.15703,9.40357,9.312000000000001
20030505,BMO,20030505,8.680860000000001,8.74651,8.85672,8.755889999999999
20030203,AMC,20030204,9.079369999999999,9.06063,9.34406,9.30893
20021021,AMC,20021022,8.73541,8.84539,8.712010000000001,9.0911
20020812,AMC,20020813,8.30023,8.414769999999999,8.061810000000001,8.14596
20020429,AMC,20020430,9.83643,9.831760000000001,9.93449,9.936819999999999
20020130,BMO,20020130,7.7367300000000006,7.449839999999999,7.67375,7.927989999999999
20011024,BMO,20011024,8.01201,7.991039999999999,8.1285,8.59445
20010731,BMO,20010731,8.467989999999999,8.23762,8.22598,8.05146
20010423,NaN,20010424,10.15681,10.90055,10.84245,11.08417
20010207,BMO,20010207,10.50727,10.70697,10.99722,10.70464
20001017,BMO,20001017,9.64392,9.4844,9.86145,9.80344
20000418,AMC,20000419,5.31195,5.5001,5.36984,5.51457
20000208,AMC,20000209,3.5994,3.58495,3.48375,3.6716800000000003
19991012,BMO,19991012,4.71176,4.84144,5.01435,4.8337
19990720,NaN,19990721,4.55326,4.71176,4.61089,4.6685300000000005
19990713,BMO,19990713,4.60391,4.56075,4.53885,4.53885
