EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,AMC,20150430,66.85,65.09,65.93,66.53
20150219,AMC,20150220,64.96943,63.29184,65.08855,65.58488
20141029,AMC,20141030,56.10408,55.818490000000004,55.97605,57.27599
20140730,AMC,20140731,51.674479999999996,51.772090000000006,50.4934,50.74719
20140428,AMC,20140429,48.859609999999996,49.27564,49.78842,50.63016
20140220,AMC,20140221,45.5838,45.53582,45.68936,45.63178
20131028,AMC,20131029,46.24382,46.18679,44.9796,43.915
20130801,AMC,20130802,39.606640000000006,40.75575,40.21887,40.95355
20130429,BMO,20130429,38.88523,39.174440000000004,40.0794,40.65783
20130221,AMC,20130222,35.59498,35.05735,35.33543,34.47337
20120730,AMC,20120731,29.47075,29.34265,29.955679999999997,30.10207
20120430,AMC,20120501,27.69326,27.57515,27.44795,27.8568
20120221,AMC,20120222,24.13125,23.75251,23.55412,24.23946
20111027,AMC,20111028,19.491770000000002,20.18214,20.460079999999998,20.20007
20110728,AMC,20110729,18.99557,18.95995,18.93323,19.049
20110427,AMC,20110428,18.978820000000002,19.11148,19.36795,19.13801
20110222,AMC,20110223,17.034760000000002,16.70109,16.358629999999998,16.49035
20101028,AMC,20101029,13.82807,13.81061,14.142339999999999,14.50027
20100728,AMC,20100729,13.385110000000001,13.385110000000001,13.32438,13.4545
20100503,AMC,20100504,12.939210000000001,13.4044,13.43886,13.637
20100222,AMC,20100223,10.31575,10.255930000000001,9.84569,9.8286
20091102,AMC,20091103,8.08517,8.06828,8.600530000000001,8.296380000000001
20090803,AMC,20090804,7.41775,7.595160000000001,7.5191300000000005,7.552919999999999
