EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,BMO,20150430,40.83808,40.47053,41.14603,41.33478
20150129,BMO,20150129,36.65108,35.87127,37.28283,36.25624
20141030,BMO,20141030,38.35854,38.10347,38.92754,39.70256
20140731,BMO,20140731,37.22861,37.41383,36.68271,36.86792
20140501,BMO,20140501,34.09522,34.08553,34.86967,34.81158
20140130,BMO,20140130,32.15046,31.785,32.21778,31.97735
20131031,BMO,20131031,31.87126,31.44134,32.24386,32.32984
20130731,BMO,20130731,30.57545,30.58494,30.53751,31.34387
20130430,BMO,20130430,27.8501,28.0009,29.91412,29.63138
20130131,BMO,20130131,26.53243,26.48561,25.52096,26.00797
20121101,BMO,20121101,22.54283,22.6079,22.99833,22.68227
20120726,BMO,20120726,19.09504,18.91046,19.29808,20.4148
20120426,BMO,20120426,22.00697,22.39161,22.95025,22.98688
20120126,BMO,20120126,20.40292,20.21156,20.75831,20.94967
20111024,BMO,20111024,16.38451,16.97323,17.81555,17.02757
20110726,BMO,20110726,20.42729,20.31935,20.72412,20.02252
20110427,BMO,20110427,22.01536,22.2391,22.21225,22.34649
20110127,BMO,20110127,21.3031,21.18723,22.13205,21.98052
20101025,BMO,20101025,19.76728,19.79388,19.60765,19.82936
20100727,BMO,20100727,17.1489,17.48394,17.15771,17.05191
20100428,BMO,20100428,18.92199,18.17668,18.94829,20.74579
20100128,BMO,20100128,17.73174,18.91793,17.62708,16.83338
20091023,NaN,20091026,19.97314,19.41737,18.83554,18.49686
20091020,BMO,20091020,19.75604,20.07735,20.23366,19.79078
20090727,BMO,20090727,16.86276,16.72454,16.65543,16.49129
20090423,BMO,20090423,13.52573,13.26843,13.43139,12.59085
20090130,BMO,20090130,11.09441,9.80971,10.03091,10.62647
20081029,BMO,20081029,9.24088,11.83304,11.90037,12.09394
20080724,BMO,20080724,20.44957,20.29026,19.15837,18.63015
20080424,BMO,20080424,19.28369,18.78238,20.21947,20.45341
20080205,BMO,20080205,23.42794,22.74983,22.31153,21.97248
20071108,BMO,20071108,24.32106,23.43621,22.98138,22.36942
20070802,BMO,20070802,20.69329,20.47149,20.89045,20.11003
20070426,BMO,20070426,18.77265,19.14889,19.67464,19.43641
20070213,BMO,20070213,20.08331,20.05075,19.7414,19.99376
20061025,NaN,20061026,19.29366,18.43888,18.69938,18.69938
20060727,BMO,20060727,14.59351,15.16723,15.70055,15.87024
20060426,BMO,20060426,16.30659,16.72678,18.16512,18.11664
20060207,BMO,20060207,14.52932,14.16128,14.96936,14.80134
20051027,BMO,20051027,9.56887,9.76088,9.57687,9.64887
20050802,BMO,20050802,11.51002,12.24622,11.9929,11.83458
20050426,BMO,20050426,9.57849,9.51516,9.39642,9.45975
20050201,BMO,20050201,9.81896,10.48188,10.60666,10.65346
20041028,BMO,20041028,8.03299,8.10318,8.53212,8.53212
20040729,NaN,20040730,8.86933,8.21923,8.14957,8.13409
20040427,BMO,20040427,11.50847,11.2995,10.85836,10.50234
20040203,BMO,20040203,11.39802,11.5123,11.83992,11.6342
20031023,BMO,20031023,13.10467,12.54086,11.97706,11.88563
20030801,BMO,20030801,11.01249,11.61592,11.5782,11.87237
20030429,BMO,20030429,8.27446,8.41777,7.98029,8.38005
20030204,BMO,20030204,8.49086,8.75551,8.1674,7.93216
20021024,BMO,20021024,8.38059,8.00567,8.52762,8.91724
20020802,BMO,20020802,11.00095,9.73664,9.53318,8.42873
20020424,BMO,20020424,17.2571,17.44602,17.2135,17.14811
20020205,BMO,20020205,19.58774,18.93866,18.20304,17.35924
20011025,BMO,20011025,18.67903,18.62855,18.71509,18.542
20010802,BMO,20010802,22.92147,23.46688,23.61041,23.85441
20010424,BMO,20010424,25.26098,24.42134,24.6151,24.28499
20010206,BMO,20010206,31.72146,30.79414,30.63721,30.77988
20001019,NaN,20001020,27.03493,28.28325,29.31756,30.31621
20000803,BMO,20000803,24.75086,25.14204,24.94645,24.82199
20000509,NaN,20000510,19.3455,18.82986,18.4209,18.56315
20000419,BMO,20000419,16.5717,16.67838,17.94082,18.47424
19991027,BMO,19991027,10.30944,10.30944,10.27413,11.54516
19990805,BMO,19990805,12.61671,12.56414,12.26625,11.7055
