EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150213,BMO,20150213,110.64858,111.77237,113.26412,112.58786
20141119,BMO,20141119,100.39104,100.83604,100.52949,99.9856
20140820,BMO,20140820,101.35986,101.67436,100.66204,99.90526
20140605,BMO,20140605,100.54196,100.43452,101.88004,103.2279
20140214,BMO,20140214,90.99824,92.38686,89.15322,92.55193
20131120,BMO,20131120,105.10604,104.79721,97.9452,99.42176
20130821,BMO,20130821,104.68246,104.72085,103.46344,103.17547
20130606,BMO,20130606,98.01851,97.76067,93.95032,96.82479
20130215,BMO,20130215,85.83366,87.57257,87.80062,87.18297
20121116,BMO,20121116,80.96837,80.66604,79.22997,79.82518
20120817,BMO,20120817,74.16427,74.16427,77.91145,79.12295
20120607,BMO,20120607,69.65113,70.93838,70.97568,70.65854
20120216,BMO,20120216,73.61496,72.43779,66.36654,67.7291
20111117,BMO,20111117,69.68698,67.42059,66.19526,68.44323
20110818,BMO,20110818,68.57679,69.1903,64.11732,62.10279
20110609,BMO,20110609,70.7733,69.48172,71.06436,70.04566
20110217,BMO,20110217,56.88682,57.82725,60.26874,60.88364
20101118,BMO,20101118,56.66431,56.57451,55.81121,55.88305
20100820,BMO,20100820,52.62693,51.78804,53.23379,53.35873
20100617,BMO,20100617,51.00053,51.18667,54.55479,55.04228
20100224,BMO,20100224,53.16175,52.91527,51.64763,52.28145
20091120,BMO,20091120,46.97067,46.80439,49.31614,50.85645
20090821,BMO,20090821,44.22061,45.10746,47.03765,46.22037
20090618,BMO,20090618,37.21159,37.68656,41.33086,40.99406
20090225,BMO,20090225,34.60844,35.22492,33.12718,31.86853
20081121,BMO,20081121,33.47916,32.50198,37.43038,37.09899
20080814,BMO,20080814,39.30488,38.7448,41.69094,42.72669
20080619,BMO,20080619,38.88552,38.07731,34.73011,34.08202
20080215,BMO,20080215,36.77982,36.25699,38.0831,37.21929
20071116,BMO,20071116,39.66936,39.30038,39.52629,37.80186
20070817,BMO,20070817,40.88196,41.63071,42.43937,41.62323
20070621,NaN,20070622,42.30312,45.20029,46.10147,45.69184
20070216,BMO,20070216,36.11569,35.80454,36.60464,38.04186
20061117,BMO,20061117,36.78223,34.8378,34.46953,35.31654
20060818,BMO,20060818,32.66354,32.85396,33.11029,33.35197
20060620,BMO,20060620,29.65254,29.40513,31.50809,32.25759
20060217,NaN,20060221,30.66256,27.64183,27.30218,28.08988
20051117,BMO,20051117,32.88176,32.63043,32.85304,32.51553
20050822,BMO,20050822,34.21452,34.27877,32.84394,32.62265
20050616,BMO,20050616,35.77261,36.08491,35.72292,34.49501
20050218,BMO,20050218,33.78773,34.10541,34.0207,33.68183
20041119,BMO,20041119,32.92984,32.57168,31.42696,30.93537
20040825,BMO,20040825,31.61067,31.82723,32.42102,32.5328
20040617,BMO,20040617,33.96939,33.79572,32.30218,32.30912
20040331,BMO,20040331,35.88652,36.12153,36.48094,36.89566
20040213,BMO,20040213,32.66558,32.56882,32.63794,33.28074
20040106,BMO,20040106,31.07667,31.1317,31.10418,31.05604
20031120,BMO,20031120,30.67772,30.51952,30.34068,30.80841
20030925,BMO,20030925,28.58064,29.81911,29.17592,29.08697
20030821,BMO,20030821,26.88373,26.60319,26.89741,26.84951
20030626,BMO,20030626,28.02701,28.23789,27.92497,27.4828
20030617,BMO,20030617,26.33315,26.91137,28.44198,28.23109
20030401,BMO,20030401,23.88978,23.63966,23.9371,24.2413
20030214,BMO,20030214,26.03269,26.37069,26.22197,26.39097
20021219,BMO,20021219,25.75693,25.35343,25.32653,26.38908
20021115,BMO,20021115,22.69703,23.15434,26.34201,26.92709
20020925,BMO,20020925,24.85643,24.79626,24.80963,25.40463
20020815,BMO,20020815,23.59078,24.16243,23.22518,24.08092
20020620,BMO,20020620,23.16536,22.93271,22.53388,22.63358
20020617,AMC,20020618,24.42832,23.79684,23.16536,22.93271
20020409,BMO,20020409,22.3818,22.40165,22.44135,22.22302
20020214,BMO,20020214,20.60211,20.63519,21.11154,22.23625
20020109,BMO,20020109,23.0375,23.0375,23.02434,23.0375
20011115,NaN,20011116,21.66183,21.04969,20.79957,20.98387
20011004,BMO,20011004,16.93252,17.16178,17.29279,17.71201
20010816,NaN,20010817,17.58139,17.6465,17.52205,17.81681
20010628,BMO,20010628,16.51348,16.92371,16.92371,16.93022
20010619,BMO,20010619,15.94046,15.89488,16.2465,16.93022
20010328,BMO,20010328,16.80208,17.02213,16.84091,16.82149
20010216,BMO,20010216,17.46225,17.55933,18.2907,17.3328
20001213,BMO,20001213,17.43879,17.02695,16.53789,16.46067
20000920,BMO,20000920,14.26615,14.34607,14.46596,14.38603
