EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150508,BMO,20150508,23.83,23.86,23.67,23.5
20150304,BMO,20150304,19.77093,19.71987,19.54114,19.72838
20141107,BMO,20141107,15.0048,15.43035,15.34524,15.79632
20140808,BMO,20140808,18.51983,18.12832,16.9538,16.06867
20140509,BMO,20140509,15.96654,14.9282,16.12825,17.35382
20140304,BMO,20140304,16.69848,16.60486,18.21342,17.77086
20131108,BMO,20131108,16.34102,16.13675,15.87292,15.53248
20130805,BMO,20130805,14.19627,14.20477,12.65578,12.29832
20130506,BMO,20130506,11.96639,12.27279,11.98342,12.07704
20130226,BMO,20130226,9.66844,9.65993,9.13225,8.82585
20121109,BMO,20121109,8.68968,8.65564,9.0131,8.90245
20120807,BMO,20120807,8.19604,8.18754,8.38329,8.45989
20120508,BMO,20120508,7.36197,7.32792,7.52368,7.71092
20120224,BMO,20120224,7.88965,8.0088,8.20455,8.19604
20111108,BMO,20111108,7.20878,7.21728,7.58325,7.04707
20110809,BMO,20110809,6.71514,6.02575,6.95344,6.19597
20110510,BMO,20110510,7.87263,7.94923,7.77049,7.74496
20110224,BMO,20110224,7.88965,7.74496,7.74496,7.99178
20101102,BMO,20101102,7.43857,7.42155,8.02583,7.80454
20100809,BMO,20100809,6.77472,6.57045,7.17473,6.80025
20100510,BMO,20100510,7.8556,7.86412,7.6173,7.82156
20100223,BMO,20100223,5.96617,5.94064,6.21299,6.4513
20091105,BMO,20091105,5.54914,5.37041,5.78745,5.77893
20090810,BMO,20090810,3.82142,4.64698,6.6045,4.92784
20090504,BMO,20090504,1.67665,1.80432,1.60857,1.48942
20090219,BMO,20090219,1.33622,1.27664,1.20004,1.19154
20081107,BMO,20081107,4.05973,3.51503,3.24267,3.06394
20080724,BMO,20080724,7.37395,7.66558,7.09065,6.21578
20080424,BMO,20080424,8.28765,8.38144,8.52307,8.50776
20080131,BMO,20080131,7.76883,7.82226,7.76883,7.93482
20071025,BMO,20071025,8.09045,8.06572,8.28824,8.3529
20070724,NaN,20070725,8.88665,8.34652,8.29724,7.81965
20070425,BMO,20070425,8.5492,8.53031,8.21857,8.177
20070130,BMO,20070130,9.87221,9.83075,9.3313,9.20314
20061017,BMO,20061017,9.20322,9.2333,9.12801,9.24834
20060724,BMO,20060724,7.92907,7.85969,8.03781,7.97219
20060425,BMO,20060425,8.14766,8.33279,8.46183,8.56655
20060202,BMO,20060202,9.01923,9.00243,9.37559,9.31775
20051014,BMO,20051014,9.02974,9.08558,9.03719,9.02788
20050719,BMO,20050719,8.8557,8.77584,9.07673,9.33861
20050414,BMO,20050414,9.00148,8.95514,9.58712,9.70202
20050125,BMO,20050125,8.97113,8.85832,8.80099,8.75106
20041014,BMO,20041014,9.03306,9.06074,8.75626,8.68983
20040715,BMO,20040715,9.51492,9.48545,9.72489,9.71844
20040414,BMO,20040414,9.54061,9.48271,9.71065,9.71985
20040122,BMO,20040122,8.52366,8.54843,8.45943,8.62458
20031114,NaN,20031117,8.52727,8.54101,8.46406,8.43109
20031014,BMO,20031014,7.99231,8.0601,8.50803,8.41185
20030714,BMO,20030714,8.06144,8.12911,7.76426,7.73591
20030521,BMO,20030521,7.49525,7.57649,7.72254,7.78188
20030410,BMO,20030410,7.33185,7.24696,7.16572,7.27982
20030401,NaN,20030402,6.91378,6.96946,7.27708,7.21227
20030123,BMO,20030123,7.61158,7.38562,7.55144,7.36466
20021104,BMO,20021104,7.01952,7.09682,7.04862,7.04862
20021010,BMO,20021010,6.0292,5.97919,6.51845,6.84765
20020906,NaN,20020909,6.34203,6.45661,6.4166,6.50754
20020711,BMO,20020711,7.02413,6.81177,6.73827,6.93701
20020419,NaN,20020422,7.35687,7.38041,7.29256,7.24094
20020410,BMO,20020410,7.74631,7.77891,7.90299,7.72186
20020214,NaN,20020215,6.63521,6.70481,6.62075,6.69035
20020123,BMO,20020123,6.20498,6.31073,6.26734,6.35411
20011025,NaN,20011026,5.85755,5.79533,5.78541,5.65737
20011010,NaN,20011011,5.28406,5.49957,5.65196,5.76197
20010712,NaN,20010713,6.21498,6.24287,6.10342,6.15561
20010515,NaN,20010516,5.80521,5.79354,5.86266,6.05027
20010411,NaN,20010412,5.26391,5.25404,5.31418,5.28007
20010129,AMC,20010130,5.6863,5.74899,5.81973,5.75794
20010123,BMO,20010123,5.66951,5.61914,5.75906,5.76466
20001113,AMC,20001114,5.20376,5.17584,5.29868,5.40476
20001010,BMO,20001010,4.63425,4.62308,4.84084,4.77942
20000901,BMO,20000901,4.57842,4.52816,4.4835,4.45
20000712,BMO,20000712,4.31498,4.37066,4.48758,4.54883
20000413,AMC,20000414,4.28543,4.22991,4.04673,4.06893
20000411,BMO,20000411,4.27432,4.13,4.22436,4.28543
20000202,AMC,20000203,4.26053,4.21626,4.20519,4.1886
20000124,NaN,20000125,4.32692,4.29926,4.19966,4.24946
19991011,NaN,19991012,4.50723,4.37482,4.24794,4.08243
19990712,BMO,19990712,4.32919,4.3787,4.47221,4.45021
