EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150421,BMO,20150421,48.9,49.38,49.17,49.57
20150122,BMO,20150122,47.64217,47.71139,47.26641,46.62367
20141021,BMO,20141021,46.97763,47.37831,47.58354,47.21217
20140722,BMO,20140722,49.04765,48.99933,49.26993,49.20228
20140424,BMO,20140424,45.81919,45.35068,44.25109,43.926
20140121,BMO,20140121,45.89137,45.72115,45.1065,44.75662
20131017,BMO,20131017,43.33064,44.20062,45.74414,46.7825
20130718,BMO,20130718,46.50793,46.93343,46.22119,46.20269
20130418,BMO,20130418,46.20586,45.36343,46.61793,47.84496
20130122,BMO,20130122,38.17726,38.54879,38.91126,38.77534
20121018,BMO,20121018,39.484,40.05727,41.00674,40.45139
20120719,BMO,20120719,40.45357,40.65734,39.46128,39.41698
20120419,BMO,20120419,33.06423,32.99414,33.42343,33.93157
20120124,BMO,20120124,33.69717,33.20429,32.67683,32.59036
20111021,BMO,20111021,31.62559,31.66827,31.94142,31.52316
20110722,BMO,20110722,31.4269,31.62894,30.93019,30.49242
20110421,BMO,20110421,30.9466,31.40365,30.67236,30.73885
20110125,BMO,20110125,28.67431,28.91224,29.36348,29.86395
20101022,BMO,20101022,26.43218,26.33501,25.98679,26.19734
20100723,BMO,20100723,21.16396,21.54701,22.36101,22.5685
20100422,BMO,20100422,21.87679,21.72977,21.52394,21.35487
20100126,BMO,20100126,21.9636,22.20973,21.84053,21.62336
20091026,BMO,20091026,20.70873,20.58741,20.43755,20.83717
20090727,BMO,20090727,21.96301,22.12455,21.77337,22.05431
20090427,BMO,20090427,21.43545,21.43545,21.11738,21.40779
20090127,BMO,20090127,20.7551,21.13011,20.42781,21.08238
20081027,BMO,20081027,17.63388,16.85433,18.55455,21.26952
20080728,BMO,20080728,23.20581,22.78256,22.22043,22.57093
20080512,NaN,20080513,24.76646,24.86446,24.89712,25.44589
20080428,BMO,20080428,23.75385,24.19809,24.79259,24.96245
20080314,NaN,20080317,22.28571,21.73934,22.24715,22.68425
20080128,NaN,20080129,24.27195,24.49693,24.88261,24.58049
20071109,NaN,20071112,27.1942,27.21965,27.23874,27.73515
20071029,BMO,20071029,28.58159,29.02071,29.26892,28.86797
20070809,NaN,20070810,27.22672,26.42612,26.05419,26.25591
20070730,NaN,20070731,26.47655,26.16766,26.86739,27.25824
20070503,AMC,20070504,24.72276,25.6405,25.38453,25.49067
20070430,BMO,20070430,23.70513,23.65519,23.83624,24.04226
20070305,NaN,20070306,22.5323,22.31612,22.5323,22.03817
20070129,BMO,20070129,23.16232,23.36615,23.48968,23.8294
20061106,AMC,20061107,21.6007,21.7655,21.70075,21.69487
20061030,BMO,20061030,22.80138,22.86024,22.15984,21.77726
20060810,NaN,20060811,19.69826,19.7623,19.838,19.75066
20060801,BMO,20060801,19.64003,19.69244,19.37218,19.52357
20060508,AMC,20060509,18.99271,18.93519,18.89492,18.60158
20060502,NaN,20060503,18.86041,18.77413,18.77413,18.86617
20060221,NaN,20060222,19.76979,19.52536,19.32073,19.28094
20060126,BMO,20060126,17.55861,17.83714,18.00767,18.26914
20051107,NaN,20051108,17.3394,17.143,17.20473,17.31134
20051027,NaN,20051028,17.16544,17.26084,17.78831,17.6817
20050801,AMC,20050802,18.96657,18.82805,18.77263,18.96102
20050726,BMO,20050726,18.93332,18.85021,18.91116,19.00535
20050509,AMC,20050510,18.92732,18.91637,18.80136,18.82874
20050427,BMO,20050427,18.65349,18.62063,19.28878,19.19568
20050222,AMC,20050223,19.11912,19.15702,19.24907,19.222
20050127,BMO,20050127,19.49273,19.77429,19.42234,19.31946
20041112,AMC,20041115,22.32969,22.64072,22.44766,22.3136
20041028,NaN,20041029,21.12847,21.11775,20.9676,21.4395
20040809,AMC,20040810,20.37313,20.36782,20.76625,20.93094
20040727,BMO,20040727,18.76347,19.39033,20.11282,20.55907
20040510,AMC,20040511,19.33047,19.10448,19.00462,19.06769
20040427,BMO,20040427,19.72991,19.83502,19.70888,19.79298
20040224,AMC,20040225,19.25245,19.81426,19.77784,19.9443
20040129,BMO,20040129,19.28886,19.1224,19.29406,19.17442
20031113,AMC,20031114,16.69894,16.43641,16.78645,16.85337
20031028,BMO,20031028,17.11075,17.10561,17.02839,16.8894
20030804,AMC,20030805,17.49419,18.23711,17.83512,18.34397
20030729,BMO,20030729,17.83003,18.30835,18.01322,17.92671
20030512,AMC,20030513,18.67662,18.89836,18.84293,18.85805
20030422,BMO,20030422,16.94805,16.71623,17.12948,18.15755
20030224,AMC,20030225,17.76555,17.67084,17.74063,17.43656
20030129,BMO,20030129,17.67084,17.96993,18.76748,18.52822
20021112,AMC,20021113,18.53267,18.96251,18.62654,18.92298
20021025,BMO,20021025,18.14729,18.22634,18.06824,18.58207
20020805,AMC,20020806,15.61269,14.71928,14.58259,14.38731
20020731,NaN,20020801,14.74369,16.11066,15.31001,15.61269
20020506,AMC,20020507,19.50392,19.27191,19.10273,19.98246
20020423,BMO,20020423,20.30149,19.33475,19.40242,19.76978
20020225,AMC,20020226,21.71009,22.37625,22.52961,22.59191
20020131,BMO,20020131,22.43855,21.99764,22.21331,22.33312
20011105,AMC,20011106,24.4212,24.34986,23.99317,23.70783
20011030,BMO,20011030,24.06927,23.86952,23.44625,23.6888
20010806,AMC,20010807,25.35044,25.15682,25.29849,25.05292
20010731,NaN,20010801,26.45551,25.5724,26.32328,25.73768
20010507,AMC,20010508,26.16374,26.64668,26.06996,25.23534
20010424,AMC,20010425,24.80866,24.76177,25.87303,26.01838
20010220,AMC,20010221,24.43426,23.93646,22.79663,22.79663
20010201,BMO,20010201,25.07163,25.56479,25.58805,24.19233
20001106,AMC,20001107,26.33141,25.66735,25.37862,25.43637
20001030,BMO,20001030,23.55968,24.51246,25.58073,26.70675
20000808,BMO,20000808,21.51413,21.94384,19.48017,18.50617
20000807,AMC,20000808,21.51413,21.94384,19.48017,18.50617
20000501,AMC,20000502,27.26948,26.36049,24.99702,25.19586
20000425,BMO,20000425,27.3831,28.15005,28.60455,27.95121
20000222,AMC,20000223,23.43309,23.60248,22.69904,21.68266
20000124,BMO,20000124,26.11519,27.13156,27.15979,26.42574
19991027,NaN,19991028,27.85492,28.21959,29.00502,29.14528
19991020,NaN,19991021,28.69646,28.64036,28.47205,28.27569
19990726,AMC,19990727,29.19722,28.86258,28.69526,29.08568
19990721,BMO,19990721,29.45517,29.08568,29.22511,29.08568
19990422,BMO,19990422,25.22004,25.94061,25.66347,26.32861
