EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150427,AMC,20150428,94.26,93.61,93.96,92.05
20150202,AMC,20150203,96.78038,96.2147,96.28417,95.46047
20141103,BMO,20141103,81.18961,81.69157,82.46912,82.05574
20140728,AMC,20140729,76.8714,77.271,76.51077,76.49128
20140505,AMC,20140506,71.7412,71.69292,72.10811,72.195
20140203,AMC,20140204,67.05149,66.44914,67.07061,67.1471
20131028,AMC,20131029,64.1821,63.51994,63.23616,63.00913
20130729,AMC,20130730,65.17157,64.33844,64.92818,64.12313
20130429,AMC,20130430,65.36238,66.23325,67.41913,67.28943
20130208,NaN,20130211,66.57722,66.71503,66.81608,66.8712
20121026,AMC,20121031,64.78957,63.85099,64.17904,63.48649
20120730,AMC,20120731,65.59086,65.59086,66.47747,65.82609
20120501,AMC,20120502,67.283,67.92961,67.91165,67.30096
20120207,AMC,20120208,66.29468,65.71486,64.89421,64.67121
20111025,AMC,20111026,62.55244,60.94921,58.61966,60.02801
20110727,AMC,20110728,73.92697,72.19526,72.12495,72.08099
20110504,AMC,20110505,71.23868,70.05021,68.78308,66.22261
20110202,AMC,20110203,67.41113,66.87254,66.82041,65.71716
20101103,BMO,20101103,63.49287,64.58073,63.95909,63.94182
20100729,BMO,20100729,61.93047,61.36349,60.07488,60.6075
20100429,BMO,20100429,61.66979,61.55014,63.16539,60.51604
20100211,BMO,20100211,48.67769,48.75422,48.3716,49.63849
20091105,BMO,20091105,46.17344,45.97045,47.81434,47.67901
20090806,BMO,20090806,36.89761,38.81393,40.04105,42.37761
20090507,BMO,20090507,30.57247,31.57934,28.80835,30.61407
