EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,AMC,20150429,70.4,71.16,68.06,66.02
20150225,AMC,20150226,65.72205,66.36941,68.58039,68.55052
20141029,AMC,20141030,61.14037,61.13046,62.38004,66.63458
20140729,AMC,20140730,53.7946,53.6269,58.58906,57.72093
20140429,AMC,20140430,60.54414,60.122,58.08978,56.10666
20140225,AMC,20140226,60.43221,60.53976,63.54132,62.96448
20131104,AMC,20131105,52.66254,53.83996,51.32944,53.27558
20130730,AMC,20130731,51.03998,50.97222,49.36542,49.74292
20130429,AMC,20130430,47.97021,48.51916,48.89475,47.79686
20130221,AMC,20130222,43.09559,42.48241,46.59268,45.8262
20121029,AMC,20121031,37.22225,37.04147,39.4297,39.49631
20120801,AMC,20120802,33.06889,32.96484,34.95124,37.23088
20120502,AMC,20120503,31.35193,31.58681,37.30852,37.36489
20120301,AMC,20120302,35.78415,35.16783,32.70253,33.30018
20111102,AMC,20111103,32.66921,33.99677,39.44628,38.96353
20110802,AMC,20110803,34.5604,33.01168,32.14513,29.63768
20110503,AMC,20110504,34.60616,34.66115,34.62449,34.89027
20110301,AMC,20110302,35.51591,34.11313,30.25092,30.04141
20101028,AMC,20101029,44.44107,44.56787,38.27348,37.12329
20100805,AMC,20100806,42.73916,43.44246,41.4678,43.60476
20100506,AMC,20100507,48.5887,47.30556,41.41929,41.38339
20100304,AMC,20100305,41.51678,41.08795,39.48874,38.72934
20091029,AMC,20091030,39.79601,40.0631,40.81094,41.20267
20090730,AMC,20090731,36.73779,37.16353,37.19014,37.75779
20090429,AMC,20090430,20.86536,20.95366,19.49671,19.94704
20090304,AMC,20090305,17.38025,17.42401,14.00222,13.50339
20081105,AMC,20081106,21.26696,19.23408,18.83446,19.53815
20080731,AMC,20080801,27.35515,26.40562,28.91756,27.9335
20080505,AMC,20080506,28.31206,28.43224,23.65061,23.6592
20080228,AMC,20080229,26.66753,25.58237,26.27448,27.66724
20071101,AMC,20071102,30.53356,26.54575,29.87884,28.73947
20070730,AMC,20070731,20.37608,21.19722,24.70187,25.10821
20070321,NaN,20070322,21.77647,21.91891,22.17027,22.12
20061031,AMC,20061101,16.3432,16.1264,18.42779,19.06984
20060803,AMC,20060804,15.30764,15.29109,15.67171,15.8041
20060501,AMC,20060502,19.03639,19.48063,21.74295,23.48699
20060307,BMO,20060307,12.92902,13.05994,13.18432,13.02721
20051102,AMC,20051103,10.74055,10.7113,10.85429,11.72849
20050728,BMO,20050728,9.50629,9.77358,10.22764,10.30493
20040312,BMO,20040312,9.41247,9.47055,9.62646,9.77625
