EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150505,AMC,20150506,137.08,134.69,142.99001,141.87
20150226,AMC,20150227,117.93,119.0,127.18,132.47
20141104,AMC,20141105,113.41,111.8,111.22,111.1
20140805,AMC,20140806,115.53,116.18,121.28,120.09
20140506,AMC,20140507,125.0,124.19,120.94,121.21
20140227,AMC,20140228,131.85001,130.97,129.72,127.93
20131107,AMC,20131108,122.68,123.61,121.63,121.14
20130806,AMC,20130807,123.59,123.4,120.5,119.81
20130507,AMC,20130508,119.57,111.66,118.37,118.0
20130226,AMC,20130227,117.3,117.3,123.55,123.2
20121106,AMC,20121107,102.79,103.25,103.07,101.51
20120807,AMC,20120808,96.79,98.25,103.83,103.9
20120501,AMC,20120502,107.99,108.15,105.77,105.11
20120223,AMC,20120224,102.04,104.33,101.11,102.14
20111101,AMC,20111102,99.55,95.19,95.91,98.77
20110802,AMC,20110803,107.69,103.65,102.08,100.6
20110503,AMC,20110504,125.02,126.2,123.74,122.8
20110224,AMC,20110225,108.91,109.6,113.47,114.16
20101102,AMC,20101103,90.46,92.53,94.08,97.12
20100803,AMC,20100804,91.4,90.6,91.51,90.85
20100504,AMC,20100505,113.63,111.81,103.65,98.0
20100224,AMC,20100225,96.94,97.97,94.71,93.39
20091103,AMC,20091104,89.26,90.75,94.61,97.53
20090804,AMC,20090805,76.87,77.87,84.2,82.86
20090505,AMC,20090506,72.6,73.67,75.4,74.2
