EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,BMO,20150428,30.14243,29.82304,28.85489,30.81116
20150130,BMO,20150130,29.67538,29.14742,28.83861,30.14357
20141028,BMO,20141028,34.49112,34.04357,35.41605,35.81387
20140729,BMO,20140729,39.7286,39.6591,40.03642,39.58959
20140429,BMO,20140429,42.53711,41.59514,43.55839,44.13348
20140131,BMO,20140131,37.17083,37.5173,36.97285,36.5076
20131031,BMO,20131031,37.22733,36.33955,36.00417,36.14227
20130725,BMO,20130725,28.73688,27.80354,29.95512,30.80004
20130425,BMO,20130425,31.48256,32.65729,32.29508,31.83498
20130131,BMO,20130131,31.14973,30.49384,30.67984,30.76794
20121025,BMO,20121025,34.59132,33.65826,33.45415,34.20254
20120726,BMO,20120726,28.52661,26.96815,27.54895,28.46854
20120426,BMO,20120426,32.35706,33.31187,32.02915,31.518
20120126,BMO,20120126,33.34607,34.48035,34.73989,35.0475
20111027,BMO,20111027,39.0699,39.29995,43.35456,44.81153
20110728,BMO,20110728,51.10097,50.59417,51.12966,51.25396
20110428,BMO,20110428,48.66022,48.66022,50.66426,51.61857
20110127,NaN,20110128,49.06705,46.14322,45.64798,47.33371
20101029,BMO,20101029,36.32037,36.50088,34.9238,35.06631
20100729,BMO,20100729,36.31068,36.58547,34.84195,35.51472
20100429,BMO,20100429,40.9677,41.6861,42.49902,42.23435
20100128,BMO,20100128,47.16829,47.18716,46.53636,43.96149
20091022,BMO,20091022,47.76384,48.06496,46.10773,44.62099
20090730,BMO,20090730,32.47999,31.4383,32.14214,33.34337
20090423,BMO,20090423,23.89156,24.22832,27.29662,28.49401
20090129,NaN,20090130,26.97915,26.69015,25.41298,25.0494
20081023,NaN,20081024,25.8617,24.44921,23.78942,20.34181
20080731,BMO,20080731,75.61647,82.11114,69.01975,62.95187
20080424,BMO,20080424,78.76547,75.77238,72.53837,74.87353
20080129,BMO,20080129,67.56668,70.48183,67.55742,65.41965
20071025,BMO,20071025,45.74511,46.22547,49.57875,52.95051
20070726,NaN,20070727,38.54395,37.17924,37.78783,38.40564
20070426,NaN,20070427,39.61326,38.98726,38.76632,38.54537
20070125,NaN,20070126,31.26689,30.93612,31.37715,30.61454
20061026,BMO,20061026,33.3355,33.91326,34.38097,34.4635
20060727,BMO,20060727,36.90236,36.19746,34.1102,35.00735
20060427,BMO,20060427,39.23458,39.24372,37.98237,38.91924
20060126,NaN,20060127,32.90833,32.7122,32.90377,33.15919
20051027,NaN,20051028,30.98726,28.09743,28.26126,27.71515
20050728,BMO,20050728,30.04334,30.02063,30.89718,30.59289
20050428,BMO,20050428,20.10406,19.60146,19.32073,19.57882
20050127,BMO,20050127,17.79174,17.94068,19.26762,18.82982
20041028,BMO,20041028,16.73904,16.29842,15.72292,15.91625
20040726,BMO,20040726,16.18024,15.99215,14.27695,14.66656
20040422,BMO,20040422,12.41246,12.33669,12.92054,13.35286
20040128,BMO,20040128,11.49795,11.50238,10.18694,9.86804
20031028,BMO,20031028,9.49217,9.38655,9.31174,9.43936
20030724,BMO,20030724,8.8925,8.7309,8.48631,8.78768
20030424,BMO,20030424,7.47951,7.44918,7.43184,7.38418
20030128,NaN,20030129,6.33868,6.76383,6.69941,6.74236
20021024,BMO,20021024,5.26553,5.28677,5.35046,5.63497
20020724,NaN,20020725,4.70494,4.78896,4.76796,5.23005
20020425,BMO,20020425,10.63589,10.42002,10.38265,10.41171
20020124,NaN,20020125,8.89526,9.17798,9.21895,9.21075
20011023,NaN,20011024,10.82255,10.94415,10.73743,10.75364
20010726,BMO,20010726,7.93105,8.41172,10.01395,9.4051
20010426,BMO,20010426,15.90029,16.3297,16.36151,15.80089
20010125,BMO,20010125,10.56149,11.15234,10.93077,10.8323
20001024,BMO,20001024,7.36771,7.39195,7.31924,7.29501
20000727,BMO,20000727,6.15822,6.13436,6.06275,6.30144
20000426,BMO,20000426,3.88961,3.9129,3.81974,3.77315
20000125,NaN,20000126,4.32096,4.27548,3.93435,4.18451
19991027,BMO,19991027,4.59657,4.21908,4.61878,4.08584
