EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150430,AMC,20150501,13.24,12.66,12.57,12.84
20150129,AMC,20150130,13.59,13.26,12.15,12.48
20141029,AMC,20141030,12.47,12.43,12.97,13.46
20140812,AMC,20140813,11.97,11.91,10.9,10.94
20140430,AMC,20140501,12.87,12.67,10.87,10.96
20140130,AMC,20140131,12.05,12.72,13.29,12.77
20131030,AMC,20131031,15.18,14.75,13.09,13.0
20130813,AMC,20130814,14.8,14.8,14.23,13.45
20130501,AMC,20130502,13.5,12.52,13.0,13.32
20130130,AMC,20130131,13.06,12.4,14.51,14.78
20120814,AMC,20120815,11.06,10.68,11.56,11.84
20120502,AMC,20120503,12.28,12.04,11.59,11.09
20120201,AMC,20120202,12.69,13.13,12.19,12.39
20111101,AMC,20111102,12.0,11.48,12.46,12.43
20110817,AMC,20110818,11.91,11.7,10.21,9.88
20110504,AMC,20110505,20.27,20.0,21.38,21.55
20110203,AMC,20110204,17.92,17.93,22.76,22.64
20101104,AMC,20101105,10.94,11.12,11.4,11.96
20100825,AMC,20100826,10.07,10.22,9.74,9.97
20100505,AMC,20100506,13.59,13.7,10.94,10.45
20100202,AMC,20100203,8.16,8.37,8.71,8.04
20091105,AMC,20091106,5.78,6.07,6.46,6.94
20090819,AMC,20090820,5.81,5.79,6.26,6.52
20090429,AMC,20090430,5.19,5.57,4.61,4.76
20090205,NaN,20090206,4.04,4.11,3.84,3.7
20081029,AMC,20081030,6.1,6.0,5.49,5.46
20080820,AMC,20080821,11.58,11.9,10.42,10.15
20080430,AMC,20080501,14.58,14.31,12.0,11.79
20080205,AMC,20080206,10.47,10.16,12.8,12.12
20071031,AMC,20071101,15.19,15.26,14.66,14.5
20070822,AMC,20070823,13.75,14.36,13.64,14.08
20070502,AMC,20070503,16.22,16.64,14.33,14.0
20070131,NaN,20070201,17.29,17.78,16.7,16.49
20061102,AMC,20061103,14.04,14.28,16.58,16.9
20060830,AMC,20060831,21.12,21.04,18.16,18.16
20060503,AMC,20060504,28.16,29.12,27.12,27.12
20060201,AMC,20060202,24.96,25.28,24.48,23.6
20051109,AMC,20051110,17.92,18.72,17.92,18.32
20050901,AMC,20050902,12.64,12.32,12.24,12.4
20050427,AMC,20050428,12.56,13.2,11.92,11.84
20050126,AMC,20050127,19.12,19.6,17.92,17.52
20041027,AMC,20041028,27.12,28.08,25.12,25.36
20040728,NaN,20040729,24.24,24.0,27.52,27.6
20040428,AMC,20040429,32.24,30.88,26.0,24.24
20040128,AMC,20040129,40.24,40.32,39.52,40.8
20031023,AMC,20031024,29.92,30.24,28.8,28.64
20030814,NaN,20030815,23.92,24.4,24.32,24.72
20030724,AMC,20030725,25.76,25.2,22.8,23.28
20030630,AMC,20030701,27.68,28.0,28.08,29.2
20030429,AMC,20030430,25.28,26.56,25.84,25.28
20030214,NaN,20030218,21.84,22.48,24.0,23.28
20030123,AMC,20030124,21.76,22.64,21.44,20.24
20021030,BMO,20021030,18.24,16.48,18.0,18.0
20021024,AMC,20021025,18.56,19.36,17.6,18.24
20020731,AMC,20020801,20.0,20.24,18.32,19.04
20020725,AMC,20020726,24.08,20.24,17.12,16.96
20020529,BMO,20020529,31.28,31.92,30.16,29.6
20020425,AMC,20020426,40.16,40.24,36.24,33.76
20020130,NaN,20020131,55.68,55.84,56.0,55.92
20020124,AMC,20020125,62.88,63.12,57.28,58.96
20011030,NaN,20011031,66.64,62.32,63.92,67.36
20011025,AMC,20011026,72.56,79.68,70.16,66.64
20010801,AMC,20010802,73.92,77.12,76.0,73.04
20010726,AMC,20010727,70.32,75.76,68.4,70.16
20010514,BMO,20010514,170.08,165.52,161.12,158.72
20010424,BMO,20010424,228.24001,193.44,166.56,162.32001
20010214,BMO,20010214,325.0,308.0,330.0,361.0
20010125,AMC,20010126,504.5,441.5,477.0,458.5
20001114,BMO,20001114,548.5,544.0,605.0,600.5
20001026,AMC,20001027,568.0,595.5,618.0,570.5
20000726,AMC,20000727,1041.5,1087.5,1029.0,930.0
20000425,AMC,20000426,642.5,746.5,736.0,782.0
20000126,AMC,20000127,928.0,867.0,848.25,783.5
19991028,AMC,19991029,291.125,304.875,333.75,335.625
19990726,AMC,19990727,157.0625,158.125,165.25,176.0
19990426,AMC,19990427,120.875,121.375,117.875,112.875
