EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150423,AMC,20150424,42.71242,43.06016,47.5609,47.71987
20150126,AMC,20150127,46.54412,46.37641,42.08504,40.63485
20141023,AMC,20141024,43.50745,44.13487,45.22304,45.00737
20140722,AMC,20140723,43.68555,43.67581,43.71478,43.25688
20140424,AMC,20140425,38.39726,38.56173,38.6101,39.53883
20140123,AMC,20140124,34.50102,34.62585,35.34602,34.59704
20131024,AMC,20131025,32.17332,32.1352,34.05073,33.89825
20130718,AMC,20130719,33.82194,33.53803,29.71485,30.29211
20130418,AMC,20130419,27.0928,27.05521,27.97615,28.97228
20130124,AMC,20130125,25.73326,25.75189,25.9849,26.01286
20121018,AMC,20121019,27.35389,27.2707,26.47569,25.88405
20120719,AMC,20120720,27.96365,28.16569,27.6606,26.88919
20120419,AMC,20120420,28.41089,28.29228,29.57871,29.305
20120119,AMC,20120120,25.58747,25.48777,26.92893,26.94706
20111020,AMC,20111021,24.40665,24.32569,24.43364,24.46063
20110721,AMC,20110722,24.191,24.22676,24.61117,24.95088
20110428,AMC,20110429,23.42952,23.72261,23.02097,22.79005
20110127,AMC,20110128,25.4109,25.49036,24.50147,24.48381
20101028,AMC,20101029,22.86002,23.06186,23.4041,23.64981
20100722,AMC,20100723,21.92694,22.55542,22.52923,22.78237
20100422,AMC,20100423,27.22472,27.27686,26.9032,27.03355
20100128,AMC,20100129,25.66224,25.22113,24.3735,24.57243
20091023,BMO,20091023,22.88845,22.89706,24.12846,24.6968
20090723,AMC,20090724,21.23626,21.88705,20.08025,19.78911
