EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150501,BMO,20150501,49.53,48.16,53.75,53.9
20150210,BMO,20150210,42.54696,42.45728,44.48,45.91484
20141103,BMO,20141103,28.91366,29.39804,29.21174,30.57173
20140801,BMO,20140801,29.82332,29.53637,28.86993,28.21275
20140502,BMO,20140502,29.50157,28.88504,29.6212,28.56297
20140210,BMO,20140210,29.27563,29.64157,29.11095,24.99407
20131101,BMO,20131101,34.77061,35.20763,32.43072,32.14847
20130801,BMO,20130801,30.15857,29.95027,30.20386,30.35782
20130429,BMO,20130429,24.76736,24.76736,24.83041,24.88445
20130208,BMO,20130208,30.25182,30.60099,25.51574,25.66794
20121101,BMO,20121101,23.02989,23.24354,25.1486,24.89934
20120731,BMO,20120731,24.25712,24.0538,23.19632,21.98523
20120430,BMO,20120430,25.27884,25.7442,23.94422,23.71593
20120214,BMO,20120214,26.29881,26.13286,26.84033,27.11109
20111101,BMO,20111101,23.17911,22.37205,22.16377,21.96418
20110801,BMO,20110801,25.55723,25.18658,25.18658,23.58333
20110502,BMO,20110502,25.9722,25.98077,27.34457,27.62762
20110214,BMO,20110214,25.20916,25.3201,25.36277,24.75686
20101101,BMO,20101101,22.1715,22.26495,21.89967,23.70057
20100802,BMO,20100802,21.97908,22.00441,21.99597,21.29514
20100503,BMO,20100503,19.03873,18.59362,23.08666,22.75073
20100211,BMO,20100211,19.03075,19.04742,14.32933,13.89587
20091102,BMO,20091102,20.76193,20.57131,20.2232,20.45527
20090803,BMO,20090803,21.12269,20.66099,21.35354,20.61153
20090504,BMO,20090504,21.85828,21.65331,24.91647,22.85035
20090209,BMO,20090209,18.17473,19.2745,16.70023,16.60247
20081103,BMO,20081103,14.55078,16.13256,15.91466,16.00344
20081017,BMO,20081017,14.25218,14.5992,14.97851,15.48694
20080801,BMO,20080801,22.95407,23.05848,23.48415,22.41596
20080501,BMO,20080501,20.66898,20.94894,24.93236,24.19647
20080207,BMO,20080207,23.00289,22.38162,19.59388,19.51423
20071101,BMO,20071101,31.57798,31.65737,29.49819,29.60138
20070801,BMO,20070801,26.16695,25.87418,28.96009,29.09461
20070501,BMO,20070501,26.84419,26.18156,26.89941,27.19917
20070212,BMO,20070212,34.22387,33.87785,26.46216,27.18564
20061101,BMO,20061101,27.04991,27.03421,30.91867,30.80095
20060801,BMO,20060801,24.93639,24.74072,28.50544,29.25682
20060502,BMO,20060502,45.08995,45.3398,36.89178,34.4089
20060216,BMO,20060216,31.04202,32.28121,36.86386,37.33927
20051101,BMO,20051101,32.12686,32.92828,34.99019,36.56191
20050801,BMO,20050801,20.43173,19.88036,24.85045,25.30863
20050502,BMO,20050502,10.89151,10.58187,13.36861,13.49246
20050216,BMO,20050216,10.76427,10.57948,12.47362,10.77967
20041101,BMO,20041101,8.89323,8.81623,9.08573,9.28592
20040802,BMO,20040802,10.15599,10.24069,8.89323,8.51594
20040503,BMO,20040503,13.55159,13.47459,12.66612,11.93464
20040209,BMO,20040209,12.39663,12.60452,13.0896,11.47265
20031103,BMO,20031103,8.55444,8.91633,10.22529,10.58718
20030801,BMO,20030801,9.25512,9.7864,9.55541,8.94713
20030501,BMO,20030501,4.68146,4.92015,5.37444,5.50533
20030220,BMO,20030220,4.41197,4.52746,4.96635,5.19734
20021104,BMO,20021104,4.68146,5.59003,4.87395,4.42737
20020801,BMO,20020801,6.15981,5.77483,3.2339,2.40233
20020501,BMO,20020501,17.90966,17.67097,14.43706,11.12616
20020219,BMO,20020219,17.32448,17.32448,17.63247,17.78646
20011105,BMO,20011105,16.85479,16.67,21.01267,20.0194
20010801,BMO,20010801,17.36297,19.38801,21.02036,22.82981
20010502,BMO,20010502,18.56414,18.97993,20.0271,19.51891
20010220,BMO,20010220,19.7884,18.55644,16.86249,15.96932
20001101,BMO,20001101,23.2148,27.18788,23.59209,25.03194
20000801,BMO,20000801,19.89909,20.50063,24.03771,26.5642
20000501,BMO,20000501,15.35141,15.49578,17.90196,18.07039
20000215,BMO,20000215,9.02316,9.14347,10.68343,10.97217
19991103,BMO,19991103,5.87107,6.06357,6.32825,6.30418
19990803,BMO,19990803,6.06357,6.06357,6.232,6.15981
