EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20141103,NaN,20141104,60.19197,60.11477,60.67443,56.58315
20140311,NaN,20140312,52.07797,51.19258,50.69337,50.39196
20130311,AMC,20130312,42.9116,42.30797,41.50614,42.79448
20121107,NaN,20121108,39.43018,38.42073,37.93795,38.38562
20120808,NaN,20120809,39.20076,39.35673,39.00146,38.76751
20120801,NaN,20120802,36.72255,36.43661,38.4729,38.95814
20120509,NaN,20120510,36.29742,35.90373,36.15193,35.91228
20120503,AMC,20120504,34.30325,34.23478,35.06497,35.69831
20120308,AMC,20120309,35.62129,35.73255,35.9294,35.44155
20111108,NaN,20111109,35.59103,36.25956,34.54645,34.97264
20111102,AMC,20111103,34.0534,34.99771,35.87516,35.3069
20110810,NaN,20110811,33.12633,31.02241,32.40852,32.21876
20110803,AMC,20110804,33.14283,33.33259,32.51578,32.39202
20110511,NaN,20110512,36.91933,36.71535,37.59652,36.77247
20110504,AMC,20110505,38.03711,37.74338,36.78878,36.88669
20110309,AMC,20110310,38.96723,38.63271,37.36807,37.37623
20101108,NaN,20101109,38.27307,38.08139,37.68204,38.12931
20101102,AMC,20101103,36.99517,37.54627,37.39452,38.31301
20100810,NaN,20100811,33.22057,32.92861,32.33679,32.79447
20100804,AMC,20100805,31.14527,31.54771,32.86548,32.39203
20100511,NaN,20100512,28.99924,29.2879,29.91985,29.62338
20100505,AMC,20100506,29.13187,29.01484,28.88221,28.23466
20100309,AMC,20100310,30.583,30.25532,29.62338,29.40493
20091109,NaN,20091110,26.84402,27.40121,27.03484,27.12644
20091102,AMC,20091103,25.54648,25.50068,26.46239,25.96627
20090810,NaN,20090811,24.78524,25.03408,24.77016,24.64951
20090804,AMC,20090805,24.83802,24.86819,24.80032,24.4233
20090505,AMC,20090506,25.58977,24.66681,24.39141,23.98948
20090309,NaN,20090310,21.70441,21.33225,22.11379,21.1685
20081103,AMC,20081104,27.60086,28.08763,27.18673,26.04608
20080804,AMC,20080805,30.95015,30.97175,31.66993,30.8062
20080506,AMC,20080507,26.05345,25.82554,26.43094,26.46655
20080310,NaN,20080311,25.45518,25.49791,23.63898,23.94524
20071105,AMC,20071106,24.48924,24.33584,25.13076,25.36784
20070803,AMC,20070806,22.88415,21.71273,24.31053,23.94532
20070507,AMC,20070508,27.92035,28.1053,29.86573,29.42734
20061103,AMC,20061106,32.95526,33.04339,34.47387,34.78573
20060804,NaN,20060807,37.4113,37.0942,37.80262,37.2089
20060505,AMC,20060508,31.01283,30.8784,31.12037,31.90006
20060310,NaN,20060313,28.16293,28.80146,29.57443,30.65659
20051103,NaN,20051104,23.67477,24.95413,25.23399,26.38674
20050805,NaN,20050808,22.5396,22.02251,22.48656,22.99039
20050505,AMC,20050506,19.86037,20.25665,20.30288,20.50763
20050310,NaN,20050311,24.99883,24.32515,23.60524,24.13361
20041104,NaN,20041105,15.23956,15.55418,15.71805,16.32763
20040804,NaN,20040805,13.0052,13.27899,13.29855,12.90741
