EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20141030,AMC,20141031,10.81091,11.05005,11.49843,11.66781
20140731,AMC,20140801,12.75323,12.58464,13.09041,13.17966
20140501,AMC,20140502,17.59533,17.28907,15.28354,15.64908
20140227,AMC,20140228,22.92672,22.72958,21.93119,21.05394
20131031,AMC,20131101,25.57227,25.67063,27.84427,27.58855
20130805,AMC,20130806,24.41649,24.39685,25.22153,24.89755
20130502,AMC,20130503,27.25497,27.78401,29.35151,29.14577
20130228,BMO,20130228,28.93792,31.43981,30.32568,27.98016
20121109,NaN,20121112,29.73393,30.50358,29.16887,29.76316
20121101,BMO,20121101,34.2252,34.80974,31.96495,30.93225
20120802,BMO,20120802,22.74015,23.52765,24.9957,26.46374
20120503,BMO,20120503,23.81931,25.30681,24.57764,23.58598
20120306,BMO,20120306,15.89737,16.40174,17.0516,18.10884
20111104,BMO,20111104,11.86241,12.74505,12.52197,11.8721
20110804,BMO,20110804,12.88194,12.80469,12.41842,12.51499
20110505,BMO,20110505,8.8165,8.63303,9.44418,9.3283
20110308,BMO,20110308,7.93928,7.68907,8.01627,8.03551
20101103,BMO,20101103,6.87108,7.11167,7.12129,7.11167
20100805,BMO,20100805,8.32929,8.40605,8.12777,8.15656
20100506,BMO,20100506,8.02221,7.8207,8.22373,8.17575
20100308,BMO,20100308,6.86211,6.89086,6.76627,6.99629
20091104,BMO,20091104,7.90676,7.79176,7.02504,7.39881
20090806,BMO,20090806,8.64448,8.63491,8.56789,9.04655
20090507,BMO,20090507,12.02377,12.02377,10.60696,10.1283
20090309,BMO,20090309,11.25469,11.18792,10.61565,11.16885
20081106,BMO,20081106,13.64869,12.66629,12.02725,11.47406
20080807,BMO,20080807,12.12804,12.94673,12.53739,12.98481
20080508,BMO,20080508,16.95451,16.97355,15.82167,15.97398
20080305,BMO,20080305,13.58242,13.78174,14.15191,14.14242
20071107,BMO,20071107,14.36073,15.12005,13.13632,13.75327
20070809,BMO,20070809,12.11083,14.16721,15.1338,14.79265
20070508,BMO,20070508,14.6126,14.68841,14.40412,14.20512
20070308,BMO,20070308,16.30793,16.16612,14.37934,14.07682
20061106,BMO,20061106,13.83102,14.12409,13.82156,13.76484
20060807,BMO,20060807,14.03259,13.74005,12.73975,12.36227
20060508,BMO,20060508,24.77173,25.85697,19.67583,19.32667
20060307,BMO,20060307,19.70755,19.77816,20.08178,20.01823
20051107,BMO,20051107,14.92718,14.6871,15.95104,16.09932
20050808,BMO,20050808,16.42608,16.14409,13.97979,12.81657
20050505,BMO,20050505,12.44998,12.78837,13.11266,12.61918
20050303,NaN,20050304,13.93585,14.23819,14.92373,14.50889
20041103,BMO,20041103,11.41516,11.65774,12.5964,13.18351
20040805,BMO,20040805,10.97371,10.89648,10.92456,10.88945
20040512,BMO,20040512,9.55197,10.233,11.68984,11.84781
20040311,BMO,20040311,8.45354,8.56557,8.75695,8.88765
20031113,BMO,20031113,7.13019,7.15353,7.34958,7.34725
20030812,BMO,20030812,4.95204,5.0848,5.18263,5.1244
20030514,BMO,20030514,4.35574,4.30916,4.30916,3.98306
20030313,BMO,20030313,3.22756,3.18123,3.38971,3.46693
20021028,BMO,20021028,3.61364,3.57194,3.54415,3.55186
20020805,NaN,20020806,3.01172,2.95781,2.98862,3.00402
20020502,BMO,20020502,2.95781,2.95781,3.05024,3.04254
20020315,BMO,20020315,2.29551,2.28518,2.32996,2.28518
20011101,BMO,20011101,1.90623,1.9269,1.94068,1.94642
