EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,NaN,20150429,50.55,48.09,46.83,46.83
20150427,NaN,20150428,48.6,50.55,48.09,46.83
20141104,NaN,20141105,46.77,46.71,46.46,47.57
20140729,NaN,20140730,49.57,48.32,44.01,43.38
20140429,NaN,20140430,56.23,57.1,57.55,57.09
20140220,NaN,20140221,56.15,56.47,56.28,56.82
20131107,NaN,20131108,47.3,47.02,47.1,47.25
20130730,BMO,20130730,47.05,46.98,47.23,47.08
20130430,BMO,20130430,36.09,36.33,37.74,39.43
20130221,BMO,20130221,38.34,37.26,33.51,34.58
20121106,BMO,20121106,31.97491,32.29065,32.52027,31.79313
20121029,BMO,20121029,28.65496,29.10464,28.86545,29.22901
20120731,BMO,20120731,24.28256,23.80418,27.47814,26.55965
20120501,BMO,20120501,23.58892,22.85699,23.24926,23.75635
20120221,BMO,20120221,22.1155,21.91459,22.00069,21.71845
20111025,BMO,20111025,16.54238,17.71441,17.70006,17.86749
20110726,BMO,20110726,19.84798,19.65663,18.53722,17.88184
20110426,BMO,20110426,19.03952,18.92949,18.61855,18.65203
20110222,BMO,20110222,16.63805,16.38451,15.95397,15.59519
20101026,BMO,20101026,16.25535,16.84854,16.55673,16.66197
20100727,BMO,20100727,10.35214,10.91663,10.74441,10.57698
20100427,BMO,20100427,10.04598,10.16557,10.97404,12.06953
20100426,NaN,20100427,10.04598,10.16557,10.97404,12.06953
20100223,BMO,20100223,8.09897,8.32859,8.62041,8.73043
20091030,BMO,20091030,6.08978,6.32897,6.99391,7.08002
20091029,NaN,20091030,6.08978,6.32897,6.99391,7.08002
20090731,BMO,20090731,7.81673,7.85978,7.83108,7.62059
20090730,NaN,20090731,7.81673,7.85978,7.83108,7.62059
20090501,BMO,20090501,5.35786,5.11867,5.53486,5.65445
20090227,BMO,20090227,4.13799,3.87009,3.95142,3.71223
20081031,BMO,20081031,4.39631,4.4298,5.38177,5.8458
20080801,BMO,20080801,5.74056,5.49659,5.73578,5.68315
20080502,BMO,20080502,4.97515,4.89383,4.49199,4.32934
20080222,BMO,20080222,5.45831,5.45831,5.39613,5.1665
20071025,BMO,20071025,6.56816,6.55859,7.03697,6.88389
20070801,NaN,20070802,6.69732,6.93651,6.81691,6.73081
20070503,BMO,20070503,5.87929,5.86015,5.95583,5.86972
20070223,BMO,20070223,5.01821,5.02299,5.74056,5.70707
20061030,BMO,20061030,4.87948,4.87948,4.83164,4.86034
20060802,NaN,20060803,5.2574,4.97515,5.2861,5.2574
20060504,BMO,20060504,4.9895,4.92253,4.92731,4.91775
20060223,BMO,20060223,5.20477,5.26218,5.2861,5.28131
20051028,BMO,20051028,5.04691,5.01342,5.03734,5.31002
20050729,BMO,20050729,6.69732,6.83127,6.05629,6.04194
20050429,BMO,20050429,5.97975,5.97975,5.97975,5.55877
20050225,NaN,20050228,6.01802,6.16871,6.50118,6.55381
20041027,BMO,20041027,5.98693,5.98932,6.53467,6.32179
20040730,BMO,20040730,4.70965,4.68812,4.7838,4.85556
20040430,BMO,20040430,4.44893,4.4298,4.47764,4.51351
20040213,BMO,20040213,3.85096,3.94663,4.39153,4.37
20031027,BMO,20031027,3.29604,3.25059,3.34866,3.35584
20030725,BMO,20030725,2.67175,2.67654,2.93008,3.10947
20030502,BMO,20030502,2.53781,2.48758,2.49236,2.44452
20030214,BMO,20030214,2.15271,2.15032,2.26274,2.27948
20021025,BMO,20021025,2.10487,2.13357,2.18859,2.21012
20020731,BMO,20020731,2.13357,2.1551,2.35602,2.33928
20020503,BMO,20020503,1.92548,1.9494,2.29622,2.34167
20020301,NaN,20020304,1.73413,1.97332,2.09052,1.97332
20011026,BMO,20011026,0.98307,0.99264,1.17442,1.17681
20010727,NaN,20010730,0.77498,0.84195,0.93284,1.02852
20010504,BMO,20010504,0.59319,0.60993,0.62429,0.62429
20010302,BMO,20010302,0.47838,0.49332,0.53818,0.53818
20001027,BMO,20001027,0.55312,0.55312,0.55312,0.48585
20000728,BMO,20000728,0.61292,0.74747,0.68767,0.61292
20000505,BMO,20000505,0.71757,0.70263,0.77737,0.80727
20000303,NaN,20000306,0.83716,0.86706,0.82222,0.77737
