EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150508,BMO,20150508,23.03,23.06,26.13,26.75
20150226,BMO,20150226,18.45,18.64,18.48,16.12
20141106,BMO,20141106,38.25211,37.3097,31.96273,32.21074
20140807,BMO,20140807,35.97604,36.76413,34.57719,34.49839
20140505,BMO,20140505,41.57919,41.68683,38.34992,35.71759
20140213,BMO,20140213,36.93766,36.47108,37.09736,36.17751
20131107,BMO,20131107,42.66245,42.29501,45.92113,48.2225
20130808,NaN,20130809,36.88458,37.18243,36.40419,38.36419
20130503,BMO,20130503,39.64134,38.85825,38.48581,38.00832
20130214,BMO,20130214,40.28324,40.63452,39.57449,39.55539
20130211,BMO,20130211,39.46676,39.96045,40.0364,40.28324
20121108,BMO,20121108,34.96503,33.23092,31.68529,31.6099
20120809,BMO,20120809,31.86224,32.23632,29.61776,29.28109
20120504,BMO,20120504,37.26053,37.01888,36.45194,36.48911
20120216,BMO,20120216,35.24565,34.95009,34.78384,35.45809
20111103,BMO,20111103,28.50432,29.05513,33.21373,33.25963
20110804,BMO,20110804,32.29086,32.00841,30.69636,30.02212
20110505,BMO,20110505,39.96206,39.40011,38.11306,37.30638
20110216,BMO,20110216,37.82302,37.51485,36.66286,36.75349
20101104,BMO,20101104,25.81807,25.9523,26.92775,27.58103
20100805,BMO,20100805,21.84077,22.61194,21.29121,20.83915
20100506,BMO,20100506,24.77015,24.04809,26.75141,26.00294
20100217,BMO,20100217,24.28585,24.59404,24.47076,24.39151
20091105,BMO,20091105,22.68489,22.27748,24.94731,24.24518
20090806,BMO,20090806,25.13651,24.56894,22.98662,24.07877
20090507,BMO,20090507,16.97116,16.52858,20.28198,20.85222
20090217,BMO,20090217,14.554,14.4774,13.71991,13.70289
20081106,BMO,20081106,20.63537,18.87422,17.4869,17.47029
20080807,BMO,20080807,36.4103,36.75762,37.32821,38.34535
20080508,BMO,20080508,41.10247,41.23419,40.22165,39.96645
20080220,BMO,20080220,29.50356,30.47494,33.89946,33.88299
20071108,BMO,20071108,36.38038,34.95513,35.10173,34.87369
20070809,BMO,20070809,24.31138,24.58682,25.11339,25.71287
20070503,BMO,20070503,22.88435,22.69103,24.10872,24.1651
20070215,BMO,20070215,21.21144,21.18743,21.26747,21.21144
20061106,NaN,20061107,16.21658,16.80454,16.73304,17.28127
20060804,BMO,20060804,15.18066,15.33011,14.15813,13.98509
20060512,BMO,20060512,15.82253,17.78671,16.75786,17.24111
20060308,NaN,20060309,13.72788,13.565,13.37886,13.41764
