EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150505,AMC,20150506,5.12,4.94,5.29,5.06
20150218,AMC,20150219,4.91,4.69,4.69,4.87
20141104,AMC,20141105,7.79,7.21,7.45,7.5
20140805,AMC,20140806,13.82,13.43,13.83,13.54
20140429,AMC,20140430,20.18,20.68,21.06,20.77
20140219,AMC,20140220,18.47,18.21,18.1,17.59
20131105,AMC,20131106,22.23,21.2,18.94,18.82
20130806,AMC,20130807,20.38,20.33,21.45,21.1
20130430,AMC,20130501,16.33,16.07,15.38,15.85
20130226,AMC,20130227,13.2,13.13,13.09,13.48
20121106,AMC,20121107,13.78,14.03,13.27,12.26
20120807,AMC,20120808,12.77,12.49,13.04,13.51
20120501,AMC,20120502,10.51,10.94,11.15,10.76
20120221,AMC,20120222,10.37,10.46,11.1,11.74
20111101,AMC,20111102,15.48,14.23,16.01,16.61
20110802,AMC,20110803,11.07,10.88,12.61,12.02
20110503,AMC,20110504,12.58,12.32,12.22,11.92
20110215,AMC,20110216,11.39,11.09,10.85,10.95
20101101,AMC,20101102,12.33,12.18,11.25,11.2
20100803,AMC,20100804,10.63,10.47,10.7,10.39
20100504,AMC,20100505,13.6,13.25,13.09,12.66
20100302,AMC,20100303,14.11,14.54,13.52,13.66
20091105,AMC,20091106,8.3,8.68,9.16,9.71
20090730,AMC,20090731,5.61,5.93,5.92,6.33
20090506,BMO,20090506,4.55,4.73,5.15,5.04
20090306,BMO,20090306,1.1,1.04,1.12,1.61
20081107,BMO,20081107,6.39,5.74,4.25,4.46
20080806,BMO,20080806,18.0,16.84,18.15,20.38
20080509,BMO,20080509,23.89,24.37,23.98,22.76
20080225,BMO,20080225,14.72,14.63,16.79,17.69
20071114,BMO,20071114,8.91,9.48,9.74,9.73
20070905,BMO,20070905,8.61,8.84,8.06,8.14
