EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150421,BMO,20150421,9.59,9.59,9.58,9.73
20150120,BMO,20150120,8.94293,9.02251,8.69424,8.6644
20141021,BMO,20141021,9.00904,9.06844,9.16744,9.16744
20140722,BMO,20140722,10.09681,10.03771,9.94905,9.94905
20140422,BMO,20140422,10.02091,10.07974,10.1876,10.20721
20140121,BMO,20140121,10.2473,10.3353,10.61886,10.77531
20131022,BMO,20131022,9.85449,9.78626,9.43536,9.34764
20130723,BMO,20130723,9.94049,10.12512,10.12512,9.93078
20130423,BMO,20130423,7.58366,7.4868,7.75799,7.96139
20130122,BMO,20130122,7.20674,7.18739,7.50662,7.40988
20121023,BMO,20121023,6.88698,6.83869,6.31709,6.23982
20120724,BMO,20120724,6.18308,6.16378,6.41458,6.66538
20120424,BMO,20120424,5.84565,5.86492,6.21161,6.40422
20120124,BMO,20120124,4.72035,4.72996,5.02799,5.11451
20111025,BMO,20111025,3.62498,3.74006,3.55785,3.68252
20110726,BMO,20110726,5.93048,5.94005,6.14092,5.86353
20110419,BMO,20110419,6.84736,6.66591,6.84736,6.74231
20110125,BMO,20110125,7.05737,6.962,6.69496,6.64728
20101026,NaN,20101027,6.69371,6.17002,6.06528,5.98911
20100727,NaN,20100728,6.74138,6.85548,6.92204,7.02663
20100420,BMO,20100420,7.88086,7.90935,8.35561,8.34612
20100126,BMO,20100126,6.25804,6.21063,5.76498,5.85032
20091020,BMO,20091020,5.51803,5.39499,5.4991,5.40445
20090721,BMO,20090721,3.82634,3.81689,3.23113,3.30671
20090421,BMO,20090421,6.8154,5.4674,5.78791,5.4674
20090120,BMO,20090120,5.60238,5.57483,4.22475,4.54619
20081021,BMO,20081021,9.77978,9.66173,10.25197,9.74345
20080722,BMO,20080722,9.10193,9.36301,10.2633,10.62341
20080415,NaN,20080416,16.23868,17.60357,17.76106,18.97721
20080122,BMO,20080122,16.81987,16.49328,17.30118,18.77088
20071016,BMO,20071016,25.00374,24.64002,24.1325,23.73495
20070717,BMO,20070717,28.46503,28.59879,28.06376,27.80461
20070417,BMO,20070417,28.68776,28.62158,28.31552,28.96902
20070119,BMO,20070119,30.0526,30.47829,29.85612,29.67602
20061017,BMO,20061017,31.22426,31.04753,31.07163,30.80654
20061013,BMO,20061013,30.42096,30.52539,31.22426,31.04753
20060718,BMO,20060718,27.15205,28.17831,28.22604,28.8227
20060714,BMO,20060714,26.03828,25.81553,27.15205,28.17831
20060418,BMO,20060418,27.85602,28.02933,28.24203,28.02145
20060417,BMO,20060417,27.73785,27.85602,28.02933,28.24203
20060120,BMO,20060120,26.98533,27.18805,26.22123,26.15106
20060117,BMO,20060117,26.69684,27.0633,26.806,26.98533
20051018,BMO,20051018,24.6327,24.23155,23.83039,24.40898
20051014,BMO,20051014,22.81206,23.01264,24.6327,24.23155
20050719,BMO,20050719,26.57257,26.16775,26.3969,26.48091
20050715,BMO,20050715,26.84754,26.96975,26.57257,26.16775
20050419,BMO,20050419,24.64523,24.39576,24.41844,24.1614
20050415,BMO,20050415,24.17652,23.88169,24.64523,24.39576
20050118,BMO,20050118,24.98112,25.12328,24.80905,24.87638
20041019,BMO,20041019,25.35718,25.2238,25.30531,25.41646
20041015,BMO,20041015,24.8533,24.66064,25.35718,25.2238
20040716,BMO,20040716,21.91587,22.12836,21.99647,21.99647
20040713,BMO,20040713,22.18698,22.15767,22.12836,21.91587
20040416,BMO,20040416,20.29051,20.07921,20.51941,20.25529
20040413,BMO,20040413,21.0594,20.86571,20.54289,20.29051
20040116,BMO,20040116,21.06641,21.32176,21.29274,21.32176
