EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150521,AMC,20150522,100.68763,101.30614,96.79699,95.3405
20150226,AMC,20150227,98.00397,98.59125,105.31993,105.4991
20141120,AMC,20141121,81.59913,82.64195,88.69038,88.43216
20140821,AMC,20140822,69.20985,68.59571,73.66734,73.12253
20140522,AMC,20140523,67.24045,67.2602,68.00095,67.45773
20140227,AMC,20140228,70.60911,71.21975,71.70237,71.20006
20131121,AMC,20131122,79.90517,78.86361,74.35346,74.19625
20130822,AMC,20130823,66.21897,67.15991,68.47332,67.6892
20130523,AMC,20130524,63.73516,63.61786,64.36078,64.74202
20130321,BMO,20130321,54.21399,54.90804,56.75558,57.87974
20121115,BMO,20121115,55.01666,53.60673,52.93579,52.25513
20120816,BMO,20120816,65.54167,66.47327,66.43445,67.41457
20120517,BMO,20120517,59.23839,60.23571,58.71553,58.7349
20120315,BMO,20120315,55.14264,54.7747,54.56168,54.01945
20111117,BMO,20111117,43.2749,42.32619,41.8735,41.46416
20110818,BMO,20110818,35.04946,34.47803,34.01704,33.62808
20110519,BMO,20110519,38.78899,39.20083,38.68364,38.68843
20110317,BMO,20110317,33.44473,33.11431,33.42558,33.3298
20101118,BMO,20101118,30.27338,31.14486,30.21623,30.50197
20100819,BMO,20100819,23.57875,24.16739,23.86832,23.64521
20100520,BMO,20100520,24.50809,24.48443,24.74475,24.87254
20100318,BMO,20100318,25.65824,25.53991,24.68322,25.59198
20091119,BMO,20091119,21.45015,21.67599,21.10198,20.61266
20090820,BMO,20090820,20.4467,20.95364,21.77977,21.96752
20090521,BMO,20090521,17.18417,16.76287,18.12038,18.24677
20090319,NaN,20090320,15.96241,15.84538,15.88283,16.52882
20081119,NaN,20081120,11.84554,10.92505,10.2742,10.99478
20080820,BMO,20080820,18.0696,17.79132,17.63827,18.03713
20080521,BMO,20080521,16.28746,16.15331,15.78325,16.40311
20080319,BMO,20080319,12.70246,13.08641,12.89212,14.33075
20071120,BMO,20071120,11.95257,11.48826,11.83764,11.96177
20070822,NaN,20070823,12.55703,12.41033,12.17652,12.8046
20070523,NaN,20070524,15.59576,15.52258,14.98748,14.75423
20070321,BMO,20070321,14.85942,15.2436,15.25274,15.71924
20061114,NaN,20061115,14.19657,13.80033,14.18746,14.09637
20060816,BMO,20060816,10.35819,10.72618,10.67621,10.73072
20060517,BMO,20060517,13.08215,13.14108,12.53366,12.4838
20060315,BMO,20060315,12.62886,12.70138,12.78298,12.60619
20051115,BMO,20051115,11.77016,11.86042,11.36849,11.30079
20050817,NaN,20050818,11.49873,11.62034,11.20597,11.18345
20050518,BMO,20050518,11.68129,12.023,12.38271,12.45015
20050316,BMO,20050316,13.42584,13.42584,13.03466,12.86381
20041116,BMO,20041116,12.54187,12.68078,12.28198,12.56876
20040818,BMO,20040818,10.65187,10.78602,9.95874,10.22704
20040519,BMO,20040519,11.63392,11.45088,10.93749,10.95535
20040316,BMO,20040316,12.93749,12.65624,12.90177,13.13392
20031118,BMO,20031118,11.74384,11.71266,11.61691,11.48999
20030820,BMO,20030820,10.71384,10.67381,10.5626,10.765
20030520,BMO,20030520,8.77114,8.73782,8.79779,8.79557
20030319,BMO,20030319,8.20253,8.29582,8.03595,8.44908
20021119,BMO,20021119,9.95646,9.67294,9.49574,9.8147
20020820,BMO,20020820,8.1713,8.35268,8.19784,8.46329
20020522,BMO,20020522,9.23613,8.94446,9.17647,9.23392
20020313,BMO,20020313,8.29705,8.286,8.22413,8.24402
20011120,BMO,20011120,6.26674,6.53336,6.33505,6.28877
20010822,BMO,20010822,6.11254,5.93431,6.19175,6.37878
20010523,BMO,20010523,5.42263,5.34137,5.27109,5.24913
20010314,BMO,20010314,4.62593,4.57102,4.42003,4.4063
20001115,BMO,20001115,3.94956,3.70358,3.71724,3.66257
20000816,BMO,20000816,3.67426,3.61972,3.29933,3.21753
20000517,BMO,20000517,4.99081,4.90921,4.51484,4.52844
20000315,BMO,20000315,3.59691,3.7941,4.12048,4.80042
19991117,BMO,19991117,4.07552,4.11615,3.94013,3.91304
19990818,BMO,19990818,4.59637,4.5423,4.6572,4.60313
