EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150423,BMO,20150423,44.34,44.24,43.05,43.69
20150122,BMO,20150122,36.93121,37.07046,39.20895,38.14468
20141023,BMO,20141023,39.55752,39.27065,38.89476,38.49909
20140717,BMO,20140717,39.03245,38.78646,37.02524,38.40273
20140417,BMO,20140417,35.14776,34.77582,35.17712,36.03844
20140123,BMO,20140123,36.06751,36.23292,36.04805,35.67833
20131017,BMO,20131017,30.80906,30.8284,30.86708,30.93477
20130718,BMO,20130718,26.81212,26.82172,26.82172,26.85051
20130418,BMO,20130418,22.76012,22.76964,23.06473,23.40742
20130124,BMO,20130124,24.09153,23.67616,24.13873,23.90272
20121025,BMO,20121025,22.58379,22.42462,22.69615,22.75232
20120726,BMO,20120726,21.77342,21.79199,21.7827,21.83841
20120419,BMO,20120419,22.94976,22.5355,22.55391,22.58153
20120119,BMO,20120119,25.46854,25.57816,25.29497,25.432
20111020,BMO,20111020,22.86813,22.1878,22.75021,22.83185
20110721,BMO,20110721,23.01612,22.63851,23.00712,22.61153
20110421,BMO,20110421,22.83675,23.01516,22.89027,22.76538
20110127,BMO,20110127,25.36589,25.64054,25.70256,25.07351
20101021,BMO,20101021,25.23739,25.66872,25.40464,25.24619
20100722,BMO,20100722,23.22472,22.63907,23.57436,24.16874
20100415,BMO,20100415,24.08131,24.29826,24.29826,24.11603
20100121,BMO,20100121,24.08551,23.99933,23.52538,23.16345
20091015,BMO,20091015,24.72011,24.8142,25.3873,25.30176
20090716,BMO,20090716,23.33223,23.80805,24.41982,25.17604
20090416,BMO,20090416,22.42423,23.20912,23.9265,23.41167
20090115,BMO,20090115,22.5352,21.74889,22.00821,22.09186
20081016,BMO,20081016,24.14127,21.68975,25.52077,24.31578
20080717,BMO,20080717,23.02321,24.35274,25.45931,24.53441
20080417,BMO,20080417,24.39098,25.44146,25.07215,24.94084
20080117,BMO,20080117,20.45606,20.57831,20.07302,19.99153
20071018,BMO,20071018,22.45884,22.31322,22.2404,20.49289
20070719,BMO,20070719,21.55518,21.71586,21.66765,20.90442
20070419,BMO,20070419,23.66614,23.14749,23.05174,23.08366
20070118,AMC,20070119,23.25972,22.30047,23.85429,23.24386
20061019,BMO,20061019,24.54495,24.45825,24.85235,24.16661
20060720,BMO,20060720,21.44157,22.22525,21.19862,20.79111
20060420,BMO,20060420,23.28856,23.45985,23.24963,23.11726
20060119,BMO,20060119,21.62306,21.49919,21.67726,21.49919
20051020,BMO,20051020,20.53363,21.39593,21.05717,21.54222
20050721,BMO,20050721,20.45539,20.55495,20.04184,20.90723
20050421,BMO,20050421,18.20742,17.08088,18.59563,17.59848
20050120,BMO,20050120,19.80427,19.89505,19.81184,19.0705
20041021,BMO,20041021,19.716,20.06968,20.56634,19.88908
20040715,BMO,20040715,19.08843,19.03603,19.09591,18.23506
20040415,BMO,20040415,20.27341,19.58125,20.10967,20.45203
20040115,NaN,20040116,21.95805,21.6249,20.49221,22.06169
20031016,BMO,20031016,18.5172,18.27423,18.67918,17.69994
20030717,BMO,20030717,16.83769,16.84502,16.48615,16.42023
20030417,BMO,20030417,13.62016,13.46729,13.53645,13.44909
20030116,BMO,20030116,12.88246,12.9728,12.97641,12.88607
20021017,BMO,20021017,12.92676,12.82269,12.77962,13.27846
20020718,NaN,20020719,13.54381,13.20869,12.92348,12.35307
20020418,BMO,20020418,11.59164,11.57747,11.59164,11.55623
20020117,BMO,20020117,11.19962,11.35429,11.24884,11.2172
20011018,BMO,20011018,11.86612,11.60437,11.19254,11.20301
20010719,BMO,20010719,11.4735,11.19916,11.70269,11.9805
20010419,NaN,20010420,8.20659,8.10314,8.22038,8.10314
20010118,BMO,20010118,8.24311,8.30717,8.2004,8.07227
