EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150428,AMC,20150429,128.26342,129.90615,108.29163,110.58152
20150203,AMC,20150204,147.63547,153.6103,144.05648,144.57903
20141028,AMC,20141029,178.55532,180.09132,180.75238,182.42448
20140729,BMO,20140729,197.50307,203.7816,210.00217,211.16128
20140501,AMC,20140502,195.73418,198.36458,212.81255,207.98376
20140130,AMC,20140131,185.06878,192.36194,207.54967,199.96058
20131024,AMC,20131025,155.10091,161.05486,156.70352,156.90851
20130729,BMO,20130729,120.40555,121.16409,121.43236,123.09747
20130425,AMC,20130426,120.76795,123.89966,124.4415,124.71702
20130131,AMC,20130201,112.49779,114.0738,115.12144,113.65475
20121024,AMC,20121025,97.29812,95.52025,102.4446,101.20264
20120717,AMC,20120718,81.59676,82.37516,81.46985,84.32117
20120509,AMC,20120510,100.39901,97.14865,95.36348,95.06876
20120507,AMC,20120508,107.27865,105.4177,100.39901,97.14865
20120202,AMC,20120203,98.70434,101.24425,96.38238,94.58014
20111019,AMC,20111020,110.24654,104.33576,98.80942,96.43068
20110718,NaN,20110719,129.8499,131.66246,129.57043,127.90159
20110419,AMC,20110420,111.80241,110.55308,117.70685,117.53975
20110210,AMC,20110211,96.70709,95.60897,102.7309,101.81579
20101102,AMC,20101103,80.55919,82.99971,81.94535,82.96284
20100729,AMC,20100730,64.61525,64.60054,64.47553,65.61533
20100429,AMC,20100430,65.06507,68.27545,64.6766,67.34458
20100225,AMC,20100226,46.43317,46.03004,46.59442,48.53677
20091027,BMO,20091027,43.10789,43.52889,38.73913,37.17934
20090730,BMO,20090730,32.15492,30.58134,34.61192,35.31589
20090505,BMO,20090505,27.02698,29.54609,34.49459,32.52071
20090224,AMC,20090225,16.06711,17.80633,15.01115,15.37694
20081030,AMC,20081031,28.33139,32.09281,41.68614,35.60576
20081013,AMC,20081014,41.05119,43.73594,40.85794,34.02528
20080724,AMC,20080725,68.88566,63.21248,62.14272,63.26769
20080710,AMC,20080711,53.52942,48.27034,53.92972,53.34308
20080501,NaN,20080502,72.70228,74.66927,74.55884,72.91624
20080212,AMC,20080213,82.73733,82.70972,76.54652,74.12403
20071030,AMC,20071031,113.84779,110.55548,106.29524,102.02184
20070806,NaN,20070807,66.544,70.71205,77.83001,76.82915
20070507,NaN,20070508,67.50535,67.06418,65.78677,65.35877
20070227,NaN,20070228,66.09625,63.14635,64.54228,63.8904
20061107,NaN,20061108,46.3908,46.15037,47.56213,48.57933
20060801,NaN,20060802,39.46146,38.03737,41.26777,41.58218
20060503,AMC,20060504,45.94692,45.03452,43.90018,44.22076
20060223,NaN,20060224,41.55753,40.99652,41.18763,40.81774
20051103,BMO,20051103,28.88251,30.61484,30.83061,30.78746
20050801,AMC,20050802,34.70833,34.93643,33.48768,32.20539
20050504,NaN,20050505,29.15993,30.56553,30.31276,29.8504
20050315,AMC,20050316,44.25158,44.91739,44.31939,45.01602
20041104,AMC,20041105,37.74146,38.37644,38.84497,39.57243
20040803,AMC,20040804,22.67446,22.22443,21.80522,21.68808
20040505,NaN,20040506,24.65956,25.12193,24.82601,23.5807
20040315,AMC,20040316,22.25525,21.54012,21.68808,22.52034
20031113,NaN,20031114,12.29896,12.32361,12.32978,12.29279
20030814,NaN,20030815,9.42612,9.43845,9.61723,9.54941
20030328,NaN,20030331,9.01923,9.27199,9.49393,9.19185
