EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150408,NaN,20150409,76.7,77.68,73.46,73.43
20150108,AMC,20150109,78.21,79.45,74.09,73.42
20140923,AMC,20140924,63.69,62.69,67.33,66.08
20140625,AMC,20140626,60.64,61.11,56.7,57.45
20140409,AMC,20140410,67.76,67.91,63.72,63.72
20140108,AMC,20140109,79.21,79.68,69.75,69.94
20130925,AMC,20130926,74.81,74.22,77.54,77.23
20130626,AMC,20130627,68.81,70.0,70.15,70.95
20130410,NaN,20130411,64.5,65.5,64.0,66.76
20121219,AMC,20121220,60.39,60.28,56.36,55.72
20120919,AMC,20120920,68.39,68.79,62.08,61.57
20120620,AMC,20120621,74.72,73.67,61.17,61.2
20120404,AMC,20120405,66.99,66.23,71.85,71.04
20111221,AMC,20111222,61.55,61.43,57.58,57.46
20110921,AMC,20110922,58.94,57.48,57.84,57.22
20110622,AMC,20110623,54.06,54.06,56.93,56.59
20110406,AMC,20110407,48.9,49.39,54.55,53.82
20101222,AMC,20101223,47.55,47.67,50.1,49.69
20100922,NaN,20100923,41.96,42.05,43.4,43.72
20100623,NaN,20100624,40.29,41.46,39.12,39.34
20100407,NaN,20100408,44.62,44.67,46.48,45.51
20100106,NaN,20100107,38.67,39.23,41.94,42.03
20090923,AMC,20090924,39.46,39.02,37.75,36.8
20090624,AMC,20090625,27.74,28.39,31.08,31.03
20090407,AMC,20090408,26.37,25.51,31.7,31.09
20090107,NaN,20090108,26.0,25.55,26.72,25.93
20080924,NaN,20080925,30.4,30.71,32.19,32.24
20080625,NaN,20080626,28.3,28.57,29.79,29.06
20080409,NaN,20080410,30.93,29.47,29.67,30.23
20080103,NaN,20080104,28.36,27.4,26.19,26.34
20070926,NaN,20070927,33.2,33.83,33.45,34.12
20070627,NaN,20070628,36.95,37.56,36.09,35.99
20070411,NaN,20070412,41.17,40.73,40.0,40.73
20061220,AMC,20061221,40.26,39.93,38.54,38.04
20060920,AMC,20060921,36.9,37.14,38.41,38.4
20060621,NaN,20060622,36.6,36.92,34.71,34.23
20060405,NaN,20060406,38.16,38.32,40.82,40.37
20051221,NaN,20051222,40.82,41.24,36.27,36.54
20050921,AMC,20050922,38.7,37.42,39.7,40.1
20050622,AMC,20050623,43.87,44.37,41.96,41.24
20050406,AMC,20050407,37.3,36.74,40.8,39.83
20041215,AMC,20041216,40.69,40.33,39.64,39.04
20040922,AMC,20040923,39.89,39.58,37.59,37.47
20040623,AMC,20040624,37.06,37.63,37.53,39.75
20040331,AMC,20040401,41.32,41.9,40.56,39.61
20031217,AMC,20031218,39.0,39.96,42.17,42.44
20030924,AMC,20030925,40.19,39.42,39.72,38.81
20030618,AMC,20030619,42.05,42.43,40.57,39.15
20030402,AMC,20030403,34.23,35.48,36.25,36.35
20021218,AMC,20021219,32.75,32.33,33.73,35.25
20020925,AMC,20020926,32.33,33.68,34.51,34.0
20020620,NaN,20020621,34.39,34.5,36.26,36.49
20020403,NaN,20020404,31.45,31.59,33.71,34.1
20011220,NaN,20011221,32.51,32.52,32.35,32.65
20010925,NaN,20010926,23.18,22.96,25.09,25.82
20010621,AMC,20010622,31.22,30.59,30.04,29.87
20010404,AMC,20010405,24.0625,24.625,26.9375,26.8125
20001213,AMC,20001214,22.4375,21.6875,20.5,20.17188
20000920,AMC,20000921,20.9375,20.9375,24.875,24.9375
20000621,AMC,20000622,17.46875,17.84375,16.40625,16.46875
20000329,AMC,20000330,15.875,16.75,21.8125,19.6875
19991215,AMC,19991216,15.375,16.03125,15.0,16.0
19990922,AMC,19990923,15.40625,16.0,15.78125,16.125
