EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150520,NaN,20150521,47.65,47.79,47.85,46.75
20150519,NaN,20150520,47.55,47.65,47.79,47.85
20150518,NaN,20150519,46.66,47.55,47.65,47.79
20150515,NaN,20150518,47.39,46.66,47.55,47.65
20150514,NaN,20150515,46.4,47.39,46.66,47.55
20150513,NaN,20150514,45.96,46.4,47.39,46.66
20150512,NaN,20150513,46.51,45.96,46.4,47.39
20150312,BMO,20150312,44.2,44.54,46.43,45.55
20141210,BMO,20141210,43.60955,44.61838,44.96798,44.30874
20140929,BMO,20140929,34.16048,35.12936,35.81856,34.34027
20140605,BMO,20140605,34.55636,35.3644,35.47414,34.71597
20140311,BMO,20140311,33.24952,34.54638,32.70085,32.34172
20131205,BMO,20131205,35.65732,35.41821,35.27873,35.69717
20130926,BMO,20130926,28.87257,28.8626,30.50649,30.48656
20130606,BMO,20130606,22.53706,22.08606,22.61002,22.92838
20130603,BMO,20130603,22.94828,22.57685,22.98807,22.53706
20130307,BMO,20130307,21.42281,21.20394,20.93865,20.36162
20121206,BMO,20121206,18.59076,18.51117,18.90912,19.08819
20121011,BMO,20121011,18.06798,18.36581,16.28104,17.062
20120607,BMO,20120607,14.18551,14.78015,16.38569,16.8548
20120308,BMO,20120308,12.62623,12.85748,14.41016,14.85944
20111208,BMO,20111208,11.62794,11.72022,11.79054,12.11573
20111013,BMO,20111013,10.00636,10.3799,9.83497,10.15138
20110608,BMO,20110608,9.87945,10.13817,10.51089,10.73891
20110309,BMO,20110309,9.87067,10.2434,11.28266,11.00201
20101209,BMO,20101209,9.69006,9.58511,9.53701,9.76877
20101013,BMO,20101013,7.40309,7.32876,7.21507,7.20632
20100608,BMO,20100608,7.13248,6.94502,7.32432,7.21096
20100309,BMO,20100309,9.36466,9.32978,8.91124,8.60606
20091209,BMO,20091209,8.46815,8.36812,8.45945,8.45076
20091009,BMO,20091009,7.50695,7.81576,7.31993,7.09811
20090604,BMO,20090604,6.54575,6.65448,7.1764,7.31123
20090309,BMO,20090309,5.01478,5.2801,5.74547,5.63674
20081205,BMO,20081205,4.05793,3.91006,4.45807,4.5755
20081007,BMO,20081007,3.98834,3.75348,4.00139,4.30584
20080605,BMO,20080605,4.71903,5.2627,5.14961,5.03653
20080306,BMO,20080306,4.77122,4.41457,4.2406,4.3015
20071206,BMO,20071206,7.39822,7.8288,7.00678,7.1851
20071009,BMO,20071009,7.63308,7.38082,7.05027,7.45041
20070611,BMO,20070611,7.59394,7.35473,7.27644,7.5461
20070308,BMO,20070308,6.78061,6.77626,6.94154,7.15031
20061207,NaN,20061208,6.25,7.00243,7.11551,7.18945
20061012,BMO,20061012,5.85856,5.83246,5.52365,5.58889
20060608,BMO,20060608,5.98903,5.96293,6.10212,6.09342
20060309,BMO,20060309,7.24164,7.2112,6.89369,6.95894
20051208,BMO,20051208,7.90709,8.13325,7.88099,7.98103
20050929,BMO,20050929,8.74652,8.59428,9.61203,9.151
20050601,AMC,20050602,13.35245,13.4612,7.89839,7.94189
20050302,BMO,20050302,10.69936,10.91683,11.62143,12.01721
20041202,BMO,20041202,8.68707,8.94224,9.03212,9.20609
20040930,BMO,20040930,6.65159,6.44861,6.95894,6.79366
20040603,BMO,20040603,4.99014,5.2192,5.55555,5.81071
20040302,BMO,20040302,4.92634,4.94374,5.33518,5.15252
20031209,BMO,20031209,4.27974,4.24785,4.40443,4.43923
20030930,BMO,20030930,3.76942,3.79842,3.86801,3.9173
20030603,BMO,20030603,4.16086,4.17246,3.76942,3.78102
