EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150506,BMO,20150506,55.12,53.97,52.58,50.79
20150224,BMO,20150224,52.26,50.63,50.79,51.55
20141106,BMO,20141106,46.82,48.26,49.84,53.38
20140805,BMO,20140805,60.87,63.49,59.94,59.41
20140506,BMO,20140506,55.0,55.73,56.92,57.53
20140225,BMO,20140225,44.98,45.78,48.2,48.84
20131104,AMC,20131105,42.44,44.69,45.3,44.8
20130807,BMO,20130807,32.93,32.29,32.3,34.29
20130507,BMO,20130507,25.85,25.96,26.31,27.2
20130226,BMO,20130226,21.41,21.29,22.58,23.61
20121106,BMO,20121106,25.74,25.98,25.17,23.48
20120807,BMO,20120807,24.67,26.04,25.68,25.19
20120508,BMO,20120508,25.8,26.72,28.09,30.17
20120228,BMO,20120228,27.77,27.62,27.44,28.17
20111108,BMO,20111108,29.19,29.15,29.26,26.95
20110809,BMO,20110809,30.91,27.03,27.62,26.78
20110510,BMO,20110510,34.27,36.51,37.13,35.42
20110315,BMO,20110315,33.61,34.25,30.8,32.77
20101109,BMO,20101109,24.49,24.65,26.76,27.45
20100805,BMO,20100805,20.12,20.13,21.05,21.3
20100506,BMO,20100506,22.24,21.64,20.22,19.12
20100310,BMO,20100310,25.26,25.6,25.0,24.26
20091109,BMO,20091109,24.43,24.62,25.62,25.41
20090810,BMO,20090810,20.08,20.52,21.13,21.45
20090511,BMO,20090511,17.05,19.29,18.65,18.66
20090303,BMO,20090303,10.64,8.73,8.84,9.78
20081106,BMO,20081106,26.28,24.67,21.58,23.05
20080807,BMO,20080807,44.89,47.14,46.59,46.22
20080508,BMO,20080508,67.45,65.93,71.47,72.09
20080228,BMO,20080228,58.59,58.77,61.53,57.75
20071108,BMO,20071108,51.77,52.99,52.17,51.04
20070808,BMO,20070808,36.26,37.69,41.49,42.23
20070509,BMO,20070509,38.13,38.32,36.58,35.97
20070320,BMO,20070320,30.04,30.41,31.18,32.25
20061109,BMO,20061109,28.75,29.86,31.45,30.8
20060810,BMO,20060810,28.19,28.13,28.2,27.83
20060510,BMO,20060510,30.55,31.37,32.49,31.51
20060320,BMO,20060320,24.23,23.63,23.47,23.07
20051104,BMO,20051104,26.89,27.7,24.66,23.57
20050805,BMO,20050805,20.82,21.02,20.63,21.15
20050510,BMO,20050510,16.35,16.47,15.06,14.54
20050316,BMO,20050316,15.51,15.35,14.98,16.54
20041111,BMO,20041111,9.22,9.39,9.22,9.6
20040816,BMO,20040816,8.9,8.97,9.0,8.9
20040513,BMO,20040513,8.92,8.88,8.6,8.5
20040325,BMO,20040325,6.9,6.82,6.55,6.76
20031110,NaN,20031111,6.6,6.39,6.3,6.39
20030814,NaN,20030815,5.75,5.87,5.99,5.9
20030501,NaN,20030502,4.52,4.79,4.76,4.63
20030318,BMO,20030318,5.03,5.09,4.96,5.0
20021108,BMO,20021108,4.7,5.0,4.59,4.36
20020805,BMO,20020805,3.81,3.75,3.71,3.67
20020320,NaN,20020321,5.5,5.6,5.56,5.4
19991103,BMO,19991103,2.0,1.8125,1.9375,1.875
