EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150506,BMO,20150506,38.63612,38.78491,39.1916,41.31436
20150225,BMO,20150225,41.22039,40.17709,41.58457,43.71055
20141105,BMO,20141105,43.58322,43.6508,42.09633,42.28943
20140806,BMO,20140806,43.91094,43.52142,44.35746,45.00349
20140506,BMO,20140506,48.52251,48.1956,48.18626,48.48515
20140225,BMO,20140225,42.35204,43.50885,44.26169,43.21506
20131106,BMO,20131106,42.03435,41.91698,39.20858,39.1815
20130807,BMO,20130807,39.91309,40.72909,39.43414,40.31223
20130507,BMO,20130507,44.01761,45.12547,45.11675,43.86059
20130226,BMO,20130226,47.7214,46.94753,46.68958,47.88477
20121107,BMO,20121107,32.90789,33.88871,34.35375,34.19309
20120808,BMO,20120808,32.37823,32.39467,32.21388,32.04952
20120507,BMO,20120507,24.34821,23.73689,23.06927,23.47949
20120228,BMO,20120228,26.76764,26.17526,25.16427,25.77245
20111108,BMO,20111108,25.67348,25.5889,25.04298,23.4283
20110805,BMO,20110805,27.13856,25.40487,25.17068,22.95352
20110505,BMO,20110505,20.46809,19.68056,20.24954,20.93156
20110224,BMO,20110224,20.88369,20.78598,19.93665,21.72926
20101104,BMO,20101104,12.26155,12.6321,12.27278,12.07067
20100805,BMO,20100805,10.00234,10.16985,10.1773,10.47882
20100506,BMO,20100506,10.02573,9.83321,9.34451,9.11867
20100225,BMO,20100225,10.20541,10.36009,9.55721,9.45777
20091105,BMO,20091105,10.71324,10.48265,10.50827,10.24474
20090810,BMO,20090810,7.95721,8.00449,8.14268,8.00813
20090507,BMO,20090507,8.91459,9.31881,9.11309,9.3946
20090217,BMO,20090217,9.28727,9.22631,9.02192,8.4195
20081104,BMO,20081104,6.9858,6.80786,7.24203,6.71889
20080806,BMO,20080806,9.73867,10.08218,11.12334,10.30175
20080512,BMO,20080512,14.43034,14.47268,15.59112,14.79022
20080219,BMO,20080219,16.78988,16.70198,18.74489,19.18793
20071106,BMO,20071106,22.46844,22.3632,21.50726,21.04772
20070809,BMO,20070809,20.4139,20.74304,19.30392,20.39639
20070508,BMO,20070508,22.0628,22.33544,22.33544,22.51021
20070212,BMO,20070212,19.21623,18.94406,18.56371,18.96848
20061101,BMO,20061101,16.63059,16.57136,17.12188,17.17414
20060802,BMO,20060802,17.59556,18.16933,18.41275,18.10674
20060508,BMO,20060508,13.2741,13.3435,14.19374,14.02716
20060213,BMO,20060213,11.17494,11.07446,10.61186,9.83222
20051107,BMO,20051107,10.3258,10.10268,9.8467,10.0629
20050804,AMC,20050805,8.14499,8.11563,8.14671,8.27449
20050505,NaN,20050506,5.9231,6.12639,6.33141,6.41238
20050216,NaN,20050217,5.71249,5.74687,5.78469,5.89987
20041104,AMC,20041105,4.22025,4.28025,4.26825,4.24597
20040804,NaN,20040805,3.43458,3.29709,3.22024,3.23305
20040507,BMO,20040507,2.89614,2.90209,2.85955,2.71491
20040219,AMC,20040220,2.31126,2.30872,2.31888,2.32058
20031114,BMO,20031114,2.14763,2.13498,2.12654,2.09278
20030909,NaN,20030910,2.1138,2.10036,2.10204,2.14657
20030612,BMO,20030612,2.3692,2.40184,2.3851,2.3533
20030303,NaN,20030304,1.85301,1.82803,1.82386,1.83386
20021212,BMO,20021212,1.90342,1.8471,1.71043,1.71457
20020920,BMO,20020920,1.46894,1.4245,1.4278,1.40722
