EarningDate,Time,ReferenceDate,PPrevClose,PrevClose,NextClose,NNextClose
20150429,AMC,20150430,33.04,32.66,33.74,34.01
20150128,AMC,20150129,29.61,29.61,31.12,30.37
20141105,AMC,20141106,27.04,26.46,26.58,26.21
20140730,AMC,20140731,25.53,25.96,26.07,26.09
20140430,AMC,20140501,20.97,20.99,22.66,22.74
20140203,AMC,20140204,21.36,20.47,20.11,20.68
20131111,AMC,20131112,22.04,22.9,20.51,20.59
20130805,AMC,20130806,22.62,22.47,22.58,22.54
20130506,AMC,20130507,20.02,20.66,20.05,20.34
20130204,AMC,20130205,23.72,23.25,22.75,22.18
20121112,AMC,20121113,20.32,20.39,20.25,19.86
20120730,AMC,20120731,18.6,18.26,18.52,18.75
20120430,BMO,20120430,21.16,21.23,19.12,18.8
20120130,AMC,20120131,19.38,19.2,20.39,20.71
20111107,AMC,20111108,16.36,16.23,17.84,17.09
20110801,AMC,20110802,18.57,18.05,17.46,17.57
20110502,AMC,20110503,22.02,22.42,22.69,22.43
20110131,AMC,20110201,19.92,19.92,19.48,19.58
20101108,AMC,20101109,15.83,16.28,16.73,16.82
20100802,AMC,20100803,14.14,14.58,15.44,15.9
20100503,AMC,20100504,17.88,18.11,16.01,16.25
20100201,AMC,20100202,15.07,15.25,16.58,16.45
20091109,AMC,20091110,15.13,15.32,15.77,15.75
20090803,AMC,20090804,14.69,14.83,14.86,14.75
20090504,AMC,20090505,15.09,15.6,12.45,12.21
20090202,AMC,20090203,11.79,11.97,12.8,13.02
20081111,AMC,20081112,12.49,12.53,12.99,14.5
20080730,AMC,20080731,23.44,22.85,18.47,18.63
20080501,BMO,20080501,29.96,29.19,23.75,22.85
20080131,BMO,20080131,31.8,30.9,32.18,33.72
20071106,BMO,20071106,33.055,33.34,32.21,31.99
20070731,BMO,20070731,26.36,26.855,25.9,25.86
20070730,AMC,20070731,26.36,26.855,25.9,25.86
20070501,BMO,20070501,29.19,28.775,29.37,31.13
20070425,AMC,20070426,29.03,29.045,29.485,29.19
20070207,AMC,20070208,27.625,27.885,27.575,26.845
20070131,BMO,20070131,24.75,24.355,27.725,28.58
20061108,BMO,20061108,24.0,23.88,23.91,23.27
20061025,AMC,20061026,24.235,24.275,24.45,24.62
20060726,AMC,20060727,24.085,23.67,22.7,22.495
20060725,BMO,20060725,21.855,22.435,24.085,23.67
20060426,AMC,20060427,25.03,23.765,23.595,23.835
20060425,BMO,20060425,25.605,25.82,25.03,23.765
20060201,AMC,20060202,25.73,25.7,25.355,24.9
20060124,BMO,20060124,21.125,21.51,24.12,24.155
20051102,BMO,20051102,13.865,14.3025,15.5025,15.3375
20051026,AMC,20051027,14.25,14.5425,13.51,13.5075
20050727,NaN,20050728,9.2825,10.925,11.355,11.3975
20050427,AMC,20050428,7.77,8.7525,8.81,8.895
20050209,AMC,20050210,9.2375,9.2,9.1825,9.515
20050126,BMO,20050126,6.86,7.37,8.62,8.43
20041110,BMO,20041110,4.985,4.9025,5.655,5.8475
20041027,AMC,20041028,4.9075,5.0,5.0275,5.02
20040803,BMO,20040803,4.98,4.97,5.0025,4.94
20040729,AMC,20040730,4.91,4.94,4.98,4.97
20040504,BMO,20040504,5.0375,5.045,5.33,5.2575
20040428,AMC,20040429,5.655,5.325,5.0575,5.0375
20040203,BMO,20040203,4.38,4.3475,4.75,4.975
20040128,AMC,20040129,4.36,4.3425,4.3625,4.38
20031112,BMO,20031112,3.4825,3.365,3.775,3.8625
20031022,AMC,20031023,3.4975,3.2275,3.195,3.245
20030806,BMO,20030806,3.32,3.375,3.4125,3.3175
20030723,AMC,20030724,3.5425,3.675,3.6275,3.705
20030506,BMO,20030506,2.25,2.26,2.2475,2.4425
20030423,AMC,20030424,2.25,2.25,2.25,2.2375
20030204,BMO,20030204,2.4775,2.435,1.9525,2.0225
20021112,BMO,20021112,3.1025,3.1025,3.26,3.125
20020801,BMO,20020801,3.2225,3.1975,2.75,2.4275
20020724,AMC,20020725,2.44,2.73,3.0925,3.0075
20020502,BMO,20020502,4.0575,4.0225,4.3475,4.2675
20020205,BMO,20020205,3.5,3.2875,3.35,3.3125
20011114,BMO,20011114,2.625,2.565,2.64,2.48
20010725,NaN,20010726,1.5025,1.4,1.455,1.5
20010425,AMC,20010426,1.225,1.2525,1.2625,1.345
20010125,AMC,20010126,1.75,1.75,1.75,1.75
20001025,AMC,20001026,1.39062,1.25,1.39062,1.42188
20000728,BMO,20000728,1.78125,1.71875,1.84375,1.875
20000427,AMC,20000428,1.67969,1.75,1.95312,1.8125
20000128,BMO,20000128,2.1875,1.85938,1.75,1.71875
19991108,BMO,19991108,0.89062,0.875,0.875,0.875
19991027,AMC,19991028,0.95312,0.88281,0.875,0.875
19990727,AMC,19990728,1.49219,1.46875,1.42188,1.40625
19990429,AMC,19990430,2.21875,1.96875,1.70312,1.78125
